date,price_target_upside
"March 19, 2020",60.62%
"March 18, 2020",59.23%
"March 17, 2020",46.14%
"March 16, 2020",72.44%
"March 13, 2020",47.75%
"March 12, 2020",52.32%
"March 11, 2020",36.20%
"March 10, 2020",25.75%
"March 9, 2020",29.38%
"March 6, 2020",19.67%
"March 5, 2020",17.18%
"March 4, 2020",15.45%
"March 3, 2020",22.33%
"March 2, 2020",18.40%
"Feb. 28, 2020",25.14%
"Feb. 27, 2020",19.51%
"Feb. 26, 2020",14.66%
"Feb. 25, 2020",13.26%
"Feb. 24, 2020",10.50%
"Feb. 21, 2020",8.50%
"Feb. 20, 2020",7.62%
"Feb. 19, 2020",7.36%
"Feb. 18, 2020",5.41%
"Feb. 14, 2020",6.72%
"Feb. 13, 2020",6.71%
"Feb. 12, 2020",7.16%
"Feb. 11, 2020",6.51%
"Feb. 10, 2020",8.56%
"Feb. 7, 2020",8.29%
"Feb. 6, 2020",8.13%
"Feb. 5, 2020",7.97%
"Feb. 4, 2020",8.51%
"Feb. 3, 2020",8.48%
"Jan. 31, 2020",9.76%
"Jan. 30, 2020",8.69%
"Jan. 29, 2020",9.26%
"Jan. 28, 2020",9.44%
"Jan. 27, 2020",10.51%
"Jan. 24, 2020",9.33%
"Jan. 23, 2020",8.83%
"Jan. 22, 2020",9.16%
"Jan. 21, 2020",9.12%
"Jan. 17, 2020",9.12%
"Jan. 16, 2020",10.63%
"Jan. 15, 2020",10.75%
"Jan. 14, 2020",12.77%
"Jan. 13, 2020",11.84%
"Jan. 10, 2020",11.67%
"Jan. 9, 2020",11.93%
"Jan. 8, 2020",12.29%
"Jan. 7, 2020",13.09%
"Jan. 6, 2020",13.20%
"Jan. 3, 2020",13.59%
"Jan. 2, 2020",13.94%
"Dec. 31, 2019",13.54%
"Dec. 30, 2019",14.07%
"Dec. 27, 2019",13.99%
"Dec. 26, 2019",14.10%
"Dec. 24, 2019",14.10%
"Dec. 23, 2019",14.40%
"Dec. 20, 2019",13.77%
"Dec. 19, 2019",14.96%
"Dec. 18, 2019",13.98%
"Dec. 17, 2019",14.96%
"Dec. 16, 2019",16.04%
"Dec. 13, 2019",18.37%
"Dec. 12, 2019",17.62%
"Dec. 11, 2019",17.36%
"Dec. 10, 2019",15.98%
"Dec. 9, 2019",15.44%
"Dec. 6, 2019",15.62%
"Dec. 5, 2019",15.62%
"Dec. 4, 2019",16.45%
"Dec. 3, 2019",17.19%
"Dec. 2, 2019",18.12%
"Nov. 29, 2019",16.82%
"Nov. 27, 2019",17.16%
"Nov. 26, 2019",18.10%
"Nov. 25, 2019",17.67%
"Nov. 22, 2019",16.98%
"Nov. 21, 2019",17.08%
"Nov. 20, 2019",14.64%
"Nov. 19, 2019",14.61%
"Nov. 18, 2019",14.51%
"Nov. 15, 2019",15.56%
"Nov. 14, 2019",16.57%
"Nov. 13, 2019",16.91%
"Nov. 12, 2019",17.39%
"Nov. 11, 2019",18.19%
"Nov. 8, 2019",16.48%
"Nov. 7, 2019",16.51%
"Nov. 6, 2019",16.20%
"Nov. 5, 2019",16.29%
"Nov. 4, 2019",17.25%
"Nov. 1, 2019",15.08%
"Oct. 31, 2019",14.81%
"Oct. 30, 2019",12.14%
"Oct. 29, 2019",14.10%
"Oct. 28, 2019",14.75%
"Oct. 25, 2019",13.91%
"Oct. 24, 2019",13.20%
"Oct. 23, 2019",14.51%
"Oct. 22, 2019",15.52%
"Oct. 21, 2019",16.92%
"Oct. 18, 2019",17.49%
"Oct. 17, 2019",19.67%
"Oct. 16, 2019",17.62%
"Oct. 15, 2019",12.04%
"Oct. 14, 2019",11.93%
"Oct. 11, 2019",10.66%
"Oct. 10, 2019",10.87%
"Oct. 9, 2019",9.74%
"Oct. 8, 2019",10.06%
"Oct. 7, 2019",8.49%
"Oct. 4, 2019",8.41%
"Oct. 3, 2019",10.07%
"Oct. 2, 2019",10.30%
"Oct. 1, 2019",9.26%
"Sept. 30, 2019",8.52%
"Sept. 27, 2019",8.07%
"Sept. 26, 2019",5.25%
"Sept. 25, 2019",5.62%
"Sept. 24, 2019",6.07%
"Sept. 23, 2019",7.90%
"Sept. 20, 2019",7.59%
"Sept. 19, 2019",9.05%
"Sept. 18, 2019",8.73%
"Sept. 17, 2019",10.22%
"Sept. 16, 2019",10.01%
"Sept. 13, 2019",10.27%
"Sept. 12, 2019",8.87%
"Sept. 11, 2019",6.97%
"Sept. 10, 2019",7.81%
"Sept. 9, 2019",8.53%
"Sept. 6, 2019",8.32%
"Sept. 5, 2019",8.12%
"Sept. 4, 2019",8.39%
"Sept. 3, 2019",8.46%
"Aug. 30, 2019",9.45%
"Aug. 29, 2019",10.64%
"Aug. 28, 2019",11.40%
"Aug. 27, 2019",11.86%
"Aug. 26, 2019",12.80%
"Aug. 23, 2019",14.81%
"Aug. 22, 2019",13.19%
"Aug. 21, 2019",13.39%
"Aug. 20, 2019",13.97%
"Aug. 19, 2019",13.79%
"Aug. 16, 2019",14.23%
"Aug. 15, 2019",15.23%
"Aug. 14, 2019",15.67%
"Aug. 13, 2019",13.03%
"Aug. 12, 2019",14.27%
"Aug. 9, 2019",14.27%
"Aug. 8, 2019",14.14%
"Aug. 7, 2019",15.06%
"Aug. 6, 2019",14.55%
"Aug. 5, 2019",16.59%
"Aug. 2, 2019",15.97%
"Aug. 1, 2019",18.07%
"July 31, 2019",16.69%
"July 30, 2019",14.18%
"July 29, 2019",14.18%
"July 26, 2019",15.10%
"July 25, 2019",14.32%
"July 24, 2019",15.96%
"July 23, 2019",13.76%
"July 22, 2019",11.43%
"July 19, 2019",10.53%
"July 18, 2019",8.16%
"July 17, 2019",8.51%
"July 16, 2019",8.96%
"July 15, 2019",7.68%
"July 12, 2019",7.28%
"July 11, 2019",6.48%
"July 10, 2019",6.85%
"July 9, 2019",7.70%
"July 8, 2019",8.01%
"July 5, 2019",7.06%
"July 3, 2019",7.43%
"July 2, 2019",7.87%
"July 1, 2019",9.63%
"June 28, 2019",9.88%
"June 27, 2019",10.75%
"June 26, 2019",10.22%
"June 25, 2019",7.41%
"June 24, 2019",5.01%
"June 21, 2019",4.51%
"June 20, 2019",4.85%
"June 19, 2019",5.05%
"June 18, 2019",5.26%
"June 17, 2019",3.91%
"June 14, 2019",3.20%
"June 13, 2019",4.30%
"June 12, 2019",3.72%
"June 11, 2019",6.33%
"June 10, 2019",5.46%
"June 7, 2019",4.25%
"June 6, 2019",3.67%
"June 5, 2019",4.33%
"June 4, 2019",6.50%
"June 3, 2019",6.91%
"May 31, 2019",8.00%
"May 30, 2019",8.09%
"May 29, 2019",7.62%
"May 28, 2019",6.45%
"May 24, 2019",4.77%
"May 23, 2019",4.56%
"May 22, 2019",5.39%
"May 21, 2019",6.12%
"May 20, 2019",6.12%
"May 17, 2019",6.01%
"May 16, 2019",6.16%
"May 15, 2019",6.11%
"May 14, 2019",5.68%
"May 13, 2019",3.87%
"May 10, 2019",4.91%
"May 9, 2019",6.23%
"May 8, 2019",6.63%
"May 7, 2019",5.34%
"May 6, 2019",4.68%
"May 3, 2019",3.30%
"May 2, 2019",3.21%
"May 1, 2019",2.06%
"April 30, 2019",0.64%
"April 29, 2019",2.39%
"April 26, 2019",1.60%
"April 25, 2019",1.76%
"April 24, 2019",2.41%
"April 23, 2019",2.68%
"April 22, 2019",3.22%
"April 18, 2019",3.39%
"April 17, 2019",4.16%
"April 16, 2019",3.20%
"April 15, 2019",1.17%
"April 12, 2019",2.06%
"April 11, 2019",1.90%
"April 10, 2019",2.35%
"April 9, 2019",2.43%
"April 8, 2019",1.82%
"April 5, 2019",0.95%
"April 4, 2019",1.48%
"April 3, 2019",0.97%
"April 2, 2019",0.27%
"April 1, 2019",0.47%
"March 29, 2019",-0.31%
"March 28, 2019",0.03%
"March 27, 2019",-1.49%
"March 26, 2019",-1.79%
"March 25, 2019",-1.20%
