date,eps_ttm
"Dec. 31, 2019",3.01
"Sept. 30, 2019",2.38
"June 30, 2019",2.35
"March 31, 2019",2.41
"Dec. 31, 2018",2.08
"Sept. 30, 2018",3.86
"June 30, 2018",3.95
"March 31, 2018",3.49
"Dec. 31, 2017",3.95
"Sept. 30, 2017",2.23
"June 30, 2017",1.91
"March 31, 2017",2.10
"Dec. 31, 2016",1.23
"Sept. 30, 2016",1.34
"June 30, 2016",1.50
"March 31, 2016",1.95
"Dec. 31, 2015",2.56
"Sept. 30, 2015",2.25
"June 30, 2015",2.71
"March 31, 2015",2.57
"Dec. 31, 2014",1.87
"Sept. 30, 2014",2.43
"June 30, 2014",2.14
"March 31, 2014",2.11
"Dec. 31, 2013",2.00
"Sept. 30, 2013",1.87
"June 30, 2013",1.36
"March 31, 2013",1.12
"Dec. 31, 2012",1.41
"Sept. 30, 2012",1.87
"June 30, 2012",2.42
"March 31, 2012",3.02
"Dec. 31, 2011",3.75
"Sept. 30, 2011",3.63
"June 30, 2011",4.00
"March 31, 2011",3.74
"Dec. 31, 2010",3.86
"Sept. 30, 2010",3.95
"June 30, 2010",3.82
"March 31, 2010",4.14
"Dec. 31, 2009",4.09
"Sept. 30, 2009",4.28
"June 30, 2009",4.20
"March 31, 2009",4.34
"Dec. 31, 2008",4.14
"Sept. 30, 2008",3.92
"June 30, 2008",4.01
"March 31, 2008",3.91
"Dec. 31, 2007",4.05
"Sept. 30, 2007",4.07
"June 30, 2007",2.85
"March 31, 2007",2.77
"Dec. 31, 2006",2.34
"Sept. 30, 2006",0.22
"June 30, 2006",1.36
"March 31, 2006",1.17
"Dec. 31, 2005",1.35
"Sept. 30, 2005",3.13
"June 30, 2005",2.91
"March 31, 2005",2.93
"Dec. 31, 2004",2.78
"Sept. 30, 2004",2.660
"June 30, 2004",1.650
"March 31, 2004",1.440
"Dec. 31, 2003",1.375
"Sept. 30, 2003",1.572
"June 30, 2003",2.582
"March 31, 2003",2.762
"Dec. 31, 2002",2.217
"Sept. 30, 2002",2.134
"June 30, 2002",1.864
"March 31, 2002",1.599
"Dec. 31, 2001",2.204
"Sept. 30, 2001",1.050
"June 30, 2001",1.145
"March 31, 2001",0.9904
"Dec. 31, 2000",0.8954
"Sept. 30, 2000",1.895
"June 30, 2000",1.825
"March 31, 2000",1.645
"Dec. 31, 1999",1.465
"Sept. 30, 1999",1.03
"June 30, 1999",1.025
"March 31, 1999",1.205
"Dec. 31, 1998",1.115
"Sept. 30, 1998",-3.075
"June 30, 1998",-3.33
"March 31, 1998",-3.395
"Dec. 31, 1997",-3.40
"Sept. 30, 1997",1.11
"June 30, 1997",1.09
"March 31, 1997",1.04
"Dec. 31, 1996",1.12
"Sept. 30, 1996",1.12
"June 30, 1996",1.195
"March 31, 1996",1.315
"Dec. 31, 1995",1.32
"Sept. 30, 1995",1.345
"June 30, 1995",0.975
"March 31, 1995",0.88
"Dec. 31, 1994",0.885
"Sept. 30, 1994",0.895
"June 30, 1994",1.25
"March 31, 1994",1.225
"Dec. 31, 1993",1.23
"Sept. 30, 1993",1.255
"June 30, 1993",1.165
"March 31, 1993",1.125
"Dec. 31, 1992",0.95
"Sept. 30, 1992",0.81
"June 30, 1992",0.875
"March 31, 1992",0.95
"Dec. 31, 1991",1.075
"Sept. 30, 1991",0.925
"June 30, 1991",0.545
"March 31, 1991",0.52
"Dec. 31, 1990",0.03
