date,revenues_ttm
"Dec. 31, 2019",34.44B
"Sept. 30, 2019",34.90B
"June 30, 2019",35.38B
"March 31, 2019",35.76B
"Dec. 31, 2018",35.98B
"Sept. 30, 2018",35.55B
"June 30, 2018",34.92B
"March 31, 2018",34.50B
"Dec. 31, 2017",33.56B
"Sept. 30, 2017",33.06B
"June 30, 2017",33.29B
"March 31, 2017",32.54B
"Dec. 31, 2016",31.36B
"Sept. 30, 2016",30.19B
"June 30, 2016",28.58B
"March 31, 2016",28.19B
"Dec. 31, 2015",29.45B
"Sept. 30, 2015",30.00B
"June 30, 2015",29.51B
"March 31, 2015",29.02B
"Dec. 31, 2014",27.43B
"Sept. 30, 2014",26.34B
"June 30, 2014",25.93B
"March 31, 2014",26.04B
"Dec. 31, 2013",24.89B
"Sept. 30, 2013",24.98B
"June 30, 2013",25.06B
"March 31, 2013",24.88B
"Dec. 31, 2012",23.49B
"Sept. 30, 2012",21.59B
"June 30, 2012",20.27B
"March 31, 2012",18.80B
"Dec. 31, 2011",19.06B
"Sept. 30, 2011",19.20B
"June 30, 2011",19.24B
"March 31, 2011",19.14B
"Dec. 31, 2010",18.64B
"Sept. 30, 2010",18.27B
"June 30, 2010",17.31B
"March 31, 2010",17.06B
"Dec. 31, 2009",17.32B
"Sept. 30, 2009",17.70B
"June 30, 2009",18.58B
"March 31, 2009",19.06B
"Dec. 31, 2008",18.86B
"Sept. 30, 2008",18.92B
"June 30, 2008",18.72B
"March 31, 2008",18.60B
"Dec. 31, 2007",18.92B
"Sept. 30, 2007",18.06B
"June 30, 2007",17.43B
"March 31, 2007",16.62B
"Dec. 31, 2006",15.65B
"Sept. 30, 2006",15.80B
"June 30, 2006",15.87B
"March 31, 2006",15.66B
"Dec. 31, 2005",15.36B
"Sept. 30, 2005",14.83B
"June 30, 2005",14.10B
"March 31, 2005",14.06B
"Dec. 31, 2004",14.13B
"Sept. 30, 2004",13.73B
"June 30, 2004",14.43B
"March 31, 2004",14.71B
"Dec. 31, 2003",15.15B
"Sept. 30, 2003",15.95B
"June 30, 2003",15.88B
"March 31, 2003",15.67B
"Dec. 31, 2002",14.96B
"Sept. 30, 2002",14.54B
"June 30, 2002",14.35B
"March 31, 2002",14.45B
"Dec. 31, 2001",14.92B
"Sept. 30, 2001",14.76B
"June 30, 2001",12.20B
"March 31, 2001",9.97B
"Dec. 31, 2000",7.50B
"Sept. 30, 2000",5.636B
"June 30, 2000",5.736B
"March 31, 2000",5.55B
"Dec. 31, 1999",5.449B
"Sept. 30, 1999",5.314B
"June 30, 1999",5.371B
"March 31, 1999",5.387B
"Dec. 31, 1998",5.325B
"Sept. 30, 1998",5.335B
"June 30, 1998",4.828B
"March 31, 1998",4.645B
"Dec. 31, 1997",4.618B
"Sept. 30, 1997",4.487B
"June 30, 1997",4.319B
"March 31, 1997",4.276B
"Dec. 31, 1996",4.284B
"Sept. 30, 1996",4.314B
"June 30, 1996",4.329B
"March 31, 1996",4.298B
"Dec. 31, 1995",4.186B
"Sept. 30, 1995",4.062B
"June 30, 1995",3.978B
"March 31, 1995",3.971B
"Dec. 31, 1994",4.041B
"Sept. 30, 1994",4.063B
"June 30, 1994",4.095B
"March 31, 1994",4.045B
"Dec. 31, 1993",3.988B
"Sept. 30, 1993",4.030B
"June 30, 1993",3.953B
"March 31, 1993",3.954B
"Dec. 31, 1992",3.962B
"Sept. 30, 1992",3.939B
"June 30, 1992",4.010B
"March 31, 1992",4.066B
"Dec. 31, 1991",3.976B
"Sept. 30, 1991",3.914B
"June 30, 1991",3.858B
"March 31, 1991",3.742B
"Dec. 31, 1990",3.705B
"Sept. 30, 1990",3.650B
"June 30, 1990",3.533B
"March 31, 1990",3.469B
"Dec. 31, 1989",3.406B
"Sept. 30, 1989",3.342B
"June 30, 1989",3.346B
"March 31, 1989",3.268B
"Dec. 31, 1988",3.229B
"Sept. 30, 1988",3.188B
"June 30, 1988",3.128B
"March 31, 1988",3.163B
"Dec. 31, 1987",3.182B
"Sept. 30, 1987",3.148B
"June 30, 1987",3.116B
"March 31, 1987",3.066B
"Dec. 31, 1986",3.091B
"Sept. 30, 1986",3.114B
"June 30, 1986",3.058B
"March 31, 1986",3.056B
"Dec. 31, 1985",3.014B
"Sept. 30, 1985",2.991B
"June 30, 1985",2.996B
"March 31, 1985",3.015B
"Dec. 31, 1984",2.981B
