date,cash_financing_ttm
"Dec. 31, 2019",-58.00M
"Sept. 30, 2019",-71.00M
"June 30, 2019",-76.00M
"March 31, 2019",-208.00M
"Dec. 31, 2018",-219.00M
"Sept. 30, 2018",131.00M
"June 30, 2018",-401.00M
"March 31, 2018",-153.00M
"Dec. 31, 2017",767.00M
"Sept. 30, 2017",641.00M
"June 30, 2017",705.00M
"March 31, 2017",842.00M
"Dec. 31, 2016",1.191B
"Sept. 30, 2016",679.00M
"June 30, 2016",2.586B
"March 31, 2016",6.155B
"Dec. 31, 2015",4.83B
"Sept. 30, 2015",4.926B
"June 30, 2015",3.935B
"March 31, 2015",468.00M
"Dec. 31, 2014",411.00M
"Sept. 30, 2014",327.00M
"June 30, 2014",-353.00M
"March 31, 2014",-573.00M
"Dec. 31, 2013",-826.00M
"Sept. 30, 2013",-803.00M
"June 30, 2013",-957.00M
"March 31, 2013",-538.00M
"Dec. 31, 2012",-1.085B
"Sept. 30, 2012",-1.967B
"June 30, 2012",-1.269B
"March 31, 2012",-1.756B
"Dec. 31, 2011",-846.00M
"Sept. 30, 2011",175.00M
"June 30, 2011",-184.00M
"March 31, 2011",-849.00M
"Dec. 31, 2010",-1.748B
"Sept. 30, 2010",-2.105B
"June 30, 2010",-2.516B
"March 31, 2010",-2.215B
"Dec. 31, 2009",-1.897B
"Sept. 30, 2009",-1.336B
"June 30, 2009",-3.242B
"March 31, 2009",-2.771B
"Dec. 31, 2008",-2.213B
"Sept. 30, 2008",-2.287B
"June 30, 2008",-1.057B
"March 31, 2008",-1.409B
"Dec. 31, 2007",-1.50B
"Sept. 30, 2007",-1.841B
"June 30, 2007",-1.651B
"March 31, 2007",-1.741B
"Dec. 31, 2006",-1.989B
"Sept. 30, 2006",-1.192B
"June 30, 2006",-1.608B
"March 31, 2006",-1.556B
"Dec. 31, 2005",-19.00M
"Sept. 30, 2005",-949.00M
"June 30, 2005",-1.248B
"March 31, 2005",-719.00M
"Dec. 31, 2004",-2.627B
"Sept. 30, 2004",-1.942B
"June 30, 2004",-1.461B
"March 31, 2004",-1.746B
"Dec. 31, 2003",-1.24B
"Sept. 30, 2003",-1.447B
"June 30, 2003",-1.205B
"March 31, 2003",-1.073B
"Dec. 31, 2002",-1.092B
"Sept. 30, 2002",-1.571B
"June 30, 2002",-1.085B
"March 31, 2002",-1.268B
"Dec. 31, 2001",-1.264B
"Sept. 30, 2001",-775.00M
"June 30, 2001",-730.00M
"March 31, 2001",-209.00M
"Dec. 31, 2000",-255.00M
"Sept. 30, 2000",-264.00M
"June 30, 2000",-542.00M
"March 31, 2000",-2.399B
"Dec. 31, 1999",183.00M
"Sept. 30, 1999",171.70M
"June 30, 1999",96.20M
"March 31, 1999",1.681B
"Dec. 31, 1998",-956.00M
"Sept. 30, 1998",-755.10M
"June 30, 1998",-548.00M
"March 31, 1998",-466.20M
"Dec. 31, 1997",-460.50M
"Sept. 30, 1997",-540.40M
"June 30, 1997",-409.50M
"March 31, 1997",-521.50M
"Dec. 31, 1996",-500.60M
"Sept. 30, 1996",-703.50M
"June 30, 1996",-713.00M
"March 31, 1996",-764.70M
"Dec. 31, 1995",-802.00M
"Sept. 30, 1995",-621.90M
"June 30, 1995",-785.90M
"March 31, 1995",-688.00M
"Dec. 31, 1994",-705.80M
