date,total_employee_number
"Dec. 31, 2019",32713
"Dec. 31, 2018",33383
"Dec. 31, 2017",34621
"Dec. 31, 2016",34396
"Dec. 31, 2015",29762
"Dec. 31, 2014",28993
"Dec. 31, 2013",25829
"Dec. 31, 2012",26057
"Dec. 31, 2011",19267
"Dec. 31, 2010",19214
"Dec. 31, 2009",19329
"Dec. 31, 2008",19610
"Dec. 31, 2007",17800
"Dec. 31, 2006",17200
"Dec. 31, 2005",17200
"Dec. 31, 2004",17300
"Dec. 31, 2003",20000
"Dec. 31, 2002",25200
"Dec. 31, 2001",29200
"Dec. 31, 2000",29000
"Dec. 31, 1999",11737
"Dec. 31, 1998",6815
"Dec. 31, 1997",7359
"Dec. 31, 1996",7186
"Dec. 31, 1995",7217
"Dec. 31, 1994",9769
"Dec. 31, 1993",9769
"Dec. 31, 1992",9769
"Dec. 31, 1991",9933
"Dec. 31, 1990",11329
"Dec. 31, 1989",11329
