date,graham_number
"Dec. 31, 2019",47.36
"Sept. 30, 2019",42.00
"June 30, 2019",41.44
"March 31, 2019",41.85
"Dec. 31, 2018",38.55
"Sept. 30, 2018",52.78
"June 30, 2018",52.99
"March 31, 2018",49.59
"Dec. 31, 2017",52.53
"Sept. 30, 2017",38.31
"June 30, 2017",35.11
"March 31, 2017",36.79
"Dec. 31, 2016",27.82
"Sept. 30, 2016",29.15
"June 30, 2016",30.69
"March 31, 2016",35.66
"Dec. 31, 2015",40.19
"Sept. 30, 2015",37.67
"June 30, 2015",40.79
"March 31, 2015",39.35
"Dec. 31, 2014",33.26
"Sept. 30, 2014",38.74
"June 30, 2014",35.79
"March 31, 2014",35.32
"Dec. 31, 2013",34.55
"Sept. 30, 2013",32.76
"June 30, 2013",27.62
"March 31, 2013",24.92
"Dec. 31, 2012",28.20
"Sept. 30, 2012",32.78
"June 30, 2012",37.49
"March 31, 2012",41.70
"Dec. 31, 2011",42.79
"Sept. 30, 2011",42.05
"June 30, 2011",43.78
"March 31, 2011",42.07
"Dec. 31, 2010",42.18
"Sept. 30, 2010",42.51
"June 30, 2010",41.82
"March 31, 2010",43.55
"Dec. 31, 2009",41.98
"Sept. 30, 2009",42.71
"June 30, 2009",41.74
"March 31, 2009",42.35
"Dec. 31, 2008",39.54
"Sept. 30, 2008",39.41
"June 30, 2008",36.85
"March 31, 2008",36.31
"Dec. 31, 2007",37.38
"Sept. 30, 2007",38.03
"June 30, 2007",32.60
"March 31, 2007",30.62
"Dec. 31, 2006",28.04
"Sept. 30, 2006",8.460
"June 30, 2006",21.09
"March 31, 2006",19.02
"Dec. 31, 2005",20.39
"Sept. 30, 2005",32.74
"June 30, 2005",31.31
"March 31, 2005",30.95
"Dec. 31, 2004",29.83
"Sept. 30, 2004",29.36
"June 30, 2004",22.53
"March 31, 2004",20.65
"Dec. 31, 2003",20.02
"Sept. 30, 2003",21.22
"June 30, 2003",27.33
"March 31, 2003",27.70
"Dec. 31, 2002",24.44
"Sept. 30, 2002",25.15
"June 30, 2002",23.28
"March 31, 2002",21.21
"Dec. 31, 2001",25.02
"Sept. 30, 2001",16.98
"June 30, 2001",17.40
"March 31, 2001",15.99
"Dec. 31, 2000",15.07
"Sept. 30, 2000",10.75
"June 30, 2000",13.35
"March 31, 2000",13.90
"Dec. 31, 1999",12.70
"Sept. 30, 1999",10.81
"June 30, 1999",10.21
"March 31, 1999",13.24
"Dec. 31, 1998",13.06
"Sept. 30, 1998",
"June 30, 1998",
"March 31, 1998",
"Dec. 31, 1997",
"Sept. 30, 1997",16.28
"June 30, 1997",16.05
"March 31, 1997",15.64
"Dec. 31, 1996",16.22
"Sept. 30, 1996",16.19
"June 30, 1996",16.64
"March 31, 1996",17.46
"Dec. 31, 1995",17.40
"Sept. 30, 1995",17.54
"June 30, 1995",14.79
"March 31, 1995",13.95
"Dec. 31, 1994",13.90
"Sept. 30, 1994",13.93
"June 30, 1994",16.62
"March 31, 1994",16.41
