date,long_term_debt
"Dec. 31, 2019",31.72B
"Sept. 30, 2019",32.45B
"June 30, 2019",32.30B
"March 31, 2019",33.35B
"Dec. 31, 2018",34.46B
"Sept. 30, 2018",34.91B
"June 30, 2018",33.57B
"March 31, 2018",33.29B
"Dec. 31, 2017",32.56B
"Sept. 30, 2017",32.09B
"June 30, 2017",30.96B
"March 31, 2017",31.68B
"Dec. 31, 2016",32.22B
"Sept. 30, 2016",32.97B
"June 30, 2016",32.18B
"March 31, 2016",29.96B
"Dec. 31, 2015",24.29B
"Sept. 30, 2015",25.19B
"June 30, 2015",25.87B
"March 31, 2015",21.17B
"Dec. 31, 2014",19.85B
"Sept. 30, 2014",19.85B
"June 30, 2014",18.78B
"March 31, 2014",19.20B
"Dec. 31, 2013",18.27B
"Sept. 30, 2013",18.57B
"June 30, 2013",17.22B
"March 31, 2013",17.36B
"Dec. 31, 2012",18.35B
"Sept. 30, 2012",18.24B
"June 30, 2012",18.17B
"March 31, 2012",17.46B
"Dec. 31, 2011",12.19B
"Sept. 30, 2011",12.56B
"June 30, 2011",12.15B
"March 31, 2011",12.15B
"Dec. 31, 2010",12.00B
"March 31, 2010",11.20B
"Dec. 31, 2009",11.38B
"Sept. 30, 2009",12.43B
"June 30, 2009",12.03B
"March 31, 2009",13.41B
"Dec. 31, 2008",12.59B
"Sept. 30, 2008",12.28B
"June 30, 2008",12.64B
"March 31, 2008",12.80B
"Dec. 31, 2007",11.96B
"Sept. 30, 2007",11.73B
"June 30, 2007",11.01B
"March 31, 2007",11.66B
"Dec. 31, 2006",11.91B
"Sept. 30, 2006",11.58B
"June 30, 2006",11.41B
"March 31, 2006",11.65B
"Dec. 31, 2005",11.76B
"Sept. 30, 2005",12.16B
"June 30, 2005",12.55B
"March 31, 2005",11.00B
"Dec. 31, 2004",12.15B
"Sept. 30, 2004",12.76B
"June 30, 2004",13.92B
"March 31, 2004",14.02B
"Dec. 31, 2003",13.49B
"Sept. 30, 2003",12.99B
"June 30, 2003",12.48B
"March 31, 2003",13.37B
"Dec. 31, 2002",13.13B
"Sept. 30, 2002",11.90B
"June 30, 2002",12.59B
"March 31, 2002",12.61B
"Dec. 31, 2001",12.88B
"Sept. 30, 2001",13.38B
"June 30, 2001",13.85B
"March 31, 2001",12.89B
"Dec. 31, 2000",12.96B
"Sept. 30, 2000",6.252B
"June 30, 2000",6.431B
"March 31, 2000",5.895B
"Dec. 31, 1999",5.969B
"Sept. 30, 1999",6.051B
"June 30, 1999",6.092B
"March 31, 1999",6.084B
"Dec. 31, 1998",2.92B
"Sept. 30, 1998",3.590B
"June 30, 1998",3.594B
"March 31, 1998",3.597B
"Dec. 31, 1997",3.853B
"Sept. 30, 1997",3.714B
"June 30, 1997",3.954B
"March 31, 1997",3.936B
"Dec. 31, 1996",3.936B
"Sept. 30, 1996",4.186B
"June 30, 1996",4.156B
"March 31, 1996",4.199B
"Dec. 31, 1995",4.198B
"Sept. 30, 1995",4.314B
"June 30, 1995",4.516B
"March 31, 1995",4.602B
"Dec. 31, 1994",4.786B
"Sept. 30, 1994",4.797B
"June 30, 1994",4.876B
"March 31, 1994",4.776B
