date,pe_10
"March 19, 2020",12.42
"March 18, 2020",12.67
"March 17, 2020",13.80
"March 16, 2020",11.70
"March 13, 2020",13.94
"March 12, 2020",13.52
"March 11, 2020",15.26
"March 10, 2020",16.53
"March 9, 2020",16.07
"March 6, 2020",17.32
"March 5, 2020",17.68
"March 4, 2020",17.95
"March 3, 2020",16.94
"March 2, 2020",17.42
"Feb. 28, 2020",16.53
"Feb. 27, 2020",17.30
"Feb. 26, 2020",18.04
"Feb. 25, 2020",18.26
"Feb. 24, 2020",18.72
"Feb. 21, 2020",19.06
"Feb. 20, 2020",19.11
"Feb. 19, 2020",19.01
"Feb. 18, 2020",19.31
"Feb. 14, 2020",19.08
"Feb. 13, 2020",19.00
"Feb. 12, 2020",18.88
"Feb. 11, 2020",18.92
"Feb. 10, 2020",18.52
"Feb. 7, 2020",18.47
"Feb. 6, 2020",18.50
"Feb. 5, 2020",18.53
"Feb. 4, 2020",18.44
"Feb. 3, 2020",18.48
"Jan. 31, 2020",18.24
"Jan. 30, 2020",18.42
"Jan. 29, 2020",18.33
"Jan. 28, 2020",18.30
"Jan. 27, 2020",18.12
"Jan. 24, 2020",18.30
"Jan. 23, 2020",18.38
"Jan. 22, 2020",18.27
"Jan. 21, 2020",18.24
"Jan. 17, 2020",18.17
"Jan. 16, 2020",17.92
"Jan. 15, 2020",17.85
"Jan. 14, 2020",17.56
"Jan. 13, 2020",17.71
"Jan. 10, 2020",17.73
"Jan. 9, 2020",17.69
"Jan. 8, 2020",17.64
"Jan. 7, 2020",17.51
"Jan. 6, 2020",17.49
"Jan. 3, 2020",17.47
"Jan. 2, 2020",17.42
"Dec. 31, 2019",17.48
"Dec. 30, 2019",17.22
"Dec. 27, 2019",17.23
"Dec. 26, 2019",17.20
"Dec. 24, 2019",17.20
"Dec. 23, 2019",17.15
"Dec. 20, 2019",17.25
"Dec. 19, 2019",17.07
"Dec. 18, 2019",17.22
"Dec. 17, 2019",17.07
"Dec. 16, 2019",16.96
"Dec. 13, 2019",16.63
"Dec. 12, 2019",16.73
"Dec. 11, 2019",16.77
"Dec. 10, 2019",16.97
"Dec. 9, 2019",17.05
"Dec. 6, 2019",17.02
"Dec. 5, 2019",17.02
"Dec. 4, 2019",16.90
"Dec. 3, 2019",16.79
"Dec. 2, 2019",16.66
"Nov. 29, 2019",16.85
"Nov. 27, 2019",16.80
"Nov. 26, 2019",16.70
"Nov. 25, 2019",16.76
"Nov. 22, 2019",16.86
"Nov. 21, 2019",16.84
"Nov. 20, 2019",17.21
"Nov. 19, 2019",17.22
"Nov. 18, 2019",17.23
"Nov. 15, 2019",17.08
"Nov. 14, 2019",16.93
"Nov. 13, 2019",16.88
"Nov. 12, 2019",16.82
"Nov. 11, 2019",16.70
"Nov. 8, 2019",16.96
"Nov. 7, 2019",16.96
"Nov. 6, 2019",17.01
"Nov. 5, 2019",16.99
"Nov. 4, 2019",16.88
"Nov. 1, 2019",17.20
"Oct. 31, 2019",17.26
"Oct. 30, 2019",17.70
"Oct. 29, 2019",17.40
"Oct. 28, 2019",17.30
"Oct. 25, 2019",17.41
"Oct. 24, 2019",17.52
"Oct. 23, 2019",17.32
"Oct. 22, 2019",17.17
"Oct. 21, 2019",16.96
"Oct. 18, 2019",16.95
"Oct. 17, 2019",16.72
"Oct. 16, 2019",17.04
"Oct. 15, 2019",17.86
"Oct. 14, 2019",17.87
"Oct. 11, 2019",18.03
"Oct. 10, 2019",17.99
"Oct. 9, 2019",18.18
"Oct. 8, 2019",18.13
"Oct. 7, 2019",18.39
"Oct. 4, 2019",18.38
"Oct. 3, 2019",18.11
"Oct. 2, 2019",18.07
"Oct. 1, 2019",18.21
"Sept. 30, 2019",18.33
"Sept. 27, 2019",18.11
"Sept. 26, 2019",18.33
"Sept. 25, 2019",18.27
"Sept. 24, 2019",18.19
"Sept. 23, 2019",18.01
"Sept. 20, 2019",18.06
"Sept. 19, 2019",17.82
"Sept. 18, 2019",17.87
"Sept. 17, 2019",17.63
"Sept. 16, 2019",17.66
"Sept. 13, 2019",17.62
"Sept. 12, 2019",17.85
"Sept. 11, 2019",18.16
"Sept. 10, 2019",18.02
"Sept. 9, 2019",17.90
"Sept. 6, 2019",17.94
"Sept. 5, 2019",17.94
"Sept. 4, 2019",17.89
"Sept. 3, 2019",17.86
"Aug. 30, 2019",17.61
"Aug. 29, 2019",17.42
"Aug. 28, 2019",17.31
"Aug. 27, 2019",17.23
"Aug. 26, 2019",17.03
"Aug. 23, 2019",16.73
"Aug. 22, 2019",16.97
"Aug. 21, 2019",16.94
"Aug. 20, 2019",16.85
"Aug. 19, 2019",16.88
"Aug. 16, 2019",16.82
"Aug. 15, 2019",16.64
"Aug. 14, 2019",16.58
"Aug. 13, 2019",16.97
"Aug. 12, 2019",16.85
"Aug. 9, 2019",16.85
"Aug. 8, 2019",16.93
"Aug. 7, 2019",16.78
"Aug. 6, 2019",16.85
"Aug. 5, 2019",16.56
"Aug. 2, 2019",16.68
"Aug. 1, 2019",16.55
"July 31, 2019",16.79
"July 30, 2019",17.16
"July 29, 2019",17.16
"July 26, 2019",17.08
"July 25, 2019",17.19
"July 24, 2019",16.95
"July 23, 2019",17.28
"July 22, 2019",17.62
"July 19, 2019",17.73
"July 18, 2019",18.17
"July 17, 2019",18.11
"July 16, 2019",18.04
"July 15, 2019",18.22
"July 12, 2019",18.29
"July 11, 2019",18.46
"July 10, 2019",18.40
"July 9, 2019",18.26
"July 8, 2019",18.18
"July 5, 2019",18.34
"July 3, 2019",18.27
"July 2, 2019",18.20
"July 1, 2019",17.91
"June 30, 2019",17.87
"June 28, 2019",17.57
"June 27, 2019",17.43
"June 26, 2019",17.51
"June 25, 2019",17.97
"June 24, 2019",18.38
"June 21, 2019",18.47
"June 20, 2019",18.41
"June 19, 2019",18.32
"June 18, 2019",18.28
"June 17, 2019",18.48
"June 14, 2019",18.61
"June 13, 2019",18.38
"June 12, 2019",18.48
"June 11, 2019",18.03
"June 10, 2019",18.16
"June 7, 2019",18.30
"June 6, 2019",18.40
