date,times_interest_earned
"Dec. 31, 2019",2.687
"Sept. 30, 2019",2.501
"June 30, 2019",2.390
"March 31, 2019",2.527
"Dec. 31, 2018",2.469
"Sept. 30, 2018",2.798
"June 30, 2018",3.039
"March 31, 2018",2.507
"Dec. 31, 2017",2.525
"Sept. 30, 2017",2.430
"June 30, 2017",2.108
"March 31, 2017",2.381
"Dec. 31, 2016",2.121
"Sept. 30, 2016",2.098
"June 30, 2016",2.502
"March 31, 2016",3.596
"Dec. 31, 2015",4.258
"Sept. 30, 2015",3.586
"June 30, 2015",3.752
"March 31, 2015",3.017
"Dec. 31, 2014",2.241
"Sept. 30, 2014",3.132
"June 30, 2014",3.019
"March 31, 2014",3.453
"Dec. 31, 2013",2.691
"Sept. 30, 2013",2.602
"June 30, 2013",2.117
"March 31, 2013",1.923
"Dec. 31, 2012",2.663
"Sept. 30, 2012",3.137
"June 30, 2012",3.931
"March 31, 2012",4.816
"Dec. 31, 2011",6.169
"Sept. 30, 2011",5.813
"June 30, 2011",6.609
"March 31, 2011",5.560
"Dec. 31, 2010",5.790
"Sept. 30, 2010",6.295
"June 30, 2010",6.161
"March 31, 2010",7.476
"Dec. 31, 2009",7.045
"Sept. 30, 2009",8.865
"June 30, 2009",13.05
"March 31, 2009",26.49
