date,debt_equity_ratio
"Dec. 31, 2019",1.173
"Sept. 30, 2019",1.178
"June 30, 2019",1.177
"March 31, 2019",1.184
"Dec. 31, 2018",1.188
"Sept. 30, 2018",1.177
"June 30, 2018",1.179
"March 31, 2018",1.196
"Dec. 31, 2017",1.190
"Sept. 30, 2017",1.280
"June 30, 2017",1.319
"March 31, 2017",1.409
"Dec. 31, 2016",1.39
"Sept. 30, 2016",1.385
"June 30, 2016",1.391
"March 31, 2016",1.386
"Dec. 31, 2015",1.020
"Sept. 30, 2015",1.038
"June 30, 2015",1.133
"March 31, 2015",0.9857
"Dec. 31, 2014",0.9782
"Sept. 30, 2014",0.9525
"June 30, 2014",0.9386
"March 31, 2014",0.9105
"Dec. 31, 2013",0.8851
"Sept. 30, 2013",0.9345
"June 30, 2013",0.9423
"March 31, 2013",0.9466
"Dec. 31, 2012",0.9147
"Sept. 30, 2012",0.9005
"June 30, 2012",0.8789
"March 31, 2012",0.8598
"Dec. 31, 2011",0.9319
"Sept. 30, 2011",1.009
"June 30, 2011",0.9614
"March 31, 2011",0.9673
"Dec. 31, 2010",0.946
"Sept. 30, 2010",
"June 30, 2010",
"March 31, 2010",0.9598
"Dec. 31, 2009",0.9964
"Sept. 30, 2009",1.124
"June 30, 2009",1.06
"March 31, 2009",1.172
"Dec. 31, 2008",1.190
"Sept. 30, 2008",1.121
"June 30, 2008",1.492
"March 31, 2008",1.496
"Dec. 31, 2007",1.350
"Sept. 30, 2007",1.317
"June 30, 2007",1.173
"March 31, 2007",1.322
"Dec. 31, 2006",1.304
"Sept. 30, 2006",1.370
"June 30, 2006",1.410
"March 31, 2006",1.533
"Dec. 31, 2005",1.530
"Sept. 30, 2005",1.323
"June 30, 2005",1.402
"March 31, 2005",1.476
"Dec. 31, 2004",1.428
"Sept. 30, 2004",1.474
"June 30, 2004",1.644
"March 31, 2004",1.738
"Dec. 31, 2003",1.854
"Sept. 30, 2003",1.858
"June 30, 2003",1.883
"March 31, 2003",1.993
"Dec. 31, 2002",2.034
"Sept. 30, 2002",1.668
"June 30, 2002",1.777
"March 31, 2002",1.821
"Dec. 31, 2001",1.808
"Sept. 30, 2001",1.914
"June 30, 2001",2.017
"March 31, 2001",2.079
"Dec. 31, 2000",2.112
"Sept. 30, 2000",3.671
"June 30, 2000",4.352
"March 31, 2000",3.042
"Dec. 31, 1999",3.531
"Sept. 30, 1999",3.059
"June 30, 1999",3.370
"March 31, 1999",2.643
"Dec. 31, 1998",1.192
"Sept. 30, 1998",1.204
"June 30, 1998",1.453
"March 31, 1998",1.515
"Dec. 31, 1997",1.541
"Sept. 30, 1997",0.8809
"June 30, 1997",0.9299
"March 31, 1997",0.9249
"Dec. 31, 1996",0.9226
"Sept. 30, 1996",0.9305
"June 30, 1996",0.9553
"March 31, 1996",0.9605
"Dec. 31, 1995",0.966
"Sept. 30, 1995",0.9967
"June 30, 1995",1.033
"March 31, 1995",1.065
"Dec. 31, 1994",1.083
"Sept. 30, 1994",1.093
"June 30, 1994",1.070
"March 31, 1994",1.070
