date,cash_dividend_payout_ratio
"Dec. 31, 2019",-239.0%
"Sept. 30, 2019",11.57K%
"June 30, 2019",436.3%
"March 31, 2019",225.5%
"Dec. 31, 2018",126.9%
"Sept. 30, 2018",137.3%
"June 30, 2018",142.6%
"March 31, 2018",279.5%
"Dec. 31, 2017",-1.19K%
"Sept. 30, 2017",-125.2%
"June 30, 2017",-107.7%
"March 31, 2017",-396.6%
"Dec. 31, 2016",-1.27K%
"Sept. 30, 2016",153.3%
"June 30, 2016",-253.9%
"March 31, 2016",-253.5%
"Dec. 31, 2015",-13.81K%
"Sept. 30, 2015",-118.2%
"June 30, 2015",-296.1%
"March 31, 2015",-123.9%
"Dec. 31, 2014",-65.74%
"Sept. 30, 2014",-3.56K%
"June 30, 2014",282.0%
"March 31, 2014",220.0%
"Dec. 31, 2013",131.8%
"Sept. 30, 2013",324.9%
"June 30, 2013",645.8%
"March 31, 2013",709.4%
"Dec. 31, 2012",501.8%
"Sept. 30, 2012",127.2%
"June 30, 2012",89.74%
"March 31, 2012",83.73%
"Dec. 31, 2011",171.8%
"Sept. 30, 2011",1.05K%
"June 30, 2011",863.4%
"March 31, 2011",-329.4%
"Dec. 31, 2010",72.42%
"Sept. 30, 2010",63.89%
"June 30, 2010",69.25%
"March 31, 2010",54.01%
"Dec. 31, 2009",49.10%
"Sept. 30, 2009",37.14%
"June 30, 2009",27.08%
"March 31, 2009",27.85%
"Dec. 31, 2008",38.88%
"Sept. 30, 2008",55.99%
"June 30, 2008",85.06%
"March 31, 2008",73.71%
"Dec. 31, 2007",64.76%
"Sept. 30, 2007",51.72%
"June 30, 2007",65.32%
"March 31, 2007",50.51%
"Dec. 31, 2006",44.31%
"Sept. 30, 2006",60.81%
"June 30, 2006",61.67%
"March 31, 2006",62.39%
"Dec. 31, 2005",-5.94K%
"Sept. 30, 2005",166.4%
"June 30, 2005",76.10%
"March 31, 2005",162.3%
"Dec. 31, 2004",33.55%
"Sept. 30, 2004",32.36%
"June 30, 2004",38.99%
"March 31, 2004",34.75%
"Dec. 31, 2003",43.36%
"Sept. 30, 2003",41.68%
"June 30, 2003",50.40%
"March 31, 2003",48.05%
"Dec. 31, 2002",38.46%
"Sept. 30, 2002",53.57%
"June 30, 2002",46.03%
"March 31, 2002",36.90%
"Dec. 31, 2001",37.04%
"Sept. 30, 2001",26.52%
"June 30, 2001",29.67%
"March 31, 2001",46.15%
"Dec. 31, 2000",45.64%
"Sept. 30, 2000",65.23%
"June 30, 2000",41.73%
"March 31, 2000",53.87%
"Dec. 31, 1999",50.00%
"Sept. 30, 1999",37.53%
"June 30, 1999",30.06%
"March 31, 1999",23.51%
"Dec. 31, 1998",23.18%
"Sept. 30, 1998",38.05%
"June 30, 1998",50.39%
"March 31, 1998",69.82%
"Dec. 31, 1997",76.17%
"Sept. 30, 1997",61.05%
"June 30, 1997",79.68%
"March 31, 1997",74.44%
"Dec. 31, 1996",65.76%
"Sept. 30, 1996",56.45%
"June 30, 1996",52.74%
"March 31, 1996",50.91%
"Dec. 31, 1995",54.36%
"Sept. 30, 1995",61.33%
"June 30, 1995",52.24%
"March 31, 1995",53.74%
"Dec. 31, 1994",52.65%
