date,net_income_annual_cs_rev
"Dec. 31, 2019",8.53%
"Dec. 31, 2018",5.57%
"Dec. 31, 2017",11.26%
"Dec. 31, 2016",3.57%
"Dec. 31, 2015",7.71%
"Dec. 31, 2014",5.92%
"Dec. 31, 2013",6.91%
"Dec. 31, 2012",4.94%
"Dec. 31, 2011",13.09%
"Dec. 31, 2010",13.75%
"Dec. 31, 2009",15.63%
"Dec. 31, 2008",14.51%
"Dec. 31, 2007",14.46%
"Dec. 31, 2006",10.17%
"Dec. 31, 2005",6.01%
"Dec. 31, 2004",13.19%
"Dec. 31, 2003",5.97%
"Dec. 31, 2002",9.63%
"Dec. 31, 2001",9.57%
"Dec. 31, 2000",7.81%
"Dec. 31, 1999",10.41%
"Dec. 31, 1998",9.39%
"Dec. 31, 1997",-32.42%
"Dec. 31, 1996",12.07%
"Dec. 31, 1995",14.56%
"Dec. 31, 1994",10.56%
"Dec. 31, 1993",14.81%
"Dec. 31, 1992",12.09%
"Dec. 31, 1991",13.45%
"Dec. 31, 1990",2.86%
"Dec. 31, 1989",17.34%
"Dec. 31, 1988",17.53%
"Dec. 31, 1987",17.05%
"Dec. 31, 1986",18.32%
"Dec. 31, 1985",17.43%
"Dec. 31, 1984",16.52%
