date,tangible_common_equity_ratio
"Dec. 31, 2019",21.48%
"Sept. 30, 2019",21.84%
"June 30, 2019",21.64%
"March 31, 2019",21.48%
"Dec. 31, 2018",21.22%
"Sept. 30, 2018",21.58%
"June 30, 2018",21.56%
"March 31, 2018",21.35%
"Dec. 31, 2017",21.11%
"Sept. 30, 2017",19.16%
"June 30, 2017",18.90%
"March 31, 2017",17.98%
"Dec. 31, 2016",17.70%
"Sept. 30, 2016",17.94%
"June 30, 2016",17.97%
"March 31, 2016",18.11%
"Dec. 31, 2015",24.94%
"Sept. 30, 2015",24.98%
"June 30, 2015",23.27%
"March 31, 2015",24.07%
"Dec. 31, 2014",23.81%
"Sept. 30, 2014",25.33%
"June 30, 2014",24.92%
"March 31, 2014",25.95%
"Dec. 31, 2013",26.01%
"Sept. 30, 2013",24.97%
"June 30, 2013",24.71%
"March 31, 2013",24.42%
"Dec. 31, 2012",24.77%
"Sept. 30, 2012",25.35%
"June 30, 2012",25.94%
"March 31, 2012",25.59%
"Dec. 31, 2011",22.46%
"Sept. 30, 2011",22.76%
"June 30, 2011",23.27%
"March 31, 2011",23.19%
"Dec. 31, 2010",22.04%
"Sept. 30, 2010",
"June 30, 2010",
"March 31, 2010",22.50%
"Dec. 31, 2009",21.51%
"Sept. 30, 2009",21.04%
"June 30, 2009",20.55%
"March 31, 2009",20.49%
"Dec. 31, 2008",18.75%
"Sept. 30, 2008",21.04%
"June 30, 2008",16.44%
"March 31, 2008",16.68%
"Dec. 31, 2007",17.58%
"Sept. 30, 2007",18.06%
"June 30, 2007",19.99%
"March 31, 2007",17.77%
"Dec. 31, 2006",17.57%
"Sept. 30, 2006",17.99%
"June 30, 2006",16.13%
"March 31, 2006",14.71%
"Dec. 31, 2005",14.37%
"Sept. 30, 2005",14.20%
"June 30, 2005",14.29%
"March 31, 2005",13.30%
"Dec. 31, 2004",12.58%
"Sept. 30, 2004",12.96%
"June 30, 2004",11.53%
"March 31, 2004",10.26%
"Dec. 31, 2003",10.17%
"Sept. 30, 2003",10.44%
"June 30, 2003",10.25%
"March 31, 2003",9.16%
"Dec. 31, 2002",8.36%
"Sept. 30, 2002",11.72%
"June 30, 2002",11.01%
"March 31, 2002",10.29%
"Dec. 31, 2001",9.41%
"Sept. 30, 2001",7.70%
"June 30, 2001",6.72%
"March 31, 2001",6.32%
"Dec. 31, 2000",6.90%
"Sept. 30, 2000",11.39%
"June 30, 2000",9.59%
"March 31, 2000",13.77%
"Dec. 31, 1999",12.74%
"Sept. 30, 1999",14.23%
"June 30, 1999",12.65%
"March 31, 1999",16.56%
"Dec. 31, 1998",25.37%
"Sept. 30, 1998",25.27%
"June 30, 1998",23.23%
"March 31, 1998",22.48%
"Dec. 31, 1997",22.07%
"Sept. 30, 1997",30.74%
"June 30, 1997",30.36%
"March 31, 1997",30.30%
"Dec. 31, 1996",30.44%
"Sept. 30, 1996",31.08%
"June 30, 1996",30.81%
"March 31, 1996",30.42%
"Dec. 31, 1995",30.29%
"Sept. 30, 1995",29.66%
"June 30, 1995",29.33%
"March 31, 1995",28.74%
"Dec. 31, 1994",28.56%
"Sept. 30, 1994",28.09%
"June 30, 1994",28.68%
"March 31, 1994",28.50%
