date,kz_index
"Dec. 31, 2018",1.243
"Dec. 31, 2017",1.204
"Dec. 31, 2016",1.152
"Dec. 31, 2015",0.6735
"Dec. 31, 2014",0.8147
"Dec. 31, 2013",0.432
"Dec. 31, 2012",-0.4875
"Dec. 31, 2011",-0.0428
"Dec. 31, 2010",-0.2088
"Dec. 31, 2009",
"Dec. 31, 2008",
"Dec. 31, 2007",0.9746
"Dec. 31, 2006",0.7928
"Dec. 31, 2005",0.8243
"Dec. 31, 2004",
"Dec. 31, 2003",1.164
"Dec. 31, 2002",0.8079
"Dec. 31, 2001",0.4609
"Dec. 31, 2000",1.257
"Dec. 31, 1999",1.226
"Dec. 31, 1998",0.1978
"Dec. 31, 1997",0.6552
"Dec. 31, 1996",0.0849
"Dec. 31, 1995",0.3027
