date,net_income_ttm
"Dec. 31, 2019",2.935B
"Sept. 30, 2019",2.31B
"June 30, 2019",2.271B
"March 31, 2019",2.326B
"Dec. 31, 2018",2.004B
"Sept. 30, 2018",3.729B
"June 30, 2018",3.819B
"March 31, 2018",3.375B
"Dec. 31, 2017",3.78B
"Sept. 30, 2017",2.099B
"June 30, 2017",1.766B
"March 31, 2017",1.938B
"Dec. 31, 2016",1.121B
"Sept. 30, 2016",1.24B
"June 30, 2016",1.379B
"March 31, 2016",1.75B
"Dec. 31, 2015",2.27B
"Sept. 30, 2015",1.979B
"June 30, 2015",2.343B
"March 31, 2015",2.227B
"Dec. 31, 2014",1.624B
"Sept. 30, 2014",2.10B
"June 30, 2014",1.845B
"March 31, 2014",1.813B
"Dec. 31, 2013",1.719B
"Sept. 30, 2013",1.602B
"June 30, 2013",1.16B
"March 31, 2013",956.00M
"Dec. 31, 2012",1.16B
"Sept. 30, 2012",1.388B
"June 30, 2012",1.693B
"March 31, 2012",2.027B
"Dec. 31, 2011",2.495B
"Sept. 30, 2011",2.413B
"June 30, 2011",2.657B
"March 31, 2011",2.482B
"Dec. 31, 2010",2.563B
"Sept. 30, 2010",2.62B
"June 30, 2010",2.532B
"March 31, 2010",2.744B
"Dec. 31, 2009",2.707B
"Sept. 30, 2009",2.833B
"June 30, 2009",2.776B
"March 31, 2009",2.867B
"Dec. 31, 2008",2.736B
"Sept. 30, 2008",2.592B
"June 30, 2008",2.672B
"March 31, 2008",2.626B
"Dec. 31, 2007",2.736B
"Sept. 30, 2007",2.765B
"June 30, 2007",1.941B
"March 31, 2007",1.883B
"Dec. 31, 2006",1.592B
"Sept. 30, 2006",163.00M
"June 30, 2006",932.00M
"March 31, 2006",803.00M
"Dec. 31, 2005",924.00M
"Sept. 30, 2005",2.124B
"June 30, 2005",1.967B
"March 31, 2005",1.973B
"Dec. 31, 2004",1.864B
"Sept. 30, 2004",1.775B
"June 30, 2004",1.105B
"March 31, 2004",956.00M
"Dec. 31, 2003",905.00M
"Sept. 30, 2003",1.028B
"June 30, 2003",1.681B
"March 31, 2003",1.794B
"Dec. 31, 2002",1.441B
"Sept. 30, 2002",1.382B
"June 30, 2002",1.207B
"March 31, 2002",1.037B
"Dec. 31, 2001",1.428B
"Sept. 30, 2001",1.136B
"June 30, 2001",992.00M
"March 31, 2001",793.00M
"Dec. 31, 2000",585.00M
"Sept. 30, 2000",652.00M
"June 30, 2000",651.00M
"March 31, 2000",605.00M
"Dec. 31, 1999",570.00M
"Sept. 30, 1999",418.20M
"June 30, 1999",460.90M
"March 31, 1999",542.40M
"Dec. 31, 1998",500.00M
"Sept. 30, 1998",-1.352B
"June 30, 1998",-1.468B
"March 31, 1998",-1.496B
"Dec. 31, 1997",-1.497B
"Sept. 30, 1997",512.10M
"June 30, 1997",503.90M
"March 31, 1997",479.90M
"Dec. 31, 1996",517.20M
"Sept. 30, 1996",518.70M
"June 30, 1996",553.20M
"March 31, 1996",608.00M
"Dec. 31, 1995",609.70M
"Sept. 30, 1995",619.00M
"June 30, 1995",456.90M
"March 31, 1995",419.30M
"Dec. 31, 1994",426.70M
"Sept. 30, 1994",436.50M
"June 30, 1994",596.00M
"March 31, 1994",587.70M
"Dec. 31, 1993",590.70M
"Sept. 30, 1993",605.60M
"June 30, 1993",566.20M
"March 31, 1993",552.80M
"Dec. 31, 1992",478.80M
"Sept. 30, 1992",417.40M
"June 30, 1992",448.50M
"March 31, 1992",479.20M
"Dec. 31, 1991",534.60M
"Sept. 30, 1991",471.70M
"June 30, 1991",314.20M
"March 31, 1991",309.60M
"Dec. 31, 1990",105.80M
"Sept. 30, 1990",208.90M
"June 30, 1990",398.50M
"March 31, 1990",387.00M
"Dec. 31, 1989",590.30M
"Sept. 30, 1989",555.40M
"June 30, 1989",546.80M
"March 31, 1989",548.00M
"Dec. 31, 1988",566.10M
"Sept. 30, 1988",591.10M
"June 30, 1988",535.50M
"March 31, 1988",534.30M
"Dec. 31, 1987",542.40M
"Sept. 30, 1987",522.20M
"June 30, 1987",549.60M
"March 31, 1987",568.90M
"Dec. 31, 1986",565.70M
"Sept. 30, 1986",594.30M
"June 30, 1986",549.80M
"March 31, 1986",540.50M
"Dec. 31, 1985",525.40M
"Sept. 30, 1985",511.40M
"June 30, 1985",519.50M
"March 31, 1985",508.80M
"Dec. 31, 1984",492.40M
