date,capex_ttm
"Dec. 31, 2019",7.248B
"Sept. 30, 2019",7.356B
"June 30, 2019",7.359B
"March 31, 2019",7.587B
"Dec. 31, 2018",7.594B
"Sept. 30, 2018",7.525B
"June 30, 2018",7.546B
"March 31, 2018",7.455B
"Dec. 31, 2017",7.584B
"Sept. 30, 2017",7.741B
"June 30, 2017",7.909B
"March 31, 2017",8.36B
"Dec. 31, 2016",8.553B
"Sept. 30, 2016",8.549B
"June 30, 2016",8.653B
"March 31, 2016",8.042B
"Dec. 31, 2015",7.624B
"Sept. 30, 2015",7.406B
"June 30, 2015",7.036B
"March 31, 2015",6.644B
"Dec. 31, 2014",6.077B
"Sept. 30, 2014",5.622B
"June 30, 2014",5.378B
"March 31, 2014",5.165B
"Dec. 31, 2013",5.395B
"Sept. 30, 2013",5.514B
"June 30, 2013",5.507B
"March 31, 2013",5.74B
"Dec. 31, 2012",5.789B
"Sept. 30, 2012",5.232B
"June 30, 2012",4.857B
"March 31, 2012",4.388B
"Dec. 31, 2011",4.042B
"Sept. 30, 2011",3.916B
"June 30, 2011",3.727B
"March 31, 2011",3.598B
"Dec. 31, 2010",3.326B
"Sept. 30, 2010",3.403B
"June 30, 2010",3.413B
"March 31, 2010",3.439B
"Dec. 31, 2009",3.273B
"Sept. 30, 2009",3.087B
"June 30, 2009",3.791B
"March 31, 2009",2.932B
"Dec. 31, 2008",3.117B
"Sept. 30, 2008",3.064B
"June 30, 2008",2.16B
"March 31, 2008",2.899B
"Dec. 31, 2007",2.674B
"Sept. 30, 2007",2.558B
"June 30, 2007",2.546B
"March 31, 2007",2.477B
"Dec. 31, 2006",2.418B
"Sept. 30, 2006",2.396B
"June 30, 2006",2.314B
"March 31, 2006",2.289B
"Dec. 31, 2005",2.165B
"Sept. 30, 2005",2.147B
"June 30, 2005",2.559B
"March 31, 2005",1.973B
"Dec. 31, 2004",1.921B
"Sept. 30, 2004",1.748B
"June 30, 2004",1.304B
"March 31, 2004",1.964B
"Dec. 31, 2003",1.954B
"Sept. 30, 2003",2.117B
"June 30, 2003",2.141B
"March 31, 2003",1.991B
"Dec. 31, 2002",2.15B
"Sept. 30, 2002",2.223B
"June 30, 2002",2.167B
"March 31, 2002",2.135B
"Dec. 31, 2001",2.041B
"Sept. 30, 2001",1.669B
"June 30, 2001",1.367B
"March 31, 2001",1.123B
"Dec. 31, 2000",752.00M
"Sept. 30, 2000",564.00M
"June 30, 2000",534.00M
"March 31, 2000",535.00M
"Dec. 31, 1999",491.00M
"Sept. 30, 1999",460.10M
"June 30, 1999",429.90M
"March 31, 1999",375.50M
"Dec. 31, 1998",415.00M
"Sept. 30, 1998",445.00M
"June 30, 1998",473.40M
"March 31, 1998",505.30M
"Dec. 31, 1997",490.20M
"Sept. 30, 1997",545.40M
"June 30, 1997",629.70M
"March 31, 1997",592.60M
"Dec. 31, 1996",548.90M
"Sept. 30, 1996",545.00M
"June 30, 1996",474.10M
"March 31, 1996",466.10M
"Dec. 31, 1995",532.60M
"Sept. 30, 1995",595.70M
"June 30, 1995",575.50M
"March 31, 1995",601.60M
"Dec. 31, 1994",570.90M
"Sept. 30, 1994",328.40M
"June 30, 1994",219.00M
"March 31, 1994",93.50M
