Ex-Date,Record Date,Pay Date,Declared Date,Type,Amoun
02/19/2020,02/20/2020,03/10/2020,01/28/2020,Normal,0.3825
11/14/2019,11/15/2019,12/10/2019,11/01/2019,Normal,0.3625
08/14/2019,08/15/2019,09/10/2019,07/30/2019,Normal,0.3625
05/14/2019,05/15/2019,06/10/2019,04/30/2019,Normal,0.3625
02/19/2019,02/20/2019,03/08/2019,02/05/2019,Normal,0.3625
11/14/2018,11/15/2018,12/10/2018,09/24/2018,Normal,0.345
08/14/2018,08/15/2018,09/10/2018,07/24/2018,Normal,0.345
05/14/2018,05/15/2018,06/08/2018,05/02/2018,Normal,0.345
02/14/2018,02/15/2018,03/09/2018,01/31/2018,Normal,0.345
11/14/2017,11/15/2017,12/08/2017,09/22/2017,Normal,0.3275
08/11/2017,08/15/2017,09/08/2017,07/25/2017,Normal,0.3275
05/11/2017,05/15/2017,06/09/2017,04/18/2017,Normal,0.3275
02/13/2017,02/15/2017,03/10/2017,01/31/2017,Normal,0.3275
11/10/2016,11/15/2016,12/09/2016,10/25/2016,Normal,0.318
08/11/2016,08/15/2016,09/09/2016,07/26/2016,Normal,0.318
05/11/2016,05/13/2016,06/10/2016,04/26/2016,Normal,0.318
02/10/2016,02/12/2016,03/10/2016,01/27/2016,Normal,0.31
11/10/2015,11/13/2015,12/10/2015,10/27/2015,Normal,0.31
08/12/2015,08/14/2015,09/10/2015,07/28/2015,Normal,0.31
05/13/2015,05/15/2015,06/10/2015,04/28/2015,Normal,0.31
02/11/2015,02/13/2015,03/10/2015,01/27/2015,Normal,0.31
11/12/2014,11/14/2014,12/10/2014,10/21/2014,Normal,0.31
08/13/2014,08/15/2014,09/10/2014,07/29/2014,Normal,0.31
05/14/2014,05/16/2014,06/10/2014,05/06/2014,Normal,0.31
02/12/2014,02/14/2014,03/10/2014,01/28/2014,Normal,0.31
11/13/2013,11/15/2013,12/10/2013,10/22/2013,Normal,0.31
08/13/2013,08/15/2013,09/10/2013,07/23/2013,Normal,0.31
05/13/2013,05/15/2013,06/10/2013,04/24/2013,Normal,0.31
02/14/2013,02/19/2013,03/08/2013,02/06/2013,Normal,0.525
11/13/2012,11/15/2012,12/10/2012,10/22/2012,Normal,0.525
08/13/2012,08/15/2012,09/10/2012,07/26/2012,Normal,0.525
05/11/2012,05/15/2012,06/08/2012,02/03/2012,Normal,0.3792
03/13/2012,03/09/2012,04/11/2012,03/13/2012,Normal,0.1458
02/13/2012,02/15/2012,03/09/2012,10/26/2011,Normal,0.525
11/10/2011,11/15/2011,12/09/2011,10/26/2011,Normal,0.525
08/11/2011,08/15/2011,09/09/2011,07/27/2011,Normal,0.525
05/12/2011,05/16/2011,06/10/2011,05/04/2011,Normal,0.525
02/11/2011,02/15/2011,03/10/2011,01/26/2011,Normal,0.525
11/10/2010,11/15/2010,12/10/2010,10/27/2010,Normal,0.525
08/12/2010,08/16/2010,09/10/2010,07/28/2010,Normal,0.525
05/12/2010,05/14/2010,06/10/2010,04/28/2010,Normal,0.525
02/11/2010,02/16/2010,03/10/2010,01/27/2010,Normal,0.525
