date,ni_per_employee_annual
"Dec. 31, 2019",88840.47
"Dec. 31, 2018",58967.12
"Dec. 31, 2017",109509.3
"Dec. 31, 2016",34944.98
"Dec. 31, 2015",77235.98
"Dec. 31, 2014",59209.81
"Dec. 31, 2013",66260.65
"Dec. 31, 2012",51187.01
"Dec. 31, 2011",129674.4
"Dec. 31, 2010",132994.3
"Dec. 31, 2009",139038.0
"Dec. 31, 2008",146324.5
"Dec. 31, 2007",156342.9
"Dec. 31, 2006",92558.14
"Dec. 31, 2005",53507.25
"Dec. 31, 2004",99946.38
"Dec. 31, 2003",40044.25
"Dec. 31, 2002",52941.18
"Dec. 31, 2001",49072.16
"Dec. 31, 2000",28769.91
"Dec. 31, 1999",61448.90
"Dec. 31, 1998",70551.71
"Dec. 31, 1997",-205857.7
"Dec. 31, 1996",71818.37
"Dec. 31, 1995",71788.53
"Dec. 31, 1994",43678.98
"Dec. 31, 1993",60456.55
"Dec. 31, 1992",48614.35
"Dec. 31, 1991",50296.30
"Dec. 31, 1990",9338.86
