date,book_value_of_tangible_equity_per_share
"Dec. 31, 2019",26.08
"Sept. 30, 2019",26.07
"June 30, 2019",25.60
"March 31, 2019",25.42
"Dec. 31, 2018",24.74
"Sept. 30, 2018",25.17
"June 30, 2018",24.68
"March 31, 2018",24.40
"Dec. 31, 2017",24.14
"Sept. 30, 2017",22.30
"June 30, 2017",21.74
"March 31, 2017",21.44
"Dec. 31, 2016",20.74
"Sept. 30, 2016",20.96
"June 30, 2016",20.65
"March 31, 2016",21.45
"Dec. 31, 2015",25.13
"Sept. 30, 2015",25.12
"June 30, 2015",24.18
"March 31, 2015",23.68
"Dec. 31, 2014",23.18
"Sept. 30, 2014",24.34
"June 30, 2014",23.49
"March 31, 2014",23.22
"Dec. 31, 2013",23.46
"Sept. 30, 2013",22.45
"June 30, 2013",21.86
"March 31, 2013",21.57
"Dec. 31, 2012",22.00
"Sept. 30, 2012",22.47
"June 30, 2012",22.74
"March 31, 2012",22.51
"Dec. 31, 2011",17.74
"Sept. 30, 2011",17.69
"June 30, 2011",17.33
"March 31, 2011",17.07
"Dec. 31, 2010",16.52
"Sept. 30, 2010",
"June 30, 2010",
"March 31, 2010",16.39
"Dec. 31, 2009",15.17
"Sept. 30, 2009",14.96
"June 30, 2009",14.46
"March 31, 2009",14.38
"Dec. 31, 2008",12.79
"Sept. 30, 2008",13.62
"June 30, 2008",11.05
"March 31, 2008",10.99
"Dec. 31, 2007",11.36
"Sept. 30, 2007",11.79
"June 30, 2007",12.65
"March 31, 2007",11.11
"Dec. 31, 2006",10.91
"Sept. 30, 2006",10.44
"June 30, 2006",9.349
"March 31, 2006",8.542
"Dec. 31, 2005",8.478
"Sept. 30, 2005",8.185
"June 30, 2005",7.968
"March 31, 2005",7.505
"Dec. 31, 2004",7.172
"Sept. 30, 2004",7.304
"June 30, 2004",6.532
"March 31, 2004",6.029
"Dec. 31, 2003",5.768
"Sept. 30, 2003",5.494
"June 30, 2003",5.59
"March 31, 2003",4.959
"Dec. 31, 2002",4.253
"Sept. 30, 2002",5.491
"June 30, 2002",5.226
"March 31, 2002",4.782
"Dec. 31, 2001",4.310
"Sept. 30, 2001",3.620
"June 30, 2001",3.123
"March 31, 2001",2.863
"Dec. 31, 2000",3.170
"Sept. 30, 2000",2.410
"June 30, 2000",3.766
"March 31, 2000",4.899
"Dec. 31, 1999",4.557
"Sept. 30, 1999",5.040
"June 30, 1999",4.523
"March 31, 1999",6.461
"Dec. 31, 1998",6.803
"Sept. 30, 1998",6.964
"June 30, 1998",6.457
"March 31, 1998",6.242
"Dec. 31, 1997",6.126
"Sept. 30, 1997",10.61
"June 30, 1997",10.50
"March 31, 1997",10.46
"Dec. 31, 1996",10.44
"Sept. 30, 1996",10.41
"June 30, 1996",10.30
"March 31, 1996",10.30
"Dec. 31, 1995",10.20
"Sept. 30, 1995",10.16
"June 30, 1995",9.966
"March 31, 1995",9.835
"Dec. 31, 1994",9.707
"Sept. 30, 1994",9.634
"June 30, 1994",9.818
"March 31, 1994",9.768
