date,cash_investing_ttm
"Dec. 31, 2019",-7.26B
"Sept. 30, 2019",-7.44B
"June 30, 2019",-7.447B
"March 31, 2019",-7.763B
"Dec. 31, 2018",-7.834B
"Sept. 30, 2018",-7.837B
"June 30, 2018",-7.836B
"March 31, 2018",-7.545B
"Dec. 31, 2017",-7.971B
"Sept. 30, 2017",-7.974B
"June 30, 2017",-8.554B
"March 31, 2017",-9.185B
"Dec. 31, 2016",-15.45B
"Sept. 30, 2016",-15.35B
"June 30, 2016",-15.15B
"March 31, 2016",-14.62B
"Dec. 31, 2015",-7.822B
"Sept. 30, 2015",-6.912B
"June 30, 2015",-5.958B
"March 31, 2015",-5.339B
"Dec. 31, 2014",-4.599B
"Sept. 30, 2014",-4.80B
"June 30, 2014",-5.032B
"March 31, 2014",-4.934B
"Dec. 31, 2013",-5.394B
"Sept. 30, 2013",-5.204B
"June 30, 2013",-5.157B
"March 31, 2013",-5.407B
"Dec. 31, 2012",-4.576B
"Sept. 30, 2012",-3.914B
"June 30, 2012",-4.497B
"March 31, 2012",-4.064B
"Dec. 31, 2011",-4.603B
"Sept. 30, 2011",-5.888B
"June 30, 2011",-4.31B
"March 31, 2011",-4.364B
"Dec. 31, 2010",-3.894B
"Sept. 30, 2010",-3.111B
"June 30, 2010",-3.57B
"March 31, 2010",-3.415B
"Dec. 31, 2009",-3.458B
"Sept. 30, 2009",-3.285B
"June 30, 2009",-3.997B
"March 31, 2009",-3.025B
"Dec. 31, 2008",-3.378B
"Sept. 30, 2008",-3.321B
"June 30, 2008",-2.469B
"March 31, 2008",-3.355B
"Dec. 31, 2007",-2.909B
"Sept. 30, 2007",-2.793B
"June 30, 2007",-2.769B
"March 31, 2007",-2.708B
"Dec. 31, 2006",-2.762B
"Sept. 30, 2006",-2.836B
"June 30, 2006",-2.704B
"March 31, 2006",-2.634B
"Dec. 31, 2005",-2.487B
"Sept. 30, 2005",-2.217B
"June 30, 2005",-2.749B
"March 31, 2005",-1.934B
"Dec. 31, 2004",-1.739B
"Sept. 30, 2004",-2.093B
"June 30, 2004",-1.226B
"March 31, 2004",-2.097B
"Dec. 31, 2003",-2.109B
"Sept. 30, 2003",-1.964B
"June 30, 2003",-2.286B
"March 31, 2003",-2.291B
"Dec. 31, 2002",-2.538B
"Sept. 30, 2002",-2.604B
"June 30, 2002",-2.726B
"March 31, 2002",-2.481B
"Dec. 31, 2001",-2.392B
"Sept. 30, 2001",-2.195B
"June 30, 2001",-1.688B
"March 31, 2001",-1.58B
"Dec. 31, 2000",-1.203B
"Sept. 30, 2000",-989.00M
"June 30, 2000",-1.056B
"March 31, 2000",-968.00M
"Dec. 31, 1999",-886.00M
"Sept. 30, 1999",-595.10M
"June 30, 1999",-476.10M
"March 31, 1999",-416.40M
"Dec. 31, 1998",-462.00M
"Sept. 30, 1998",-464.20M
"June 30, 1998",-521.70M
"March 31, 1998",-566.60M
"Dec. 31, 1997",-573.50M
"Sept. 30, 1997",-672.50M
"June 30, 1997",-726.00M
"March 31, 1997",-658.00M
"Dec. 31, 1996",-663.00M
"Sept. 30, 1996",-694.80M
"June 30, 1996",-627.90M
"March 31, 1996",-474.00M
"Dec. 31, 1995",-464.70M
"Sept. 30, 1995",-467.60M
"June 30, 1995",-444.60M
"March 31, 1995",-611.00M
"Dec. 31, 1994",-588.90M
