date,times_interest_earned
"Dec. 31, 2019",4.140
"Sept. 30, 2019",3.910
"June 30, 2019",3.884
"March 31, 2019",4.022
"Dec. 31, 2018",4.036
"Sept. 30, 2018",4.232
"June 30, 2018",4.617
"March 31, 2018",4.681
"Dec. 31, 2017",4.728
"Sept. 30, 2017",4.769
"June 30, 2017",5.864
"March 31, 2017",6.208
"Dec. 31, 2016",6.145
"Sept. 30, 2016",5.962
"June 30, 2016",4.629
"March 31, 2016",4.356
"Dec. 31, 2015",4.411
"Sept. 30, 2015",4.352
"June 30, 2015",4.284
"March 31, 2015",4.345
"Dec. 31, 2014",4.600
"Sept. 30, 2014",4.659
"June 30, 2014",4.590
"March 31, 2014",4.642
"Dec. 31, 2013",4.412
"Sept. 30, 2013",3.882
"June 30, 2013",3.896
"March 31, 2013",3.824
"Dec. 31, 2012",3.946
"Sept. 30, 2012",4.477
"June 30, 2012",4.486
"March 31, 2012",3.996
"Dec. 31, 2011",3.714
"Sept. 30, 2011",3.514
"June 30, 2011",3.196
"March 31, 2011",3.354
"Dec. 31, 2010",3.320
"Sept. 30, 2010",2.968
"June 30, 2010",2.993
"March 31, 2010",2.770
"Dec. 31, 2009",2.688
"Sept. 30, 2009",2.741
"June 30, 2009",2.822
"March 31, 2009",2.593
"Dec. 31, 2008",2.854
"Sept. 30, 2008",4.532
"June 30, 2008",6.086
"March 31, 2008",12.92
