date,gross_profit_margin
"Dec. 31, 2019",13.88%
"Sept. 30, 2019",12.61%
"June 30, 2019",10.15%
"March 31, 2019",11.78%
"Dec. 31, 2018",11.11%
"Sept. 30, 2018",12.77%
"June 30, 2018",11.50%
"March 31, 2018",11.13%
"Dec. 31, 2017",13.24%
"Sept. 30, 2017",16.56%
"June 30, 2017",12.30%
"March 31, 2017",11.79%
"Dec. 31, 2016",15.56%
"Sept. 30, 2016",16.32%
"June 30, 2016",15.09%
"March 31, 2016",12.50%
"Dec. 31, 2015",13.34%
"Sept. 30, 2015",13.54%
"June 30, 2015",11.66%
"March 31, 2015",10.90%
"Dec. 31, 2014",8.63%
"Sept. 30, 2014",10.61%
"June 30, 2014",10.42%
"March 31, 2014",11.38%
"Dec. 31, 2013",9.66%
"Sept. 30, 2013",10.62%
"June 30, 2013",10.09%
"March 31, 2013",8.80%
"Dec. 31, 2012",4.45%
"Sept. 30, 2012",10.57%
"June 30, 2012",9.30%
"March 31, 2012",9.30%
"Dec. 31, 2011",8.01%
"Sept. 30, 2011",10.66%
"June 30, 2011",8.01%
"March 31, 2011",8.92%
"Dec. 31, 2010",8.52%
"Sept. 30, 2010",10.46%
"June 30, 2010",9.70%
"March 31, 2010",9.81%
"Dec. 31, 2009",6.34%
"Sept. 30, 2009",11.07%
"June 30, 2009",6.67%
"March 31, 2009",8.21%
"Dec. 31, 2008",47.94%
"Sept. 30, 2008",8.10%
"June 30, 2008",2.79%
"March 31, 2008",9.70%
"Dec. 31, 2007",23.62%
"Sept. 30, 2007",20.37%
"June 30, 2007",22.78%
"March 31, 2007",21.54%
"Dec. 31, 2006",22.02%
"Sept. 30, 2006",22.66%
"June 30, 2006",23.28%
"March 31, 2006",
"Dec. 31, 2005",24.67%
"Sept. 30, 2005",25.53%
"June 30, 2005",25.88%
"March 31, 2005",27.39%
"Dec. 31, 2004",24.34%
"Sept. 30, 2004",29.48%
"June 30, 2004",29.69%
"March 31, 2004",30.80%
"Dec. 31, 2003",32.27%
"Sept. 30, 2003",31.10%
"June 30, 2003",30.49%
"March 31, 2003",32.19%
"Dec. 31, 2002",32.82%
"Sept. 30, 2002",35.11%
"June 30, 2002",37.23%
"March 31, 2002",38.34%
"Dec. 31, 2001",34.59%
"Sept. 30, 2001",35.82%
"June 30, 2001",15.14%
"March 31, 2001",15.11%
"Dec. 31, 2000",
"Sept. 30, 2000",13.57%
"June 30, 2000",13.83%
"March 31, 2000",16.97%
"Dec. 31, 1999",-607.6%
"Sept. 30, 1999",14.42%
"June 30, 1999",15.87%
"March 31, 1999",15.33%
"Dec. 31, 1998",
"Sept. 30, 1998",
"June 30, 1998",14.98%
"March 31, 1998",15.07%
"Dec. 31, 1997",13.75%
"Sept. 30, 1997",16.47%
"June 30, 1997",13.93%
"March 31, 1997",13.75%
"Dec. 31, 1996",13.09%
"Sept. 30, 1996",12.17%
"June 30, 1996",
"March 31, 1996",
"Dec. 31, 1995",12.17%
"Sept. 30, 1995",16.83%
"June 30, 1995",14.41%
"March 31, 1995",14.44%
"Dec. 31, 1994",14.42%
"Sept. 30, 1994",16.17%
"June 30, 1994",15.08%
"March 31, 1994",12.64%
