date,tangible_common_equity_ratio
"Dec. 31, 2019",16.09%
"Sept. 30, 2019",16.08%
"June 30, 2019",15.80%
"March 31, 2019",15.83%
"Dec. 31, 2018",15.97%
"Sept. 30, 2018",15.98%
"June 30, 2018",15.79%
"March 31, 2018",15.92%
"Dec. 31, 2017",16.18%
"Sept. 30, 2017",15.96%
"June 30, 2017",15.80%
"March 31, 2017",15.92%
"Dec. 31, 2016",16.08%
"Sept. 30, 2016",16.39%
"June 30, 2016",15.84%
"March 31, 2016",15.78%
"Dec. 31, 2015",15.77%
"Sept. 30, 2015",16.00%
"June 30, 2015",15.99%
"March 31, 2015",16.22%
"Dec. 31, 2014",15.39%
"Sept. 30, 2014",16.24%
"June 30, 2014",15.93%
"March 31, 2014",16.03%
"Dec. 31, 2013",16.04%
"Sept. 30, 2013",15.21%
"June 30, 2013",15.19%
"March 31, 2013",14.93%
"Dec. 31, 2012",15.02%
"Sept. 30, 2012",15.52%
"June 30, 2012",15.33%
"March 31, 2012",15.41%
"Dec. 31, 2011",15.21%
"Sept. 30, 2011",15.85%
"June 30, 2011",15.61%
"March 31, 2011",15.64%
"Dec. 31, 2010",15.57%
"Sept. 30, 2010",15.86%
"June 30, 2010",15.74%
"March 31, 2010",15.56%
"Dec. 31, 2009",15.37%
"Sept. 30, 2009",15.01%
"June 30, 2009",14.78%
"March 31, 2009",14.89%
"Dec. 31, 2008",14.19%
"Sept. 30, 2008",13.51%
"June 30, 2008",13.34%
"March 31, 2008",11.92%
"Dec. 31, 2007",11.68%
"Sept. 30, 2007",10.51%
"June 30, 2007",10.35%
"March 31, 2007",10.27%
"Dec. 31, 2006",10.28%
"Sept. 30, 2006",11.71%
"June 30, 2006",11.24%
"March 31, 2006",11.35%
"Dec. 31, 2005",11.43%
"Sept. 30, 2005",11.37%
"June 30, 2005",11.59%
"March 31, 2005",11.36%
"Dec. 31, 2004",11.63%
"Sept. 30, 2004",11.96%
"June 30, 2004",11.73%
"March 31, 2004",12.17%
"Dec. 31, 2003",10.93%
"Sept. 30, 2003",10.88%
"June 30, 2003",10.86%
"March 31, 2003",10.72%
"Dec. 31, 2002",10.74%
"Sept. 30, 2002",10.83%
"June 30, 2002",10.46%
"March 31, 2002",10.01%
"Dec. 31, 2001",9.84%
"Sept. 30, 2001",9.15%
"June 30, 2001",9.07%
"March 31, 2001",8.88%
"Dec. 31, 2000",34.48%
"Sept. 30, 2000",8.89%
"June 30, 2000",8.48%
"March 31, 2000",9.03%
"Dec. 31, 1999",9.05%
"Sept. 30, 1999",8.94%
"June 30, 1999",9.02%
"March 31, 1999",9.04%
"Dec. 31, 1998",8.81%
"Sept. 30, 1998",8.83%
"June 30, 1998",8.76%
"March 31, 1998",8.97%
"Dec. 31, 1997",8.85%
"Sept. 30, 1997",12.40%
"June 30, 1997",12.58%
"March 31, 1997",12.46%
"Dec. 31, 1996",12.48%
"Sept. 30, 1996",12.34%
"June 30, 1996",12.47%
"March 31, 1996",12.57%
"Dec. 31, 1995",12.38%
"Sept. 30, 1995",12.50%
"June 30, 1995",12.44%
"March 31, 1995",12.45%
"Dec. 31, 1994",12.41%
"Sept. 30, 1994",12.73%
"June 30, 1994",12.64%
"March 31, 1994",12.94%
