date,three_year_return
"March 19, 2020",45.68%
"March 18, 2020",60.12%
"March 17, 2020",48.08%
"March 16, 2020",33.20%
"March 13, 2020",32.84%
"March 12, 2020",22.66%
"March 11, 2020",29.11%
"March 10, 2020",32.92%
"March 9, 2020",33.15%
"March 6, 2020",42.15%
"March 5, 2020",38.91%
"March 4, 2020",40.68%
"March 3, 2020",34.80%
"March 2, 2020",35.16%
"Feb. 28, 2020",28.73%
"Feb. 27, 2020",34.92%
"Feb. 26, 2020",41.91%
"Feb. 25, 2020",45.05%
"Feb. 24, 2020",48.82%
"Feb. 21, 2020",51.68%
"Feb. 20, 2020",52.37%
"Feb. 19, 2020",51.88%
"Feb. 18, 2020",53.87%
"Feb. 14, 2020",52.27%
"Feb. 13, 2020",47.68%
"Feb. 12, 2020",43.72%
"Feb. 11, 2020",42.51%
"Feb. 10, 2020",43.10%
"Feb. 7, 2020",42.93%
"Feb. 6, 2020",42.90%
"Feb. 5, 2020",44.17%
"Feb. 4, 2020",44.20%
"Feb. 3, 2020",45.69%
"Jan. 31, 2020",46.09%
"Jan. 30, 2020",49.97%
"Jan. 29, 2020",49.27%
"Jan. 28, 2020",48.81%
"Jan. 27, 2020",47.49%
"Jan. 24, 2020",46.24%
"Jan. 23, 2020",46.21%
"Jan. 22, 2020",44.17%
"Jan. 21, 2020",43.66%
"Jan. 17, 2020",41.31%
"Jan. 16, 2020",41.50%
"Jan. 15, 2020",40.66%
"Jan. 14, 2020",38.71%
"Jan. 13, 2020",38.08%
"Jan. 10, 2020",37.60%
"Jan. 9, 2020",38.45%
"Jan. 8, 2020",36.99%
"Jan. 7, 2020",36.69%
"Jan. 6, 2020",37.50%
"Jan. 3, 2020",39.75%
"Jan. 2, 2020",39.16%
"Dec. 31, 2019",41.70%
"Dec. 30, 2019",41.52%
"Dec. 27, 2019",39.31%
"Dec. 26, 2019",38.88%
"Dec. 24, 2019",38.61%
"Dec. 23, 2019",38.91%
"Dec. 20, 2019",41.17%
"Dec. 19, 2019",38.25%
"Dec. 18, 2019",39.44%
"Dec. 17, 2019",38.09%
"Dec. 16, 2019",37.37%
"Dec. 13, 2019",37.10%
"Dec. 12, 2019",36.90%
"Dec. 11, 2019",39.08%
"Dec. 10, 2019",37.45%
"Dec. 9, 2019",37.01%
"Dec. 6, 2019",43.52%
"Dec. 5, 2019",41.00%
"Dec. 4, 2019",40.33%
"Dec. 3, 2019",38.64%
"Dec. 2, 2019",38.07%
"Nov. 29, 2019",37.76%
"Nov. 27, 2019",43.05%
"Nov. 26, 2019",42.69%
"Nov. 25, 2019",41.58%
"Nov. 22, 2019",42.71%
"Nov. 21, 2019",44.15%
"Nov. 20, 2019",49.16%
"Nov. 19, 2019",47.34%
"Nov. 18, 2019",47.44%
"Nov. 15, 2019",46.67%
"Nov. 14, 2019",49.30%
"Nov. 13, 2019",48.69%
"Nov. 12, 2019",46.68%
"Nov. 11, 2019",46.14%
"Nov. 8, 2019",44.69%
"Nov. 7, 2019",45.74%
"Nov. 6, 2019",53.47%
"Nov. 5, 2019",52.36%
"Nov. 4, 2019",53.68%
"Nov. 1, 2019",55.71%
"Oct. 31, 2019",53.05%
"Oct. 30, 2019",55.16%
"Oct. 29, 2019",53.89%
"Oct. 28, 2019",53.47%
"Oct. 25, 2019",56.84%
"Oct. 24, 2019",58.40%
"Oct. 23, 2019",58.87%
"Oct. 22, 2019",58.28%
"Oct. 21, 2019",58.38%
"Oct. 18, 2019",56.34%
"Oct. 17, 2019",55.47%
"Oct. 16, 2019",54.39%
"Oct. 15, 2019",53.69%
"Oct. 14, 2019",54.53%
"Oct. 11, 2019",58.13%
"Oct. 10, 2019",56.05%
"Oct. 9, 2019",58.10%
"Oct. 8, 2019",57.26%
"Oct. 7, 2019",58.98%
"Oct. 4, 2019",56.25%
"Oct. 3, 2019",51.65%
"Oct. 2, 2019",49.28%
"Oct. 1, 2019",51.89%
"Sept. 30, 2019",52.80%
"Sept. 27, 2019",48.00%
"Sept. 26, 2019",45.91%
"Sept. 25, 2019",46.04%
"Sept. 24, 2019",45.01%
"Sept. 23, 2019",44.12%
"Sept. 20, 2019",47.70%
"Sept. 19, 2019",45.53%
"Sept. 18, 2019",47.70%
"Sept. 17, 2019",47.30%
"Sept. 16, 2019",47.57%
"Sept. 13, 2019",49.92%
"Sept. 12, 2019",50.88%
"Sept. 11, 2019",51.59%
"Sept. 10, 2019",48.82%
"Sept. 9, 2019",49.91%
"Sept. 6, 2019",47.97%
"Sept. 5, 2019",48.83%
"Sept. 4, 2019",50.47%
"Sept. 3, 2019",51.54%
"Aug. 30, 2019",48.84%
"Aug. 29, 2019",47.57%
"Aug. 28, 2019",47.94%
"Aug. 27, 2019",48.62%
"Aug. 26, 2019",49.73%
"Aug. 23, 2019",45.99%
"Aug. 22, 2019",48.27%
"Aug. 21, 2019",45.09%
"Aug. 20, 2019",44.99%
"Aug. 19, 2019",45.32%
"Aug. 16, 2019",48.49%
"Aug. 15, 2019",45.82%
"Aug. 14, 2019",43.05%
"Aug. 13, 2019",43.21%
"Aug. 12, 2019",42.66%
"Aug. 9, 2019",45.24%
"Aug. 8, 2019",46.79%
"Aug. 7, 2019",43.05%
"Aug. 6, 2019",42.14%
"Aug. 5, 2019",40.65%
"Aug. 2, 2019",45.40%
"Aug. 1, 2019",44.98%
"July 31, 2019",44.28%
"July 30, 2019",44.06%
"July 29, 2019",44.80%
"July 26, 2019",42.91%
"July 25, 2019",42.15%
"July 24, 2019",41.46%
"July 23, 2019",40.69%
"July 22, 2019",41.05%
"July 19, 2019",45.14%
"July 18, 2019",49.77%
"July 17, 2019",37.38%
"July 16, 2019",37.04%
"July 15, 2019",37.22%
"July 12, 2019",38.88%
"July 11, 2019",37.63%
"July 10, 2019",37.48%
"July 9, 2019",36.98%
"July 8, 2019",37.20%
"July 5, 2019",33.95%
"July 3, 2019",37.29%
"July 2, 2019",36.04%
"July 1, 2019",35.05%
"June 28, 2019",26.60%
"June 27, 2019",26.74%
"June 26, 2019",25.74%
"June 25, 2019",27.82%
"June 24, 2019",27.50%
"June 21, 2019",30.20%
"June 20, 2019",29.01%
"June 19, 2019",28.37%
"June 18, 2019",26.89%
"June 17, 2019",27.25%
"June 14, 2019",28.66%
"June 13, 2019",29.05%
"June 12, 2019",28.82%
"June 11, 2019",27.68%
"June 10, 2019",28.79%
"June 7, 2019",29.61%
"June 6, 2019",29.95%
"June 5, 2019",29.36%
"June 4, 2019",26.54%
"June 3, 2019",26.54%
"May 31, 2019",26.53%
"May 30, 2019",25.50%
"May 29, 2019",26.57%
"May 28, 2019",27.40%
"May 24, 2019",27.88%
"May 23, 2019",29.25%
"May 22, 2019",29.69%
"May 21, 2019",30.40%
"May 20, 2019",30.06%
"May 17, 2019",27.39%
"May 16, 2019",25.51%
"May 15, 2019",23.52%
"May 14, 2019",24.17%
"May 13, 2019",25.56%
"May 10, 2019",24.76%
"May 9, 2019",22.75%
"May 8, 2019",25.83%
"May 7, 2019",27.68%
"May 6, 2019",26.68%
"May 3, 2019",27.15%
"May 2, 2019",25.56%
"May 1, 2019",26.00%
"April 30, 2019",26.89%
"April 29, 2019",26.03%
"April 26, 2019",27.92%
"April 25, 2019",29.17%
"April 24, 2019",28.17%
"April 23, 2019",28.17%
"April 22, 2019",28.04%
"April 18, 2019",25.14%
"April 17, 2019",25.69%
"April 16, 2019",25.54%
"April 15, 2019",26.67%
"April 12, 2019",29.16%
"April 11, 2019",28.98%
"April 10, 2019",27.26%
"April 9, 2019",26.73%
"April 8, 2019",26.61%
"April 5, 2019",26.80%
"April 4, 2019",23.04%
"April 3, 2019",23.39%
"April 2, 2019",23.39%
"April 1, 2019",23.69%
"March 29, 2019",24.91%
"March 28, 2019",27.01%
"March 27, 2019",26.64%
"March 26, 2019",26.85%
"March 25, 2019",26.08%
"March 22, 2019",25.73%
"March 21, 2019",25.36%
"March 20, 2019",23.57%
"March 19, 2019",23.50%
"March 18, 2019",25.20%
"March 15, 2019",30.18%
"March 14, 2019",30.21%
"March 13, 2019",28.57%
"March 12, 2019",27.48%
"March 11, 2019",27.99%
"March 8, 2019",28.25%
"March 7, 2019",27.50%
"March 6, 2019",26.89%
"March 5, 2019",26.76%
"March 4, 2019",26.76%
"March 1, 2019",30.18%
"Feb. 28, 2019",31.32%
"Feb. 27, 2019",30.67%
"Feb. 26, 2019",30.36%
"Feb. 25, 2019",27.51%
"Feb. 22, 2019",28.43%
"Feb. 21, 2019",28.08%
"Feb. 20, 2019",26.98%
"Feb. 19, 2019",26.04%
"Feb. 15, 2019",27.91%
"Feb. 14, 2019",27.30%
"Feb. 13, 2019",26.93%
"Feb. 12, 2019",27.30%
"Feb. 11, 2019",30.92%
"Feb. 8, 2019",27.58%
"Feb. 7, 2019",26.89%
"Feb. 6, 2019",24.88%
"Feb. 5, 2019",24.52%
"Feb. 4, 2019",23.55%
"Feb. 1, 2019",23.33%
"Jan. 31, 2019",24.30%
"Jan. 30, 2019",22.16%
"Jan. 29, 2019",21.66%
"Jan. 28, 2019",27.46%
"Jan. 25, 2019",30.91%
"Jan. 24, 2019",29.59%
"Jan. 23, 2019",28.71%
"Jan. 22, 2019",27.17%
"Jan. 18, 2019",30.04%
"Jan. 17, 2019",29.75%
"Jan. 16, 2019",28.50%
"Jan. 15, 2019",27.46%
"Jan. 14, 2019",24.46%
"Jan. 11, 2019",24.01%
"Jan. 10, 2019",25.09%
"Jan. 9, 2019",24.11%
"Jan. 8, 2019",24.67%
"Jan. 7, 2019",24.15%
"Jan. 4, 2019",23.95%
"Jan. 3, 2019",23.59%
"Jan. 2, 2019",23.14%
"Dec. 31, 2018",26.49%
"Dec. 28, 2018",25.61%
"Dec. 27, 2018",26.71%
"Dec. 26, 2018",25.84%
"Dec. 24, 2018",23.88%
"Dec. 21, 2018",31.44%
"Dec. 20, 2018",31.92%
"Dec. 19, 2018",31.46%
"Dec. 18, 2018",31.25%
"Dec. 17, 2018",29.61%
"Dec. 14, 2018",38.94%
"Dec. 13, 2018",39.54%
"Dec. 12, 2018",38.72%
"Dec. 11, 2018",39.61%
"Dec. 10, 2018",37.60%
"Dec. 7, 2018",37.45%
"Dec. 6, 2018",37.30%
"Dec. 4, 2018",37.72%
"Dec. 3, 2018",38.57%
"Nov. 30, 2018",34.08%
"Nov. 29, 2018",33.35%
"Nov. 28, 2018",33.59%
"Nov. 27, 2018",33.52%
"Nov. 26, 2018",34.67%
"Nov. 23, 2018",31.51%
"Nov. 21, 2018",31.51%
"Nov. 20, 2018",32.92%
"Nov. 19, 2018",34.34%
"Nov. 16, 2018",29.95%
"Nov. 15, 2018",30.20%
"Nov. 14, 2018",31.10%
"Nov. 13, 2018",30.58%
"Nov. 12, 2018",30.38%
"Nov. 9, 2018",33.52%
"Nov. 8, 2018",32.93%
"Nov. 7, 2018",33.68%
"Nov. 6, 2018",33.57%
