date,capex_ttm
"Dec. 31, 2019",457.52M
"Sept. 30, 2019",458.42M
"June 30, 2019",489.73M
"March 31, 2019",498.17M
"Dec. 31, 2018",506.77M
"Sept. 30, 2018",467.70M
"June 30, 2018",466.45M
"March 31, 2018",468.23M
"Dec. 31, 2017",430.45M
"Sept. 30, 2017",414.21M
"June 30, 2017",336.74M
"March 31, 2017",293.47M
"Dec. 31, 2016",330.04M
"Sept. 30, 2016",346.82M
"June 30, 2016",360.62M
"March 31, 2016",368.10M
"Dec. 31, 2015",363.80M
"Sept. 30, 2015",380.40M
"June 30, 2015",397.78M
"March 31, 2015",397.91M
"Dec. 31, 2014",364.83M
"Sept. 30, 2014",402.66M
"June 30, 2014",404.47M
"March 31, 2014",408.84M
"Dec. 31, 2013",389.44M
"Sept. 30, 2013",392.15M
"June 30, 2013",384.28M
"March 31, 2013",376.46M
"Dec. 31, 2012",370.72M
"Sept. 30, 2012",312.97M
"June 30, 2012",291.29M
"March 31, 2012",261.92M
"Dec. 31, 2011",235.12M
"Sept. 30, 2011",205.33M
"June 30, 2011",194.55M
"March 31, 2011",185.80M
"Dec. 31, 2010",182.12M
"Sept. 30, 2010",190.22M
"June 30, 2010",206.33M
"March 31, 2010",259.07M
"Dec. 31, 2009",304.76M
"Sept. 30, 2009",837.81M
"June 30, 2009",844.43M
"March 31, 2009",802.94M
"Dec. 31, 2008",771.32M
"Sept. 30, 2008",252.12M
"June 30, 2008",240.39M
"March 31, 2008",231.66M
"Dec. 31, 2007",218.30M
"Sept. 30, 2007",202.67M
"June 30, 2007",192.72M
"March 31, 2007",200.73M
"Dec. 31, 2006",210.53M
"Sept. 30, 2006",223.96M
"June 30, 2006",235.22M
"March 31, 2006",229.89M
"Dec. 31, 2005",223.68M
"Sept. 30, 2005",219.89M
"June 30, 2005",214.16M
"March 31, 2005",214.00M
"Dec. 31, 2004",214.65M
"Sept. 30, 2004",209.37M
"June 30, 2004",189.31M
"March 31, 2004",177.19M
"Dec. 31, 2003",162.89M
"Sept. 30, 2003",140.83M
"June 30, 2003",136.14M
"March 31, 2003",132.48M
"Dec. 31, 2002",128.08M
"Sept. 30, 2002",115.70M
"June 30, 2002",114.18M
"March 31, 2002",110.38M
"Dec. 31, 2001",115.54M
"Sept. 30, 2001",119.27M
"June 30, 2001",127.07M
"March 31, 2001",131.24M
"Dec. 31, 2000",130.09M
"Sept. 30, 2000",138.89M
"June 30, 2000",133.13M
"March 31, 2000",137.28M
"Dec. 31, 1999",134.40M
"Sept. 30, 1999",130.80M
"June 30, 1999",151.80M
"March 31, 1999",156.90M
"Dec. 31, 1998",166.70M
"Sept. 30, 1998",165.90M
"June 30, 1998",153.10M
"March 31, 1998",149.00M
"Dec. 31, 1997",147.30M
"Sept. 30, 1997",165.00M
"June 30, 1997",187.00M
"March 31, 1997",195.00M
"Dec. 31, 1996",205.60M
"Sept. 30, 1996",194.70M
"June 30, 1996",177.20M
"March 31, 1996",184.30M
"Dec. 31, 1995",194.60M
"Sept. 30, 1995",203.70M
"June 30, 1995",214.00M
"March 31, 1995",213.80M
"Dec. 31, 1994",200.50M
"Sept. 30, 1994",143.00M
"June 30, 1994",89.40M
"March 31, 1994",37.90M
