date,ni_per_employee_annual
"Dec. 31, 2019",56795.97
"Dec. 31, 2018",52369.25
"Dec. 31, 2017",43560.97
"Dec. 31, 2016",64855.07
"Dec. 31, 2015",48454.99
"Dec. 31, 2014",50563.27
"Dec. 31, 2013",41755.74
"Dec. 31, 2012",37359.91
"Dec. 31, 2011",39576.33
"Dec. 31, 2010",33563.54
"Dec. 31, 2009",24219.37
"Dec. 31, 2008",25502.26
"Dec. 31, 2007",24337.30
"Dec. 31, 2006",31625.48
"Dec. 31, 2005",38507.29
"Dec. 31, 2004",34298.40
"Dec. 31, 2003",35586.10
"Dec. 31, 2002",36890.93
"Dec. 31, 2001",26509.90
"Dec. 31, 2000",34646.54
"Dec. 31, 1999",26821.13
"Dec. 31, 1998",22937.52
"Dec. 31, 1997",29670.33
"Dec. 31, 1996",28944.46
"Dec. 31, 1995",23584.91
"Dec. 31, 1994",22215.46
"Dec. 31, 1993",15016.96
"Dec. 31, 1992",-3614.83
"Dec. 31, 1991",17029.21
"Dec. 31, 1990",13599.50
