date,shares_outstanding
"Feb. 13, 2020",108.97M
"Dec. 31, 2019",108.97M
"Oct. 25, 2019",108.97M
"Sept. 30, 2019",108.97M
"July 26, 2019",108.97M
"June 30, 2019",108.97M
"April 30, 2019",108.94M
"March 31, 2019",108.94M
"March 1, 2019",108.94M
"Feb. 13, 2019",108.94M
"Dec. 31, 2018",108.88M
"Oct. 27, 2018",108.88M
"Sept. 30, 2018",108.88M
"July 27, 2018",108.88M
"June 30, 2018",108.88M
"April 27, 2018",108.84M
"March 31, 2018",108.84M
"March 6, 2018",108.84M
"Feb. 13, 2018",108.84M
"Dec. 31, 2017",108.79M
"Oct. 27, 2017",108.79M
"Sept. 30, 2017",108.79M
"July 27, 2017",108.79M
"June 30, 2017",108.79M
"April 27, 2017",108.75M
"March 31, 2017",108.75M
"Feb. 24, 2017",108.75M
"Feb. 13, 2017",108.75M
"Dec. 31, 2016",108.58M
"Oct. 28, 2016",108.52M
"Sept. 30, 2016",108.50M
"July 29, 2016",108.20M
"June 30, 2016",108.19M
"April 28, 2016",107.89M
"March 31, 2016",107.88M
"Feb. 25, 2016",107.64M
"Feb. 12, 2016",107.62M
"Dec. 31, 2015",107.46M
"Oct. 31, 2015",107.46M
"Sept. 30, 2015",107.46M
"July 31, 2015",107.46M
"June 30, 2015",107.45M
"June 18, 2015",107.42M
"April 30, 2015",107.42M
"March 31, 2015",107.42M
"Feb. 13, 2015",102.71M
"Dec. 31, 2014",102.57M
"Oct. 31, 2014",102.56M
"Sept. 30, 2014",102.56M
"July 31, 2014",102.56M
"June 30, 2014",101.56M
"April 30, 2014",101.48M
"March 31, 2014",101.48M
"Feb. 27, 2014",101.45M
"Feb. 7, 2014",101.42M
"Dec. 31, 2013",101.26M
"Oct. 31, 2013",99.61M
"Sept. 30, 2013",99.54M
"July 31, 2013",99.13M
"June 30, 2013",99.04M
"April 29, 2013",98.54M
"March 31, 2013",98.47M
"March 12, 2013",98.20M
"Feb. 28, 2013",98.20M
"Feb. 7, 2013",98.10M
"Dec. 31, 2012",97.93M
"Oct. 26, 2012",97.50M
"Sept. 30, 2012",97.43M
"July 23, 2012",97.08M
"June 30, 2012",97.02M
"April 29, 2012",96.60M
"March 31, 2012",96.54M
"March 1, 2012",96.22M
"Feb. 8, 2012",96.15M
"Dec. 31, 2011",96.04M
"Oct. 31, 2011",95.98M
"Sept. 30, 2011",95.98M
"July 21, 2011",95.88M
"June 30, 2011",95.85M
"April 29, 2011",95.32M
"March 31, 2011",95.29M
"March 2, 2011",94.92M
"Feb. 10, 2011",94.87M
"Dec. 31, 2010",94.69M
"Oct. 29, 2010",94.16M
"Sept. 30, 2010",94.12M
"July 30, 2010",93.68M
"June 30, 2010",93.62M
"May 7, 2010",93.17M
"March 31, 2010",93.10M
"March 3, 2010",92.66M
"Feb. 19, 2010",92.63M
"Dec. 31, 2009",92.52M
"Oct. 27, 2009",92.06M
"Sept. 30, 2009",92.01M
"July 31, 2009",91.56M
"June 30, 2009",91.56M
"March 31, 2009",91.53M
"Dec. 31, 2008",90.52M
"Oct. 31, 2008",97.94M
"July 30, 2008",97.53M
"June 30, 2008",84.65M
"April 30, 2008",84.08M
"March 31, 2008",83.96M
"Feb. 22, 2008",83.43M
"Dec. 31, 2007",83.43M
"Sept. 30, 2007",95.85M
"June 30, 2007",95.33M
"March 31, 2007",81.96M
"Feb. 21, 2007",81.47M
"Dec. 31, 2006",81.46M
"Oct. 27, 2006",81.35M
"Sept. 30, 2006",81.35M
"July 27, 2006",81.28M
"June 30, 2006",81.28M
"May 1, 2006",81.12M
"March 31, 2006",81.06M
"Feb. 28, 2006",81.06M
"Dec. 31, 2005",80.98M
"Oct. 31, 2005",80.96M
"Sept. 30, 2005",80.96M
"Aug. 1, 2005",80.93M
"June 30, 2005",80.93M
"May 1, 2005",80.80M
"March 31, 2005",80.71M
"Feb. 28, 2005",80.71M
"Dec. 31, 2004",80.69M
"Nov. 1, 2004",80.58M
"Sept. 30, 2004",80.56M
"Aug. 2, 2004",80.52M
"June 30, 2004",80.37M
"May 4, 2004",80.37M
"March 31, 2004",80.30M
"March 1, 2004",76.06M
"Dec. 31, 2003",75.84M
"Nov. 1, 2003",75.48M
"Sept. 30, 2003",75.38M
"Aug. 1, 2003",74.94M
"June 30, 2003",74.84M
"May 1, 2003",74.26M
"March 31, 2003",74.05M
"March 10, 2003",74.05M
"Dec. 31, 2002",74.05M
"Nov. 1, 2002",73.22M
"Sept. 30, 2002",73.14M
"Aug. 1, 2002",72.81M
"June 30, 2002",72.69M
"May 1, 2002",72.30M
"March 31, 2002",72.13M
"March 13, 2002",72.05M
"Dec. 31, 2001",71.20M
"Oct. 30, 2001",67.79M
"Sept. 30, 2001",67.36M
"Aug. 1, 2001",67.36M
"June 30, 2001",67.27M
"May 3, 2001",64.90M
"March 31, 2001",66.74M
"March 12, 2001",66.70M
"Dec. 31, 2000",65.98M
"Nov. 3, 2000",65.66M
"Sept. 30, 2000",65.58M
"Aug. 3, 2000",65.21M
"June 30, 2000",65.13M
"May 3, 2000",64.73M
"March 31, 2000",64.63M
"March 13, 2000",64.60M
"Dec. 31, 1999",64.43M
"Sept. 30, 1999",64.42M
"June 30, 1999",64.37M
"March 31, 1999",64.35M
"March 12, 1999",64.35M
"Dec. 31, 1998",64.23M
"Sept. 30, 1998",64.02M
"June 30, 1998",64.02M
"March 31, 1998",64.00M
"Dec. 31, 1997",63.47M
"Sept. 30, 1997",63.39M
"June 30, 1997",62.82M
"March 31, 1997",62.28M
"March 14, 1997",62.21M
"Dec. 31, 1996",61.71M
"Sept. 30, 1996",61.24M
"June 30, 1996",60.73M
"March 31, 1996",60.11M
"March 15, 1996",60.10M
"Dec. 31, 1995",59.55M
"Sept. 30, 1995",58.95M
"June 30, 1995",58.57M
"March 31, 1995",57.91M
"March 20, 1995",57.90M
"Dec. 31, 1994",57.31M
"Sept. 30, 1994",56.82M
"June 30, 1994",56.34M
"March 31, 1994",55.83M
"Dec. 31, 1993",55.35M
"Sept. 30, 1993",54.89M
"June 30, 1993",50.45M
"March 31, 1993",49.97M
"Dec. 31, 1992",49.52M
"Sept. 30, 1992",48.98M
"June 30, 1992",48.59M
"March 31, 1992",48.12M
"Dec. 31, 1991",47.73M
"Sept. 30, 1991",47.32M
"June 30, 1991",46.85M
"March 31, 1991",43.84M
"Dec. 31, 1990",43.84M
"Sept. 30, 1990",43.49M
"June 30, 1990",43.16M
"March 31, 1990",42.82M
"Dec. 31, 1989",42.53M
"Sept. 30, 1989",42.22M
"June 30, 1989",41.96M
"March 31, 1989",41.12M
"Dec. 31, 1988",41.36M
"Sept. 30, 1988",40.59M
"June 30, 1988",40.51M
"March 31, 1988",34.78M
"Dec. 31, 1987",35.01M
"Sept. 30, 1987",34.78M
"June 30, 1987",33.98M
"March 31, 1987",33.76M
"Dec. 31, 1986",33.95M
"Sept. 30, 1986",33.54M
"June 30, 1986",33.34M
"March 31, 1986",33.34M
"Dec. 31, 1985",33.15M
"Sept. 30, 1985",32.61M
"June 30, 1985",32.37M
"March 31, 1985",32.05M
"Dec. 31, 1984",32.05M
"Sept. 30, 1984",31.47M
"June 30, 1984",31.18M
"March 31, 1984",31.18M
