date,cash_financing_ttm
"Dec. 31, 2019",87.72M
"Sept. 30, 2019",45.60M
"June 30, 2019",95.21M
"March 31, 2019",43.80M
"Dec. 31, 2018",200.07M
"Sept. 30, 2018",499.60M
"June 30, 2018",508.87M
"March 31, 2018",464.30M
"Dec. 31, 2017",378.29M
"Sept. 30, 2017",181.40M
"June 30, 2017",248.26M
"March 31, 2017",233.50M
"Dec. 31, 2016",218.78M
"Sept. 30, 2016",249.50M
"June 30, 2016",341.13M
"March 31, 2016",422.28M
"Dec. 31, 2015",473.80M
"Sept. 30, 2015",381.05M
"June 30, 2015",276.84M
"March 31, 2015",248.70M
"Dec. 31, 2014",222.54M
"Sept. 30, 2014",301.01M
"June 30, 2014",387.69M
"March 31, 2014",233.60M
"Dec. 31, 2013",236.99M
"Sept. 30, 2013",180.09M
"June 30, 2013",56.28M
"March 31, 2013",186.52M
"Dec. 31, 2012",141.90M
"Sept. 30, 2012",68.48M
"June 30, 2012",50.07M
"March 31, 2012",-16.53M
"Dec. 31, 2011",16.04M
"Sept. 30, 2011",12.80M
"June 30, 2011",-16.50M
"March 31, 2011",-82.05M
"Dec. 31, 2010",-235.25M
"Sept. 30, 2010",-258.33M
"June 30, 2010",-238.06M
"March 31, 2010",-168.62M
"Dec. 31, 2009",-405.61M
"Sept. 30, 2009",-499.58M
"June 30, 2009",-464.22M
"March 31, 2009",-1.659B
"Dec. 31, 2008",-1.363B
"Sept. 30, 2008",-1.211B
"June 30, 2008",-1.241B
"March 31, 2008",-69.56M
"Dec. 31, 2007",-42.66M
"Sept. 30, 2007",-6.191M
"June 30, 2007",-124.30M
"March 31, 2007",-128.86M
"Dec. 31, 2006",-104.55M
"Sept. 30, 2006",-257.57M
"June 30, 2006",13.60M
"March 31, 2006",57.02M
"Dec. 31, 2005",21.69M
"Sept. 30, 2005",261.47M
"June 30, 2005",239.82M
"March 31, 2005",113.89M
"Dec. 31, 2004",187.44M
"Sept. 30, 2004",117.51M
"June 30, 2004",60.92M
"March 31, 2004",73.66M
"Dec. 31, 2003",122.71M
"Sept. 30, 2003",111.79M
"June 30, 2003",100.61M
"March 31, 2003",241.42M
"Dec. 31, 2002",151.29M
"Sept. 30, 2002",26.83M
"June 30, 2002",19.97M
"March 31, 2002",-71.10M
"Dec. 31, 2001",-93.84M
"Sept. 30, 2001",-176.35M
"June 30, 2001",-247.81M
"March 31, 2001",-166.50M
"Dec. 31, 2000",-48.41M
"Sept. 30, 2000",146.07M
"June 30, 2000",305.16M
"March 31, 2000",287.45M
"Dec. 31, 1999",1.50M
"Sept. 30, 1999",-3.30M
"June 30, 1999",-174.70M
"March 31, 1999",31.50M
"Dec. 31, 1998",161.00M
"Sept. 30, 1998",95.50M
"June 30, 1998",371.60M
"March 31, 1998",167.10M
"Dec. 31, 1997",223.60M
"Sept. 30, 1997",241.20M
"June 30, 1997",156.80M
"March 31, 1997",257.60M
"Dec. 31, 1996",216.10M
"Sept. 30, 1996",301.80M
"June 30, 1996",294.20M
"March 31, 1996",253.10M
"Dec. 31, 1995",312.10M
"Sept. 30, 1995",408.90M
"June 30, 1995",380.80M
"March 31, 1995",476.40M
"Dec. 31, 1994",553.80M
