date,f_score_ttm
"Dec. 31, 2019",4.00
"Sept. 30, 2019",4.00
"June 30, 2019",1.00
"March 31, 2019",5.00
"Dec. 31, 2018",6.00
"Sept. 30, 2018",6.00
"June 30, 2018",5.00
"March 31, 2018",4.00
"Dec. 31, 2017",3.00
"Sept. 30, 2017",4.00
"June 30, 2017",4.00
"March 31, 2017",4.00
"Dec. 31, 2016",4.00
"Sept. 30, 2016",7.00
"June 30, 2016",5.00
"March 31, 2016",6.00
"Dec. 31, 2015",7.00
"Sept. 30, 2015",5.00
"June 30, 2015",4.00
"March 31, 2015",4.00
"Dec. 31, 2014",4.00
"Sept. 30, 2014",5.00
"June 30, 2014",3.00
"March 31, 2014",4.00
"Dec. 31, 2013",6.00
"Sept. 30, 2013",3.00
"June 30, 2013",7.00
"March 31, 2013",2.00
"Dec. 31, 2012",3.00
"Sept. 30, 2012",4.00
"June 30, 2012",7.00
"March 31, 2012",6.00
"Dec. 31, 2011",6.00
"Sept. 30, 2011",6.00
"June 30, 2011",5.00
"March 31, 2011",6.00
"Dec. 31, 2010",8.00
"Sept. 30, 2010",5.00
"June 30, 2010",8.00
"March 31, 2010",6.00
"Dec. 31, 2009",4.00
"Sept. 30, 2009",4.00
"June 30, 2009",6.00
"March 31, 2009",4.00
"Dec. 31, 2008",5.00
"Sept. 30, 2008",6.00
"June 30, 2008",4.00
"March 31, 2008",5.00
"Dec. 31, 2007",7.00
"Sept. 30, 2007",3.00
"June 30, 2007",2.00
"March 31, 2007",
"Dec. 31, 2006",
"Sept. 30, 2006",
"June 30, 2006",
"March 31, 2006",
"Dec. 31, 2005",6.00
"Sept. 30, 2005",3.00
"June 30, 2005",5.00
"March 31, 2005",3.00
"Dec. 31, 2004",3.00
"Sept. 30, 2004",7.00
"June 30, 2004",4.00
"March 31, 2004",4.00
"Dec. 31, 2003",6.00
"Sept. 30, 2003",4.00
"June 30, 2003",5.00
"March 31, 2003",5.00
"Dec. 31, 2002",7.00
"Sept. 30, 2002",5.00
"June 30, 2002",5.00
"March 31, 2002",3.00
"Dec. 31, 2001",7.00
"Sept. 30, 2001",3.00
"June 30, 2001",8.00
"March 31, 2001",3.00
"Dec. 31, 2000",5.00
"Sept. 30, 2000",5.00
"June 30, 2000",3.00
"March 31, 2000",5.00
"Dec. 31, 1999",
"Sept. 30, 1999",
"June 30, 1999",
"March 31, 1999",
"Dec. 31, 1998",
"Sept. 30, 1998",
"June 30, 1998",4.00
"March 31, 1998",5.00
"Dec. 31, 1997",3.00
"Sept. 30, 1997",4.00
"June 30, 1997",
"March 31, 1997",
"Dec. 31, 1996",
"Sept. 30, 1996",
"June 30, 1996",
"March 31, 1996",
"Dec. 31, 1995",4.00
"Sept. 30, 1995",4.00
"June 30, 1995",4.00
"March 31, 1995",6.00
