date,sales_est_0q
"Jan. 7, 2020",678.27M
"Dec. 31, 2019",758.90M
"Nov. 16, 2019",760.95M
"Nov. 8, 2019",763.00M
"Oct. 22, 2019",719.86M
"Sept. 30, 2019",814.36M
"Sept. 13, 2019",828.90M
"Aug. 16, 2019",830.15M
"Aug. 9, 2019",771.00M
"July 23, 2019",889.30M
"July 3, 2019",806.81M
"June 30, 2019",670.62M
"May 8, 2019",621.64M
"March 31, 2019",563.95M
"March 20, 2019",573.87M
"March 5, 2019",579.00M
"Dec. 31, 2018",524.89M
"Nov. 15, 2018",523.03M
"Nov. 9, 2018",491.32M
"Oct. 19, 2018",594.60M
"Oct. 18, 2018",595.97M
"Oct. 9, 2018",589.50M
"Sept. 30, 2018",709.02M
"Aug. 17, 2018",716.29M
"Aug. 8, 2018",717.21M
"Aug. 6, 2018",717.54M
"Aug. 4, 2018",777.16M
"July 11, 2018",731.97M
"June 30, 2018",616.37M
"May 15, 2018",616.71M
"May 14, 2018",594.29M
"May 12, 2018",594.29M
"May 11, 2018",609.20M
"April 20, 2018",607.86M
"April 10, 2018",603.77M
"April 3, 2018",603.77M
"March 31, 2018",576.59M
"March 29, 2018",557.74M
"March 21, 2018",557.74M
"March 20, 2018",557.74M
"Feb. 15, 2018",538.61M
"Feb. 2, 2018",537.57M
"Jan. 19, 2018",608.44M
"Jan. 5, 2018",608.44M
