date,operating_earning_yield
"March 19, 2020",6.57%
"March 18, 2020",5.98%
"March 17, 2020",6.47%
"March 16, 2020",7.27%
"March 13, 2020",7.30%
"March 12, 2020",7.99%
"March 11, 2020",7.59%
"March 10, 2020",7.37%
"March 9, 2020",7.37%
"March 6, 2020",6.82%
"March 5, 2020",6.89%
"March 4, 2020",6.80%
"March 3, 2020",7.10%
"March 2, 2020",7.07%
"Feb. 28, 2020",7.44%
"Feb. 27, 2020",7.11%
"Feb. 26, 2020",6.78%
"Feb. 25, 2020",6.63%
"Feb. 24, 2020",6.47%
"Feb. 21, 2020",6.41%
"Feb. 20, 2020",6.40%
"Feb. 19, 2020",6.42%
"Feb. 18, 2020",6.34%
"Feb. 14, 2020",6.33%
"Feb. 13, 2020",6.41%
"Feb. 12, 2020",6.57%
"Feb. 11, 2020",6.62%
"Feb. 10, 2020",6.60%
"Feb. 7, 2020",6.62%
"Feb. 6, 2020",6.62%
"Feb. 5, 2020",6.59%
"Feb. 4, 2020",6.59%
"Feb. 3, 2020",6.52%
"Jan. 31, 2020",6.52%
"Jan. 30, 2020",6.46%
"Jan. 29, 2020",6.53%
"Jan. 28, 2020",6.55%
"Jan. 27, 2020",6.61%
"Jan. 24, 2020",6.58%
"Jan. 23, 2020",6.60%
"Jan. 22, 2020",6.66%
"Jan. 21, 2020",6.69%
"Jan. 17, 2020",6.72%
"Jan. 16, 2020",6.75%
"Jan. 15, 2020",6.79%
"Jan. 14, 2020",6.88%
"Jan. 13, 2020",6.91%
"Jan. 10, 2020",7.01%
"Jan. 9, 2020",7.02%
"Jan. 8, 2020",6.98%
"Jan. 7, 2020",7.00%
"Jan. 6, 2020",6.96%
"Jan. 3, 2020",6.94%
"Jan. 2, 2020",6.93%
"Dec. 31, 2019",6.80%
"Dec. 30, 2019",6.50%
"Dec. 27, 2019",6.52%
"Dec. 26, 2019",6.52%
"Dec. 24, 2019",6.53%
"Dec. 23, 2019",6.51%
"Dec. 20, 2019",6.41%
"Dec. 19, 2019",6.51%
"Dec. 18, 2019",6.54%
"Dec. 17, 2019",6.60%
"Dec. 16, 2019",6.64%
"Dec. 13, 2019",6.71%
"Dec. 12, 2019",6.75%
"Dec. 11, 2019",6.75%
"Dec. 10, 2019",6.83%
"Dec. 9, 2019",6.85%
"Dec. 6, 2019",6.85%
"Dec. 5, 2019",6.86%
"Dec. 4, 2019",6.91%
"Dec. 3, 2019",6.99%
"Dec. 2, 2019",7.02%
"Nov. 29, 2019",6.97%
"Nov. 27, 2019",6.92%
"Nov. 26, 2019",6.94%
"Nov. 25, 2019",7.00%
"Nov. 22, 2019",6.95%
"Nov. 21, 2019",6.95%
"Nov. 20, 2019",6.87%
"Nov. 19, 2019",6.95%
"Nov. 18, 2019",6.95%
"Nov. 15, 2019",6.97%
"Nov. 14, 2019",6.94%
"Nov. 13, 2019",6.96%
"Nov. 12, 2019",7.05%
"Nov. 11, 2019",7.08%
"Nov. 8, 2019",7.01%
"Nov. 7, 2019",7.00%
"Nov. 6, 2019",6.89%
"Nov. 5, 2019",6.94%
"Nov. 4, 2019",6.88%
"Nov. 1, 2019",6.74%
"Oct. 31, 2019",6.74%
"Oct. 30, 2019",6.74%
"Oct. 29, 2019",6.80%
"Oct. 28, 2019",6.82%
"Oct. 25, 2019",6.71%
"Oct. 24, 2019",6.67%
"Oct. 23, 2019",6.67%
"Oct. 22, 2019",6.70%
"Oct. 21, 2019",6.69%
"Oct. 18, 2019",6.72%
"Oct. 17, 2019",6.77%
"Oct. 16, 2019",6.83%
"Oct. 15, 2019",6.87%
"Oct. 14, 2019",6.83%
"Oct. 11, 2019",6.77%
"Oct. 10, 2019",6.77%
"Oct. 9, 2019",6.76%
"Oct. 8, 2019",6.80%
"Oct. 7, 2019",6.73%
