date,return_on_equity
"Dec. 31, 2019",9.92%
"Sept. 30, 2019",9.29%
"June 30, 2019",9.53%
"March 31, 2019",9.80%
"Dec. 31, 2018",9.62%
"Sept. 30, 2018",8.86%
"June 30, 2018",8.63%
"March 31, 2018",8.30%
"Dec. 31, 2017",8.03%
"Sept. 30, 2017",8.65%
"June 30, 2017",12.03%
"March 31, 2017",12.46%
"Dec. 31, 2016",12.54%
"Sept. 30, 2016",12.61%
"June 30, 2016",8.87%
"March 31, 2016",8.46%
"Dec. 31, 2015",8.57%
"Sept. 30, 2015",8.20%
"June 30, 2015",8.19%
"March 31, 2015",8.68%
"Dec. 31, 2014",9.63%
"Sept. 30, 2014",10.12%
"June 30, 2014",10.36%
"March 31, 2014",10.51%
"Dec. 31, 2013",9.97%
"Sept. 30, 2013",8.54%
"June 30, 2013",8.60%
"March 31, 2013",8.56%
"Dec. 31, 2012",8.94%
"Sept. 30, 2012",10.31%
"June 30, 2012",10.48%
"March 31, 2012",9.83%
"Dec. 31, 2011",9.27%
"Sept. 30, 2011",8.69%
"June 30, 2011",7.71%
"March 31, 2011",7.91%
"Dec. 31, 2010",7.88%
"Sept. 30, 2010",7.19%
"June 30, 2010",7.34%
"March 31, 2010",6.43%
"Dec. 31, 2009",6.01%
"Sept. 30, 2009",6.00%
"June 30, 2009",6.39%
"March 31, 2009",5.71%
"Dec. 31, 2008",6.85%
"Sept. 30, 2008",9.36%
"June 30, 2008",8.22%
"March 31, 2008",9.51%
"Dec. 31, 2007",7.43%
"Sept. 30, 2007",5.32%
"June 30, 2007",6.33%
"March 31, 2007",7.05%
"Dec. 31, 2006",9.05%
"Sept. 30, 2006",10.63%
"June 30, 2006",11.10%
"March 31, 2006",11.17%
"Dec. 31, 2005",10.49%
"Sept. 30, 2005",9.44%
"June 30, 2005",9.94%
"March 31, 2005",8.56%
"Dec. 31, 2004",9.28%
"Sept. 30, 2004",10.60%
"June 30, 2004",9.81%
"March 31, 2004",10.98%
"Dec. 31, 2003",10.74%
"Sept. 30, 2003",9.79%
"June 30, 2003",10.21%
"March 31, 2003",11.38%
"Dec. 31, 2002",11.92%
"Sept. 30, 2002",12.00%
"June 30, 2002",9.59%
"March 31, 2002",9.26%
"Dec. 31, 2001",9.62%
"Sept. 30, 2001",9.17%
"June 30, 2001",10.94%
"March 31, 2001",10.20%
"Dec. 31, 2000",10.34%
"Sept. 30, 2000",9.51%
"June 30, 2000",9.54%
"March 31, 2000",10.07%
"Dec. 31, 1999",9.17%
"Sept. 30, 1999",10.40%
"June 30, 1999",10.13%
"March 31, 1999",10.11%
"Dec. 31, 1998",10.31%
"Sept. 30, 1998",10.58%
"June 30, 1998",11.29%
"March 31, 1998",11.09%
"Dec. 31, 1997",10.91%
"Sept. 30, 1997",10.84%
"June 30, 1997",10.11%
"March 31, 1997",10.45%
"Dec. 31, 1996",10.48%
"Sept. 30, 1996",9.89%
"June 30, 1996",11.11%
"March 31, 1996",10.95%
"Dec. 31, 1995",10.98%
"Sept. 30, 1995",11.93%
"June 30, 1995",11.79%
"March 31, 1995",11.80%
"Dec. 31, 1994",11.00%
"Sept. 30, 1994",8.30%
