date,total_employee_number
"Dec. 31, 2019",3841
"Dec. 31, 2018",3898
"Dec. 31, 2017",3880
"Dec. 31, 2016",3796
"Dec. 31, 2015",3918
"Dec. 31, 2014",2759
"Dec. 31, 2013",3966
"Dec. 31, 2012",3870
"Dec. 31, 2011",3654
"Dec. 31, 2010",3427
"Dec. 31, 2009",3451
"Sept. 30, 2009",3560
"Dec. 31, 2008",3560
"Dec. 31, 2007",3520
"Dec. 31, 2006",3447
"Dec. 31, 2005",3383
"Dec. 31, 2004",3197
"Dec. 31, 2003",3197
"Dec. 31, 2002",3220
"Dec. 31, 2001",3189
"Dec. 31, 2000",3126
"Dec. 31, 1999",1975
"Dec. 31, 1998",3722
"Dec. 31, 1997",3672
"Dec. 31, 1996",2152
"Dec. 31, 1995",3286
"Dec. 31, 1994",3286
"Dec. 31, 1993",3286
"Dec. 31, 1992",3200
"Dec. 31, 1991",3218
"Dec. 31, 1990",3218
"Dec. 31, 1989",3194
