date,cash_investing_ttm
"Dec. 31, 2019",-541.71M
"Sept. 30, 2019",-623.73M
"June 30, 2019",-675.77M
"March 31, 2019",-643.99M
"Dec. 31, 2018",-792.06M
"Sept. 30, 2018",-887.73M
"June 30, 2018",-819.20M
"March 31, 2018",-861.87M
"Dec. 31, 2017",-815.30M
"Sept. 30, 2017",-670.05M
"June 30, 2017",-739.00M
"March 31, 2017",-705.70M
"Dec. 31, 2016",-736.46M
"Sept. 30, 2016",-738.47M
"June 30, 2016",-798.94M
"March 31, 2016",-768.93M
"Dec. 31, 2015",-705.72M
"Sept. 30, 2015",-694.55M
"June 30, 2015",-588.01M
"March 31, 2015",-645.99M
"Dec. 31, 2014",-592.45M
"Sept. 30, 2014",-635.65M
"June 30, 2014",-654.11M
"March 31, 2014",-584.13M
"Dec. 31, 2013",-598.18M
"Sept. 30, 2013",-537.61M
"June 30, 2013",-523.41M
"March 31, 2013",-503.13M
"Dec. 31, 2012",-471.44M
"Sept. 30, 2012",-454.33M
"June 30, 2012",-300.88M
"March 31, 2012",-311.26M
"Dec. 31, 2011",-326.79M
"Sept. 30, 2011",-381.75M
"June 30, 2011",-312.74M
"March 31, 2011",-261.34M
"Dec. 31, 2010",-278.73M
"Sept. 30, 2010",152.43M
"June 30, 2010",68.06M
"March 31, 2010",170.63M
"Dec. 31, 2009",441.63M
"Sept. 30, 2009",145.62M
"June 30, 2009",149.22M
"March 31, 2009",1.264B
"Dec. 31, 2008",1.077B
"Sept. 30, 2008",1.064B
"June 30, 2008",1.017B
"March 31, 2008",-156.60M
"Dec. 31, 2007",-222.13M
"Sept. 30, 2007",-212.35M
"June 30, 2007",-92.92M
"March 31, 2007",-137.07M
"Dec. 31, 2006",-140.68M
"Sept. 30, 2006",-55.56M
"June 30, 2006",-315.72M
"March 31, 2006",-302.62M
"Dec. 31, 2005",-201.95M
"Sept. 30, 2005",-439.30M
"June 30, 2005",-363.25M
"March 31, 2005",-470.93M
"Dec. 31, 2004",-540.38M
"Sept. 30, 2004",-356.56M
"June 30, 2004",-339.13M
"March 31, 2004",-269.78M
"Dec. 31, 2003",-325.22M
"Sept. 30, 2003",-408.02M
"June 30, 2003",-424.73M
"March 31, 2003",-386.71M
"Dec. 31, 2002",-601.27M
"Sept. 30, 2002",-620.02M
"June 30, 2002",-673.75M
"March 31, 2002",-342.18M
"Dec. 31, 2001",-104.58M
"Sept. 30, 2001",263.16M
"June 30, 2001",346.44M
"March 31, 2001",-17.06M
"Dec. 31, 2000",-121.47M
"Sept. 30, 2000",-438.97M
"June 30, 2000",-481.15M
"March 31, 2000",-508.55M
"Dec. 31, 1999",-427.60M
"Sept. 30, 1999",-305.00M
"June 30, 1999",-211.80M
"March 31, 1999",-294.80M
"Dec. 31, 1998",-233.20M
"Sept. 30, 1998",-147.70M
"June 30, 1998",-372.90M
"March 31, 1998",-195.90M
"Dec. 31, 1997",-210.10M
"Sept. 30, 1997",-355.70M
"June 30, 1997",-279.40M
"March 31, 1997",-402.20M
"Dec. 31, 1996",-407.90M
"Sept. 30, 1996",-526.70M
"June 30, 1996",-502.50M
"March 31, 1996",-483.20M
"Dec. 31, 1995",-481.50M
"Sept. 30, 1995",-563.40M
"June 30, 1995",-589.20M
"March 31, 1995",-617.10M
"Dec. 31, 1994",-712.70M
