date,liabilities
"Dec. 31, 2019",11.46B
"Sept. 30, 2019",11.28B
"June 30, 2019",11.33B
"March 31, 2019",11.18B
"Dec. 31, 2018",10.94B
"Sept. 30, 2018",10.78B
"June 30, 2018",10.78B
"March 31, 2018",10.61B
"Dec. 31, 2017",10.44B
"Sept. 30, 2017",10.64B
"June 30, 2017",10.62B
"March 31, 2017",10.48B
"Dec. 31, 2016",10.36B
"Sept. 30, 2016",10.13B
"June 30, 2016",10.01B
"March 31, 2016",9.928B
"Dec. 31, 2015",9.854B
"Sept. 30, 2015",9.652B
"June 30, 2015",9.541B
"March 31, 2015",9.376B
"Dec. 31, 2014",9.395B
"Sept. 30, 2014",8.869B
"June 30, 2014",8.856B
"March 31, 2014",8.712B
"Dec. 31, 2013",8.613B
"Sept. 30, 2013",8.774B
"June 30, 2013",8.613B
"March 31, 2013",8.691B
"Dec. 31, 2012",8.555B
"Sept. 30, 2012",8.298B
"June 30, 2012",8.246B
"March 31, 2012",8.079B
"Dec. 31, 2011",8.066B
"Sept. 30, 2011",7.727B
"June 30, 2011",7.729B
"March 31, 2011",7.631B
"Dec. 31, 2010",7.602B
"Sept. 30, 2010",7.416B
"June 30, 2010",7.414B
"March 31, 2010",7.439B
"Dec. 31, 2009",7.483B
"Sept. 30, 2009",7.549B
"June 30, 2009",7.573B
"March 31, 2009",7.522B
"Dec. 31, 2008",7.871B
"Sept. 30, 2008",7.886B
"June 30, 2008",7.851B
"March 31, 2008",8.984B
"Dec. 31, 2007",8.984B
"Sept. 30, 2007",8.866B
"June 30, 2007",8.815B
"March 31, 2007",8.826B
"Dec. 31, 2006",8.762B
"Sept. 30, 2006",8.638B
"June 30, 2006",8.781B
"March 31, 2006",8.768B
"Dec. 31, 2005",8.701B
"Sept. 30, 2005",8.762B
"June 30, 2005",8.591B
"March 31, 2005",8.527B
"Dec. 31, 2004",8.508B
"Sept. 30, 2004",8.249B
"June 30, 2004",8.104B
"March 31, 2004",8.191B
"Dec. 31, 2003",8.112B
"Sept. 30, 2003",7.960B
"June 30, 2003",7.942B
"March 31, 2003",7.975B
"Dec. 31, 2002",7.887B
"Sept. 30, 2002",7.727B
"June 30, 2002",7.686B
"March 31, 2002",7.620B
"Dec. 31, 2001",7.588B
"Sept. 30, 2001",7.736B
"June 30, 2001",7.651B
"March 31, 2001",7.659B
"Dec. 31, 2000",1.568B
"Sept. 30, 2000",7.640B
"June 30, 2000",7.675B
"March 31, 2000",7.598B
"Dec. 31, 1999",7.443B
"Sept. 30, 1999",7.402B
"June 30, 1999",7.280B
"March 31, 1999",7.206B
"Dec. 31, 1998",7.369B
"Sept. 30, 1998",7.293B
"June 30, 1998",7.339B
"March 31, 1998",7.104B
"Dec. 31, 1997",7.132B
"Sept. 30, 1997",5.435B
"June 30, 1997",5.235B
"March 31, 1997",5.222B
"Dec. 31, 1996",5.163B
"Sept. 30, 1996",5.141B
"June 30, 1996",5.017B
"March 31, 1996",4.873B
"Dec. 31, 1995",4.874B
"Sept. 30, 1995",4.748B
"June 30, 1995",4.652B
"March 31, 1995",4.559B
"Dec. 31, 1994",4.492B
"Sept. 30, 1994",4.278B
"June 30, 1994",4.209B
"March 31, 1994",4.024B
