date,return_on_invested_capital
"Dec. 31, 2019",5.02%
"Sept. 30, 2019",4.72%
"June 30, 2019",4.82%
"March 31, 2019",4.98%
"Dec. 31, 2018",4.89%
"Sept. 30, 2018",4.55%
"June 30, 2018",4.46%
"March 31, 2018",4.35%
"Dec. 31, 2017",4.25%
"Sept. 30, 2017",4.60%
"June 30, 2017",6.31%
"March 31, 2017",6.44%
"Dec. 31, 2016",6.38%
"Sept. 30, 2016",6.29%
"June 30, 2016",4.37%
"March 31, 2016",4.17%
"Dec. 31, 2015",4.21%
"Sept. 30, 2015",4.02%
"June 30, 2015",4.00%
"March 31, 2015",4.22%
"Dec. 31, 2014",4.64%
"Sept. 30, 2014",4.87%
"June 30, 2014",4.98%
"March 31, 2014",5.06%
"Dec. 31, 2013",4.80%
"Sept. 30, 2013",4.12%
"June 30, 2013",4.13%
"March 31, 2013",4.11%
"Dec. 31, 2012",4.30%
"Sept. 30, 2012",4.96%
"June 30, 2012",5.03%
"March 31, 2012",4.71%
"Dec. 31, 2011",4.43%
"Sept. 30, 2011",4.14%
"June 30, 2011",3.64%
"March 31, 2011",3.71%
"Dec. 31, 2010",3.68%
"Sept. 30, 2010",3.31%
"June 30, 2010",3.35%
"March 31, 2010",2.92%
"Dec. 31, 2009",2.68%
"Sept. 30, 2009",2.57%
"June 30, 2009",2.66%
"March 31, 2009",2.15%
"Dec. 31, 2008",2.60%
"Sept. 30, 2008",3.24%
"June 30, 2008",2.64%
"March 31, 2008",2.86%
"Dec. 31, 2007",2.22%
"Sept. 30, 2007",1.46%
"June 30, 2007",1.76%
"March 31, 2007",2.01%
"Dec. 31, 2006",2.61%
"Sept. 30, 2006",3.38%
"June 30, 2006",3.83%
"March 31, 2006",4.28%
"Dec. 31, 2005",4.50%
"Sept. 30, 2005",4.63%
"June 30, 2005",4.90%
"March 31, 2005",4.18%
"Dec. 31, 2004",4.57%
"Sept. 30, 2004",5.24%
"June 30, 2004",4.83%
"March 31, 2004",5.35%
"Dec. 31, 2003",5.28%
"Sept. 30, 2003",4.77%
"June 30, 2003",4.91%
"March 31, 2003",5.37%
"Dec. 31, 2002",5.58%
"Sept. 30, 2002",5.11%
"June 30, 2002",3.58%
"March 31, 2002",3.06%
"Dec. 31, 2001",3.21%
"Sept. 30, 2001",2.75%
"June 30, 2001",3.14%
"March 31, 2001",2.92%
"Dec. 31, 2000",2.98%
"Sept. 30, 2000",2.50%
"June 30, 2000",2.56%
"March 31, 2000",2.78%
"Dec. 31, 1999",2.60%
"Sept. 30, 1999",3.02%
"June 30, 1999",2.98%
"March 31, 1999",3.02%
"Dec. 31, 1998",3.10%
"Sept. 30, 1998",3.24%
"June 30, 1998",3.53%
"March 31, 1998",3.59%
"Dec. 31, 1997",3.41%
"Sept. 30, 1997",3.39%
"June 30, 1997",3.17%
"March 31, 1997",3.29%
"Dec. 31, 1996",3.30%
"Sept. 30, 1996",3.28%
"June 30, 1996",3.72%
"March 31, 1996",3.63%
"Dec. 31, 1995",3.57%
"Sept. 30, 1995",3.87%
"June 30, 1995",3.82%
"March 31, 1995",3.90%
"Dec. 31, 1994",3.67%
"Sept. 30, 1994",2.83%
