date,long_term_debt
"Dec. 31, 2019",2.079B
"Sept. 30, 2019",2.015B
"June 30, 2019",1.996B
"March 31, 2019",1.970B
"Dec. 31, 2018",1.990B
"Sept. 30, 2018",1.853B
"June 30, 2018",1.910B
"March 31, 2018",1.784B
"Dec. 31, 2017",1.875B
"Sept. 30, 2017",1.772B
"June 30, 2017",1.807B
"March 31, 2017",1.819B
"Dec. 31, 2016",1.812B
"Sept. 30, 2016",1.844B
"June 30, 2016",1.852B
"March 31, 2016",1.908B
"Dec. 31, 2015",1.907B
"Sept. 30, 2015",1.875B
"June 30, 2015",1.821B
"March 31, 2015",1.819B
"Dec. 31, 2014",1.797B
"Sept. 30, 2014",1.781B
"June 30, 2014",1.760B
"March 31, 2014",1.738B
"Dec. 31, 2013",1.737B
"Sept. 30, 2013",1.662B
"June 30, 2013",1.611B
"March 31, 2013",1.616B
"Dec. 31, 2012",1.619B
"Sept. 30, 2012",1.430B
"June 30, 2012",1.430B
"March 31, 2012",1.283B
"Dec. 31, 2011",1.573B
"Sept. 30, 2011",1.340B
"June 30, 2011",1.440B
"March 31, 2011",1.440B
"Dec. 31, 2010",1.365B
"Sept. 30, 2010",1.365B
"June 30, 2010",1.365B
"March 31, 2010",1.365B
"Dec. 31, 2009",1.365B
"Sept. 30, 2009",1.365B
"June 30, 2009",1.215B
"March 31, 2009",1.651B
"Dec. 31, 2008",1.212B
"Sept. 30, 2008",1.894B
"June 30, 2008",1.841B
"March 31, 2008",1.202B
"Dec. 31, 2007",1.242B
"Sept. 30, 2007",1.230B
"June 30, 2007",1.231B
"March 31, 2007",1.225B
"Dec. 31, 2006",1.133B
"Sept. 30, 2006",1.133B
"June 30, 2006",1.033B
"March 31, 2006",1.133B
"Dec. 31, 2005",1.143B
"Sept. 30, 2005",1.173B
"June 30, 2005",1.168B
"March 31, 2005",1.169B
"Dec. 31, 2004",1.167B
"Sept. 30, 2004",1.167B
"June 30, 2004",1.167B
"March 31, 2004",1.390B
"Dec. 31, 2003",1.064B
"Sept. 30, 2003",1.064B
"June 30, 2003",1.063B
"March 31, 2003",1.189B
"Dec. 31, 2002",1.106B
"Sept. 30, 2002",1.084B
"June 30, 2002",1.089B
"March 31, 2002",1.137B
"Dec. 31, 2001",1.146B
"Sept. 30, 2001",1.167B
"June 30, 2001",1.164B
"March 31, 2001",1.063B
"Dec. 31, 2000",667.73M
"Sept. 30, 2000",1.080B
"June 30, 2000",1.077B
"March 31, 2000",983.88M
"Dec. 31, 1999",977.50M
"Sept. 30, 1999",978.70M
"June 30, 1999",995.30M
"March 31, 1999",903.20M
"Dec. 31, 1998",899.60M
"Sept. 30, 1998",920.70M
"June 30, 1998",918.90M
"March 31, 1998",858.00M
"Dec. 31, 1997",794.60M
"Sept. 30, 1997",803.70M
"June 30, 1997",802.70M
"March 31, 1997",801.90M
"Dec. 31, 1996",810.10M
"Sept. 30, 1996",822.50M
"June 30, 1996",818.40M
"March 31, 1996",753.50M
"Dec. 31, 1995",758.50M
"Sept. 30, 1995",753.30M
"June 30, 1995",753.10M
"March 31, 1995",742.70M
"Dec. 31, 1994",718.20M
"Sept. 30, 1994",713.70M
"June 30, 1994",661.90M
"March 31, 1994",647.40M
