date,debt_equity_ratio
"Dec. 31, 2019",0.9934
"Sept. 30, 2019",0.9714
"June 30, 2019",0.9995
"March 31, 2019",0.9529
"Dec. 31, 2018",0.9544
"Sept. 30, 2018",0.9647
"June 30, 2018",1.005
"March 31, 2018",0.9671
"Dec. 31, 2017",0.95
"Sept. 30, 2017",0.8542
"June 30, 2017",0.8947
"March 31, 2017",0.8816
"Dec. 31, 2016",0.8766
"Sept. 30, 2016",0.8917
"June 30, 2016",1.001
"March 31, 2016",1.031
"Dec. 31, 2015",1.043
"Sept. 30, 2015",1.066
"June 30, 2015",1.025
"March 31, 2015",0.9743
"Dec. 31, 2014",1.070
"Sept. 30, 2014",1.072
"June 30, 2014",1.105
"March 31, 2014",1.073
"Dec. 31, 2013",1.067
"Sept. 30, 2013",1.084
"June 30, 2013",1.069
"March 31, 2013",1.089
"Dec. 31, 2012",1.068
"Sept. 30, 2012",1.072
"June 30, 2012",1.107
"March 31, 2012",1.076
"Dec. 31, 2011",1.074
"Sept. 30, 2011",1.059
"June 30, 2011",1.110
"March 31, 2011",1.126
"Dec. 31, 2010",1.097
"Sept. 30, 2010",1.108
"June 30, 2010",1.143
"March 31, 2010",1.183
"Dec. 31, 2009",1.182
"Sept. 30, 2009",1.219
"June 30, 2009",1.183
"March 31, 2009",1.176
"Dec. 31, 2008",1.362
"Sept. 30, 2008",1.609
"June 30, 2008",1.591
"March 31, 2008",2.447
"Dec. 31, 2007",1.046
"Sept. 30, 2007",2.710
"June 30, 2007",2.774
"March 31, 2007",2.680
"Dec. 31, 2006",2.628
"Sept. 30, 2006",2.293
"June 30, 2006",2.490
"March 31, 2006",2.426
"Dec. 31, 2005",2.389
"Sept. 30, 2005",1.066
"June 30, 2005",1.065
"March 31, 2005",1.072
"Dec. 31, 2004",1.027
"Sept. 30, 2004",0.9697
"June 30, 2004",1.009
"March 31, 2004",1.150
"Dec. 31, 2003",0.9774
"Sept. 30, 2003",0.9966
"June 30, 2003",1.002
"March 31, 2003",1.130
"Dec. 31, 2002",1.057
"Sept. 30, 2002",1.074
"June 30, 2002",1.141
"March 31, 2002",1.198
"Dec. 31, 2001",1.232
"Sept. 30, 2001",2.186
"June 30, 2001",2.787
"March 31, 2001",2.870
"Dec. 31, 2000",0.9465
"Sept. 30, 2000",2.844
"June 30, 2000",2.891
"March 31, 2000",2.844
"Dec. 31, 1999",2.735
"Sept. 30, 1999",2.663
"June 30, 1999",2.495
"March 31, 1999",2.354
"Dec. 31, 1998",2.331
"Sept. 30, 1998",2.338
"June 30, 1998",2.478
"March 31, 1998",2.252
"Dec. 31, 1997",2.229
"Sept. 30, 1997",2.025
"June 30, 1997",1.984
"March 31, 1997",1.964
"Dec. 31, 1996",2.834
"Sept. 30, 1996",2.180
"June 30, 1996",2.004
"March 31, 1996",1.869
"Dec. 31, 1995",1.976
"Sept. 30, 1995",2.044
"June 30, 1995",2.055
"March 31, 1995",2.154
"Dec. 31, 1994",2.157
"Sept. 30, 1994",2.018
"June 30, 1994",2.024
"March 31, 1994",1.759
