date,tobin_q
"Dec. 31, 2019",0.0564
"Sept. 30, 2019",0.0461
"June 30, 2019",0.0301
"March 31, 2019",0.0104
"Dec. 31, 2018",-0.0292
"Sept. 30, 2018",-0.0362
"June 30, 2018",-0.0468
"March 31, 2018",-0.0504
"Dec. 31, 2017",-0.0327
"Sept. 30, 2017",-0.0637
"June 30, 2017",-0.0678
"March 31, 2017",-0.0609
"Dec. 31, 2016",-0.0606
"Sept. 30, 2016",-0.0811
"June 30, 2016",-0.0344
"March 31, 2016",-0.034
"Dec. 31, 2015",-0.0551
"Sept. 30, 2015",-0.0435
"June 30, 2015",-0.029
"March 31, 2015",-0.0051
"Dec. 31, 2014",0.0112
"Sept. 30, 2014",-0.0493
"June 30, 2014",-0.0579
"March 31, 2014",-0.0545
"Dec. 31, 2013",-0.0474
"Sept. 30, 2013",-0.0561
"June 30, 2013",-0.0563
"March 31, 2013",-0.0312
"Dec. 31, 2012",-0.0605
"Sept. 30, 2012",0.3684
"June 30, 2012",0.3937
"March 31, 2012",0.3626
"Dec. 31, 2011",-0.0485
"Sept. 30, 2011",0.3534
"June 30, 2011",0.3525
"March 31, 2011",0.3667
"Dec. 31, 2010",0.3434
"Sept. 30, 2010",0.3499
"June 30, 2010",0.3565
"March 31, 2010",0.4282
"Dec. 31, 2009",0.3292
"Sept. 30, 2009",0.2932
"June 30, 2009",0.298
"March 31, 2009",0.2397
"Dec. 31, 2008",0.384
"Sept. 30, 2008",0.4121
"June 30, 2008",0.3362
"March 31, 2008",0.2805
"Dec. 31, 2007",0.0912
"Sept. 30, 2007",0.296
"June 30, 2007",0.3185
"March 31, 2007",0.3061
"Dec. 31, 2006",0.3113
"Sept. 30, 2006",0.3105
"June 30, 2006",0.3203
"March 31, 2006",0.3144
"Dec. 31, 2005",0.3007
"Sept. 30, 2005",0.0422
"June 30, 2005",0.0346
"March 31, 2005",0.019
"Dec. 31, 2004",0.0326
"Sept. 30, 2004",0.3209
"June 30, 2004",0.3273
"March 31, 2004",0.323
"Dec. 31, 2003",-0.0324
"Sept. 30, 2003",0.2756
"June 30, 2003",0.2844
"March 31, 2003",0.2606
"Dec. 31, 2002",0.274
"Sept. 30, 2002",0.2761
"June 30, 2002",0.2752
"March 31, 2002",0.2899
"Dec. 31, 2001",0.2447
"Sept. 30, 2001",0.2552
"June 30, 2001",0.2527
"March 31, 2001",0.2509
"Dec. 31, 2000",0.8193
"Sept. 30, 2000",0.2374
"June 30, 2000",0.2332
"March 31, 2000",0.2337
"Dec. 31, 1999",0.2162
"Sept. 30, 1999",0.2204
"June 30, 1999",0.2484
"March 31, 1999",0.2508
"Dec. 31, 1998",0.2565
"Sept. 30, 1998",0.2654
"June 30, 1998",0.2485
"March 31, 1998",0.2554
"Dec. 31, 1997",0.2687
"Sept. 30, 1997",0.2796
"June 30, 1997",0.2923
"March 31, 1997",0.2662
"Dec. 31, 1996",0.30
"Sept. 30, 1996",0.2832
"June 30, 1996",0.2941
"March 31, 1996",0.2975
"Dec. 31, 1995",0.3107
"Sept. 30, 1995",0.3123
"June 30, 1995",0.3059
"March 31, 1995",0.2902
"Dec. 31, 1994",0.2807
"Sept. 30, 1994",0.2824
"June 30, 1994",0.2794
"March 31, 1994",0.288
