date,net_income_annual_cs_rev
"Dec. 31, 2019",7.65%
"Dec. 31, 2018",7.12%
"Dec. 31, 2017",6.54%
"Dec. 31, 2016",10.51%
"Dec. 31, 2015",6.21%
"Dec. 31, 2014",5.25%
"Dec. 31, 2013",5.05%
"Dec. 31, 2012",4.16%
"Dec. 31, 2011",4.32%
"Dec. 31, 2010",4.33%
"Dec. 31, 2009",3.68%
"Dec. 31, 2008",2.80%
"Dec. 31, 2007",3.34%
"Dec. 31, 2006",4.39%
"Dec. 31, 2005",5.72%
"Dec. 31, 2004",5.70%
"Dec. 31, 2003",6.41%
"Dec. 31, 2002",7.15%
"Dec. 31, 2001",4.85%
"Dec. 31, 2000",6.95%
"Dec. 31, 1999",7.27%
"Dec. 31, 1998",5.71%
"Dec. 31, 1997",5.92%
"Dec. 31, 1996",5.61%
"Dec. 31, 1995",5.98%
"Dec. 31, 1994",6.14%
"Dec. 31, 1993",4.26%
"Dec. 31, 1992",-1.12%
"Dec. 31, 1991",5.06%
"Dec. 31, 1990",4.31%
"Dec. 31, 1989",7.25%
"Dec. 31, 1988",7.49%
"Dec. 31, 1987",5.95%
"Dec. 31, 1986",7.72%
"Dec. 31, 1985",6.02%
"Dec. 31, 1984",5.31%
