date,assets
"Dec. 31, 2019",13.75B
"Sept. 30, 2019",13.52B
"June 30, 2019",13.54B
"March 31, 2019",13.36B
"Dec. 31, 2018",13.10B
"Sept. 30, 2018",12.91B
"June 30, 2018",12.88B
"March 31, 2018",12.70B
"Dec. 31, 2017",12.53B
"Sept. 30, 2017",12.74B
"June 30, 2017",12.69B
"March 31, 2017",12.54B
"Dec. 31, 2016",12.43B
"Sept. 30, 2016",12.20B
"June 30, 2016",11.98B
"March 31, 2016",11.87B
"Dec. 31, 2015",11.78B
"Sept. 30, 2015",11.57B
"June 30, 2015",11.44B
"March 31, 2015",11.27B
"Dec. 31, 2014",11.19B
"Sept. 30, 2014",10.67B
"June 30, 2014",10.62B
"March 31, 2014",10.46B
"Dec. 31, 2013",10.34B
"Sept. 30, 2013",10.43B
"June 30, 2013",10.24B
"March 31, 2013",10.30B
"Dec. 31, 2012",10.15B
"Sept. 30, 2012",9.905B
"June 30, 2012",9.822B
"March 31, 2012",9.633B
"Dec. 31, 2011",9.594B
"Sept. 30, 2011",9.264B
"June 30, 2011",9.241B
"March 31, 2011",9.128B
"Dec. 31, 2010",9.085B
"Sept. 30, 2010",8.895B
"June 30, 2010",8.880B
"March 31, 2010",8.893B
"Dec. 31, 2009",8.925B
"Sept. 30, 2009",9.005B
"June 30, 2009",9.009B
"March 31, 2009",8.960B
"Dec. 31, 2008",9.295B
"Sept. 30, 2008",9.241B
"June 30, 2008",9.182B
"March 31, 2008",10.32B
"Dec. 31, 2007",10.29B
"Sept. 30, 2007",10.03B
"June 30, 2007",9.958B
"March 31, 2007",9.923B
"Dec. 31, 2006",9.891B
"Sept. 30, 2006",9.910B
"June 30, 2006",10.02B
"March 31, 2006",9.980B
"Dec. 31, 2005",9.952B
"Sept. 30, 2005",9.976B
"June 30, 2005",9.807B
"March 31, 2005",9.710B
"Dec. 31, 2004",9.719B
"Sept. 30, 2004",9.461B
"June 30, 2004",9.274B
"March 31, 2004",9.419B
"Dec. 31, 2003",9.201B
"Sept. 30, 2003",9.028B
"June 30, 2003",9.003B
"March 31, 2003",9.028B
"Dec. 31, 2002",8.934B
"Sept. 30, 2002",8.763B
"June 30, 2002",8.684B
"March 31, 2002",8.569B
"Dec. 31, 2001",8.518B
"Sept. 30, 2001",8.618B
"June 30, 2001",8.521B
"March 31, 2001",8.505B
"Dec. 31, 2000",2.393B
"Sept. 30, 2000",8.514B
"June 30, 2000",8.543B
"March 31, 2000",8.458B
"Dec. 31, 1999",8.291B
"Sept. 30, 1999",8.242B
"June 30, 1999",8.117B
"March 31, 1999",8.039B
"Dec. 31, 1998",8.199B
"Sept. 30, 1998",8.117B
"June 30, 1998",8.163B
"March 31, 1998",7.925B
"Dec. 31, 1997",7.946B
"Sept. 30, 1997",6.238B
"June 30, 1997",6.023B
"March 31, 1997",6.001B
"Dec. 31, 1996",5.936B
"Sept. 30, 1996",5.903B
"June 30, 1996",5.772B
"March 31, 1996",5.614B
"Dec. 31, 1995",5.604B
"Sept. 30, 1995",5.469B
"June 30, 1995",5.357B
"March 31, 1995",5.252B
"Dec. 31, 1994",5.174B
"Sept. 30, 1994",4.948B
"June 30, 1994",4.866B
"March 31, 1994",4.671B
