date,cash_operations_ttm
"Dec. 31, 2019",512.47M
"Sept. 30, 2019",583.06M
"June 30, 2019",524.45M
"March 31, 2019",541.80M
"Dec. 31, 2018",499.31M
"Sept. 30, 2018",358.01M
"June 30, 2018",354.61M
"March 31, 2018",408.13M
"Dec. 31, 2017",420.44M
"Sept. 30, 2017",406.47M
"June 30, 2017",443.92M
"March 31, 2017",371.68M
"Dec. 31, 2016",495.66M
"Sept. 30, 2016",544.91M
"June 30, 2016",414.33M
"March 31, 2016",389.22M
"Dec. 31, 2015",356.86M
"Sept. 30, 2015",349.36M
"June 30, 2015",423.48M
"March 31, 2015",420.34M
"Dec. 31, 2014",325.42M
"Sept. 30, 2014",312.15M
"June 30, 2014",301.08M
"March 31, 2014",356.94M
"Dec. 31, 2013",361.57M
"Sept. 30, 2013",404.06M
"June 30, 2013",413.30M
"March 31, 2013",342.97M
"Dec. 31, 2012",278.93M
"Sept. 30, 2012",270.88M
"June 30, 2012",191.61M
"March 31, 2012",247.88M
"Dec. 31, 2011",250.37M
"Sept. 30, 2011",264.95M
"June 30, 2011",317.66M
"March 31, 2011",317.61M
"Dec. 31, 2010",340.72M
"Sept. 30, 2010",234.35M
"June 30, 2010",182.40M
"March 31, 2010",178.66M
"Dec. 31, 2009",284.47M
"Sept. 30, 2009",411.26M
"June 30, 2009",422.73M
"March 31, 2009",349.52M
"Dec. 31, 2008",259.81M
"Sept. 30, 2008",122.90M
"June 30, 2008",155.32M
"March 31, 2008",192.41M
"Dec. 31, 2007",217.34M
"Sept. 30, 2007",252.99M
"June 30, 2007",218.46M
"March 31, 2007",266.21M
"Dec. 31, 2006",293.58M
"Sept. 30, 2006",269.77M
"June 30, 2006",301.78M
"March 31, 2006",246.76M
"Dec. 31, 2005",215.58M
"Sept. 30, 2005",165.20M
"June 30, 2005",137.25M
"March 31, 2005",223.31M
"Dec. 31, 2004",246.58M
"Sept. 30, 2004",252.35M
"June 30, 2004",277.01M
"March 31, 2004",252.84M
"Dec. 31, 2003",237.97M
"Sept. 30, 2003",279.04M
"June 30, 2003",294.03M
"March 31, 2003",250.74M
"Dec. 31, 2002",243.68M
"Sept. 30, 2002",169.30M
"June 30, 2002",166.06M
"March 31, 2002",191.65M
"Dec. 31, 2001",198.75M
"Sept. 30, 2001",157.86M
"June 30, 2001",166.85M
"March 31, 2001",162.61M
"Dec. 31, 2000",169.45M
"Sept. 30, 2000",263.15M
"June 30, 2000",236.87M
"March 31, 2000",258.68M
"Dec. 31, 1999",213.70M
"Sept. 30, 1999",242.50M
"June 30, 1999",287.20M
"March 31, 1999",216.30M
"Dec. 31, 1998",230.60M
"Sept. 30, 1998",203.40M
"June 30, 1998",125.80M
"March 31, 1998",142.60M
"Dec. 31, 1997",143.40M
"Sept. 30, 1997",144.70M
"June 30, 1997",161.80M
"March 31, 1997",155.10M
"Dec. 31, 1996",158.40M
"Sept. 30, 1996",233.90M
"June 30, 1996",219.00M
"March 31, 1996",210.80M
"Dec. 31, 1995",212.60M
"Sept. 30, 1995",155.60M
"June 30, 1995",184.20M
"March 31, 1995",169.40M
"Dec. 31, 1994",130.30M
