date,enterprise_value
"June 11, 2019",5.194B
"June 10, 2019",5.235B
"June 7, 2019",5.210B
"June 6, 2019",5.239B
"June 5, 2019",5.240B
"June 4, 2019",5.138B
"June 3, 2019",5.138B
"May 31, 2019",5.071B
"May 30, 2019",5.001B
"May 29, 2019",5.040B
"May 28, 2019",5.069B
"May 24, 2019",5.122B
"May 23, 2019",5.109B
"May 22, 2019",5.109B
"May 21, 2019",5.134B
"May 20, 2019",5.122B
"May 17, 2019",5.106B
"May 16, 2019",5.107B
"May 15, 2019",5.094B
"May 14, 2019",5.118B
"May 13, 2019",5.169B
"May 10, 2019",5.130B
"May 9, 2019",5.048B
"May 8, 2019",5.057B
"May 7, 2019",5.123B
"May 6, 2019",5.088B
"May 3, 2019",5.081B
"May 2, 2019",5.035B
"May 1, 2019",5.033B
"April 30, 2019",5.065B
"April 29, 2019",5.034B
"April 26, 2019",5.038B
"April 25, 2019",5.037B
"April 24, 2019",5.012B
"April 23, 2019",5.012B
"April 22, 2019",5.008B
"April 18, 2019",5.013B
"April 17, 2019",5.023B
"April 16, 2019",5.018B
"April 15, 2019",5.058B
"April 12, 2019",5.058B
"April 11, 2019",5.011B
"April 10, 2019",4.985B
"April 9, 2019",4.967B
"April 8, 2019",4.962B
"April 5, 2019",4.984B
"April 4, 2019",4.956B
"April 3, 2019",4.960B
"April 2, 2019",4.960B
"April 1, 2019",4.971B
"March 31, 2019",4.987B
"March 29, 2019",4.947B
"March 28, 2019",4.942B
"March 27, 2019",4.970B
"March 26, 2019",4.978B
"March 25, 2019",4.951B
"March 22, 2019",4.930B
"March 21, 2019",4.928B
"March 20, 2019",4.870B
"March 19, 2019",4.868B
"March 18, 2019",4.928B
"March 15, 2019",4.932B
"March 14, 2019",4.892B
"March 13, 2019",4.879B
"March 12, 2019",4.842B
"March 11, 2019",4.859B
"March 8, 2019",4.799B
"March 7, 2019",4.769B
"March 6, 2019",4.741B
"March 5, 2019",4.737B
"March 4, 2019",4.737B
"March 1, 2019",4.692B
"Feb. 28, 2019",4.676B
"Feb. 27, 2019",4.655B
"Feb. 26, 2019",4.646B
"Feb. 25, 2019",4.662B
"Feb. 22, 2019",4.713B
"Feb. 21, 2019",4.679B
"Feb. 20, 2019",4.643B
"Feb. 19, 2019",4.613B
"Feb. 15, 2019",4.630B
"Feb. 14, 2019",4.611B
"Feb. 13, 2019",4.599B
"Feb. 12, 2019",4.609B
"Feb. 11, 2019",4.618B
"Feb. 8, 2019",4.641B
"Feb. 7, 2019",4.637B
"Feb. 6, 2019",4.571B
"Feb. 5, 2019",4.560B
"Feb. 4, 2019",4.555B
"Feb. 1, 2019",4.546B
"Jan. 31, 2019",4.555B
"Jan. 30, 2019",4.485B
"Jan. 29, 2019",4.469B
"Jan. 28, 2019",4.468B
"Jan. 25, 2019",4.490B
"Jan. 24, 2019",4.526B
"Jan. 23, 2019",4.499B
"Jan. 22, 2019",4.451B
"Jan. 18, 2019",4.470B
"Jan. 17, 2019",4.462B
"Jan. 16, 2019",4.423B
"Jan. 15, 2019",4.392B
"Jan. 14, 2019",4.356B
"Jan. 11, 2019",4.408B
"Jan. 10, 2019",4.426B
"Jan. 9, 2019",4.395B
"Jan. 8, 2019",4.413B
"Jan. 7, 2019",4.373B
"Jan. 4, 2019",4.399B
"Jan. 3, 2019",4.402B
"Jan. 2, 2019",4.387B
"Dec. 31, 2018",4.493B
"Dec. 28, 2018",4.433B
"Dec. 27, 2018",4.448B
"Dec. 26, 2018",4.421B
"Dec. 24, 2018",4.360B
"Dec. 21, 2018",4.557B
"Dec. 20, 2018",4.588B
"Dec. 19, 2018",4.574B
"Dec. 18, 2018",4.567B
"Dec. 17, 2018",4.591B
"Dec. 14, 2018",4.716B
"Dec. 13, 2018",4.754B
"Dec. 12, 2018",4.729B
"Dec. 11, 2018",4.756B
"Dec. 10, 2018",4.756B
"Dec. 7, 2018",4.761B
"Dec. 6, 2018",4.698B
"Dec. 4, 2018",4.711B
"Dec. 3, 2018",4.687B
"Nov. 30, 2018",4.669B
"Nov. 29, 2018",4.620B
"Nov. 28, 2018",4.628B
"Nov. 27, 2018",4.626B
"Nov. 26, 2018",4.591B
"Nov. 23, 2018",4.564B
"Nov. 21, 2018",4.551B
"Nov. 20, 2018",4.594B
"Nov. 19, 2018",4.629B
"Nov. 16, 2018",4.617B
"Nov. 15, 2018",4.586B
"Nov. 14, 2018",4.614B
"Nov. 13, 2018",4.597B
"Nov. 12, 2018",4.586B
"Nov. 9, 2018",4.587B
"Nov. 8, 2018",4.584B
"Nov. 7, 2018",4.607B
"Nov. 6, 2018",4.604B
"Nov. 5, 2018",4.569B
"Nov. 2, 2018",4.518B
"Nov. 1, 2018",4.553B
"Oct. 31, 2018",4.558B
"Oct. 30, 2018",4.575B
"Oct. 29, 2018",4.527B
"Oct. 26, 2018",4.465B
"Oct. 25, 2018",4.506B
"Oct. 24, 2018",4.444B
"Oct. 23, 2018",4.374B
"Oct. 22, 2018",4.398B
"Oct. 19, 2018",4.427B
"Oct. 18, 2018",4.405B
"Oct. 17, 2018",4.409B
"Oct. 16, 2018",4.404B
"Oct. 15, 2018",4.362B
"Oct. 12, 2018",4.325B
"Oct. 11, 2018",4.349B
"Oct. 10, 2018",4.405B
"Oct. 9, 2018",4.423B
"Oct. 8, 2018",4.422B
"Oct. 5, 2018",4.421B
"Oct. 4, 2018",4.374B
"Oct. 3, 2018",4.347B
"Oct. 2, 2018",4.372B
"Oct. 1, 2018",4.368B
"Sept. 30, 2018",4.372B
"Sept. 28, 2018",4.324B
"Sept. 27, 2018",4.265B
"Sept. 26, 2018",4.251B
"Sept. 25, 2018",4.257B
"Sept. 24, 2018",4.290B
"Sept. 21, 2018",4.292B
"Sept. 20, 2018",4.300B
"Sept. 19, 2018",4.269B
"Sept. 18, 2018",4.332B
"Sept. 17, 2018",4.324B
"Sept. 14, 2018",4.304B
"Sept. 13, 2018",4.303B
"Sept. 12, 2018",4.286B
"Sept. 11, 2018",4.307B
"Sept. 10, 2018",4.319B
"Sept. 7, 2018",4.353B
"Sept. 6, 2018",4.385B
"Sept. 5, 2018",4.348B
"Sept. 4, 2018",4.331B
"Aug. 31, 2018",4.289B
"Aug. 30, 2018",4.309B
"Aug. 29, 2018",4.295B
"Aug. 28, 2018",4.266B
"Aug. 27, 2018",4.269B
"Aug. 24, 2018",4.291B
"Aug. 23, 2018",4.284B
"Aug. 22, 2018",4.307B
"Aug. 21, 2018",4.331B
"Aug. 20, 2018",4.321B
"Aug. 17, 2018",4.342B
"Aug. 16, 2018",4.341B
"Aug. 15, 2018",4.301B
"Aug. 14, 2018",4.268B
"Aug. 13, 2018",4.253B
"Aug. 10, 2018",4.223B
"Aug. 9, 2018",4.245B
"Aug. 8, 2018",4.218B
"Aug. 7, 2018",4.221B
"Aug. 6, 2018",4.243B
"Aug. 3, 2018",4.281B
"Aug. 2, 2018",4.286B
"Aug. 1, 2018",4.252B
"July 31, 2018",4.278B
"July 30, 2018",4.195B
"July 27, 2018",4.219B
"July 26, 2018",4.259B
"July 25, 2018",4.232B
"July 24, 2018",4.231B
"July 23, 2018",4.231B
"July 20, 2018",4.272B
"July 19, 2018",4.278B
"July 18, 2018",4.219B
"July 17, 2018",4.211B
"July 16, 2018",4.216B
"July 13, 2018",4.223B
"July 12, 2018",4.237B
"July 11, 2018",4.274B
"July 10, 2018",4.256B
"July 9, 2018",4.252B
"July 6, 2018",4.382B
"July 5, 2018",4.329B
"July 3, 2018",4.286B
"July 2, 2018",4.246B
"June 30, 2018",4.183B
"June 29, 2018",4.093B
"June 28, 2018",4.092B
"June 27, 2018",4.061B
"June 26, 2018",4.047B
"June 25, 2018",4.066B
"June 22, 2018",4.041B
"June 21, 2018",4.009B
"June 20, 2018",4.004B
"June 19, 2018",4.010B
"June 18, 2018",3.966B
"June 15, 2018",3.952B
"June 14, 2018",3.929B
"June 13, 2018",3.922B
"June 12, 2018",3.937B
"June 11, 2018",3.918B
"June 8, 2018",3.962B
"June 7, 2018",3.947B
"June 6, 2018",3.943B
"June 5, 2018",4.023B
"June 4, 2018",4.056B
"June 1, 2018",4.058B
"May 31, 2018",4.096B
"May 30, 2018",4.086B
"May 29, 2018",4.049B
"May 25, 2018",4.047B
"May 24, 2018",4.042B
"May 23, 2018",4.016B
"May 22, 2018",3.996B
"May 21, 2018",4.000B
"May 18, 2018",3.949B
"May 17, 2018",3.967B
"May 16, 2018",3.979B
"May 15, 2018",4.009B
"May 14, 2018",4.032B
"May 11, 2018",4.043B
"May 10, 2018",4.078B
"May 9, 2018",4.046B
"May 8, 2018",4.084B
"May 7, 2018",4.156B
"May 4, 2018",4.177B
"May 3, 2018",4.142B
"May 2, 2018",4.131B
"May 1, 2018",4.137B
"April 30, 2018",4.135B
"April 27, 2018",4.157B
"April 26, 2018",4.120B
"April 25, 2018",4.105B
"April 24, 2018",4.116B
"April 23, 2018",4.117B
"April 20, 2018",4.093B
"April 19, 2018",4.093B
"April 18, 2018",4.111B
"April 17, 2018",4.160B
"April 16, 2018",4.128B
"April 13, 2018",4.080B
"April 12, 2018",4.051B
"April 11, 2018",4.107B
"April 10, 2018",4.109B
"April 9, 2018",4.141B
"April 6, 2018",4.143B
"April 5, 2018",4.158B
"April 4, 2018",4.095B
"April 3, 2018",4.124B
"April 2, 2018",4.072B
"March 31, 2018",4.102B
"March 29, 2018",4.071B
"March 28, 2018",4.068B
"March 27, 2018",4.054B
"March 26, 2018",4.009B
"March 23, 2018",3.956B
"March 22, 2018",4.004B
"March 21, 2018",4.009B
"March 20, 2018",4.013B
"March 19, 2018",4.029B
"March 16, 2018",4.044B
"March 15, 2018",4.005B
"March 14, 2018",3.992B
"March 13, 2018",3.995B
"March 12, 2018",4.000B
"March 9, 2018",3.954B
"March 8, 2018",3.909B
"March 7, 2018",3.902B
"March 6, 2018",3.933B
"March 5, 2018",3.976B
"March 2, 2018",3.921B
"March 1, 2018",3.930B
"Feb. 28, 2018",3.917B
"Feb. 27, 2018",3.944B
"Feb. 26, 2018",3.995B
"Feb. 23, 2018",4.008B
"Feb. 22, 2018",3.938B
"Feb. 21, 2018",3.943B
"Feb. 20, 2018",3.959B
"Feb. 16, 2018",3.997B
"Feb. 15, 2018",4.005B
"Feb. 14, 2018",3.880B
"Feb. 13, 2018",3.895B
"Feb. 12, 2018",3.904B
"Feb. 9, 2018",3.874B
"Feb. 8, 2018",3.781B
"Feb. 7, 2018",3.817B
"Feb. 6, 2018",3.826B
"Feb. 5, 2018",3.893B
"Feb. 2, 2018",3.983B
"Feb. 1, 2018",4.013B
"Jan. 31, 2018",4.040B
"Jan. 30, 2018",4.023B
"Jan. 29, 2018",4.046B
"Jan. 26, 2018",4.083B
"Jan. 25, 2018",4.110B
"Jan. 24, 2018",4.073B
"Jan. 23, 2018",4.091B
"Jan. 22, 2018",4.070B
"Jan. 19, 2018",4.077B
"Jan. 18, 2018",4.078B
"Jan. 17, 2018",4.096B
"Jan. 16, 2018",4.051B
"Jan. 12, 2018",4.073B
"Jan. 11, 2018",4.082B
"Jan. 10, 2018",4.094B
"Jan. 9, 2018",4.155B
"Jan. 8, 2018",4.174B
"Jan. 5, 2018",4.134B
"Jan. 4, 2018",4.135B
"Jan. 3, 2018",4.169B
"Jan. 2, 2018",4.199B
"Dec. 31, 2017",4.262B
"Dec. 29, 2017",4.207B
"Dec. 28, 2017",4.224B
"Dec. 27, 2017",4.196B
"Dec. 26, 2017",4.189B
"Dec. 22, 2017",4.225B
"Dec. 21, 2017",4.177B
"Dec. 20, 2017",4.191B
"Dec. 19, 2017",4.225B
"Dec. 18, 2017",4.269B
"Dec. 15, 2017",4.292B
"Dec. 14, 2017",4.268B
"Dec. 13, 2017",4.323B
"Dec. 12, 2017",4.335B
"Dec. 11, 2017",4.392B
"Dec. 8, 2017",4.396B
"Dec. 7, 2017",4.359B
"Dec. 6, 2017",4.372B
"Dec. 5, 2017",4.396B
"Dec. 4, 2017",4.435B
"Dec. 1, 2017",4.419B
"Nov. 30, 2017",4.446B
"Nov. 29, 2017",4.422B
"Nov. 28, 2017",4.378B
"Nov. 27, 2017",4.315B
"Nov. 24, 2017",4.285B
"Nov. 22, 2017",4.263B
"Nov. 21, 2017",4.284B
"Nov. 20, 2017",4.304B
"Nov. 17, 2017",4.305B
"Nov. 16, 2017",4.282B
"Nov. 15, 2017",4.301B
"Nov. 14, 2017",4.337B
"Nov. 13, 2017",4.282B
"Nov. 10, 2017",4.216B
"Nov. 9, 2017",4.234B
"Nov. 8, 2017",4.245B
"Nov. 7, 2017",4.250B
"Nov. 6, 2017",4.218B
"Nov. 3, 2017",4.241B
"Nov. 2, 2017",4.224B
"Nov. 1, 2017",4.205B
"Oct. 31, 2017",4.241B
"Oct. 30, 2017",4.210B
"Oct. 27, 2017",4.218B
"Oct. 26, 2017",4.150B
"Oct. 25, 2017",4.136B
"Oct. 24, 2017",4.165B
"Oct. 23, 2017",4.161B
"Oct. 20, 2017",4.131B
"Oct. 19, 2017",4.129B
"Oct. 18, 2017",4.089B
"Oct. 17, 2017",4.070B
"Oct. 16, 2017",4.046B
"Oct. 13, 2017",4.009B
"Oct. 12, 2017",4.011B
"Oct. 11, 2017",4.003B
"Oct. 10, 2017",3.981B
"Oct. 9, 2017",3.951B
"Oct. 6, 2017",3.962B
"Oct. 5, 2017",3.949B
"Oct. 4, 2017",3.953B
"Oct. 3, 2017",3.934B
"Oct. 2, 2017",3.934B
"Sept. 30, 2017",3.904B
"Sept. 29, 2017",3.973B
"Sept. 28, 2017",4.006B
"Sept. 27, 2017",3.993B
"Sept. 26, 2017",4.009B
"Sept. 25, 2017",4.020B
"Sept. 22, 2017",3.985B
"Sept. 21, 2017",3.994B
"Sept. 20, 2017",3.973B
"Sept. 19, 2017",3.973B
"Sept. 18, 2017",3.987B
"Sept. 15, 2017",4.012B
"Sept. 14, 2017",4.022B
"Sept. 13, 2017",4.014B
"Sept. 12, 2017",4.027B
"Sept. 11, 2017",4.088B
"Sept. 8, 2017",4.056B
"Sept. 7, 2017",3.998B
"Sept. 6, 2017",3.985B
"Sept. 5, 2017",3.985B
"Sept. 1, 2017",3.989B
"Aug. 31, 2017",3.979B
"Aug. 30, 2017",3.970B
"Aug. 29, 2017",3.975B
"Aug. 28, 2017",3.994B
"Aug. 25, 2017",3.996B
"Aug. 24, 2017",3.970B
"Aug. 23, 2017",3.958B
"Aug. 22, 2017",3.954B
"Aug. 21, 2017",3.930B
"Aug. 18, 2017",3.953B
"Aug. 17, 2017",3.940B
"Aug. 16, 2017",3.963B
"Aug. 15, 2017",3.952B
"Aug. 14, 2017",3.947B
"Aug. 11, 2017",3.935B
"Aug. 10, 2017",3.934B
"Aug. 9, 2017",3.923B
"Aug. 8, 2017",3.975B
"Aug. 7, 2017",3.965B
"Aug. 4, 2017",3.931B
"Aug. 3, 2017",3.931B
"Aug. 2, 2017",3.940B
"Aug. 1, 2017",3.946B
"July 31, 2017",3.932B
"July 28, 2017",3.905B
"July 27, 2017",3.931B
"July 26, 2017",3.918B
"July 25, 2017",3.910B
"July 24, 2017",3.889B
"July 21, 2017",3.907B
"July 20, 2017",3.865B
"July 19, 2017",3.821B
"July 18, 2017",3.806B
"July 17, 2017",3.827B
"July 14, 2017",3.831B
"July 13, 2017",3.829B
"July 12, 2017",3.854B
"July 11, 2017",3.846B
"July 10, 2017",3.830B
"July 7, 2017",3.858B
"July 6, 2017",3.831B
"July 5, 2017",3.854B
"July 3, 2017",3.871B
"June 30, 2017",3.866B
"June 29, 2017",3.867B
"June 28, 2017",3.889B
"June 27, 2017",3.912B
"June 26, 2017",3.953B
"June 23, 2017",3.947B
"June 22, 2017",3.974B
"June 21, 2017",4.005B
"June 20, 2017",4.009B
"June 19, 2017",3.999B
"June 16, 2017",4.011B
"June 15, 2017",4.002B
"June 14, 2017",4.005B
"June 13, 2017",4.020B
"June 12, 2017",3.997B
"June 9, 2017",4.026B
"June 8, 2017",4.000B
"June 7, 2017",4.023B
"June 6, 2017",3.980B
"June 5, 2017",3.980B
"June 2, 2017",4.015B
