date,operating_margin_ttm
"Dec. 31, 2019",12.13%
"Sept. 30, 2019",11.42%
"June 30, 2019",11.46%
"March 31, 2019",11.80%
"Dec. 31, 2018",11.65%
"Sept. 30, 2018",12.18%
"June 30, 2018",13.12%
"March 31, 2018",13.35%
"Dec. 31, 2017",13.55%
"Sept. 30, 2017",14.12%
"June 30, 2017",14.03%
"March 31, 2017",14.73%
"Dec. 31, 2016",14.95%
"Sept. 30, 2016",14.37%
"June 30, 2016",13.61%
"March 31, 2016",12.79%
"Dec. 31, 2015",12.39%
"Sept. 30, 2015",11.11%
"June 30, 2015",10.36%
"March 31, 2015",10.11%
"Dec. 31, 2014",10.27%
"Sept. 30, 2014",10.51%
"June 30, 2014",10.51%
"March 31, 2014",10.43%
"Dec. 31, 2013",9.80%
"Sept. 30, 2013",8.46%
"June 30, 2013",8.47%
"March 31, 2013",8.29%
"Dec. 31, 2012",8.42%
"Sept. 30, 2012",9.30%
"June 30, 2012",9.33%
"March 31, 2012",9.03%
"Dec. 31, 2011",8.93%
"Sept. 30, 2011",9.10%
"June 30, 2011",8.94%
"March 31, 2011",9.39%
"Dec. 31, 2010",9.61%
"Sept. 30, 2010",9.13%
"June 30, 2010",9.24%
"March 31, 2010",8.54%
"Dec. 31, 2009",8.13%
"Sept. 30, 2009",7.47%
"June 30, 2009",6.88%
"March 31, 2009",5.87%
"Dec. 31, 2008",6.34%
"Sept. 30, 2008",7.94%
"June 30, 2008",7.70%
"March 31, 2008",9.07%
"Dec. 31, 2007",8.03%
"Sept. 30, 2007",6.78%
"June 30, 2007",7.53%
"March 31, 2007",8.15%
"Dec. 31, 2006",9.73%
"Sept. 30, 2006",10.99%
"June 30, 2006",11.80%
"March 31, 2006",12.25%
"Dec. 31, 2005",12.25%
"Sept. 30, 2005",11.85%
"June 30, 2005",12.59%
"March 31, 2005",13.26%
"Dec. 31, 2004",14.08%
"Sept. 30, 2004",15.66%
"June 30, 2004",15.38%
"March 31, 2004",15.18%
"Dec. 31, 2003",14.80%
"Sept. 30, 2003",14.08%
"June 30, 2003",14.46%
"March 31, 2003",15.34%
"Dec. 31, 2002",16.07%
"Sept. 30, 2002",16.11%
"June 30, 2002",15.79%
"March 31, 2002",15.26%
"Dec. 31, 2001",13.06%
"Sept. 30, 2001",18.99%
"June 30, 2001",16.55%
"March 31, 2001",13.92%
"Dec. 31, 2000",14.67%
"Sept. 30, 2000",16.52%
"June 30, 2000",16.36%
"March 31, 2000",16.97%
"Dec. 31, 1999",16.14%
"Sept. 30, 1999",-62.20%
"June 30, 1999",-38.97%
"March 31, 1999",-39.37%
"Dec. 31, 1998",-38.41%
"Sept. 30, 1998",30.64%
"June 30, 1998",7.69%
"March 31, 1998",7.54%
"Dec. 31, 1997",7.30%
"Sept. 30, 1997",7.24%
"June 30, 1997",6.28%
"March 31, 1997",28.92%
"Dec. 31, 1996",51.23%
"Sept. 30, 1996",51.67%
"June 30, 1996",53.97%
"March 31, 1996",30.65%
"Dec. 31, 1995",7.92%
"Sept. 30, 1995",8.79%
"June 30, 1995",8.76%
"March 31, 1995",9.03%
"Dec. 31, 1994",8.62%
"Sept. 30, 1994",31.17%
"June 30, 1994",55.18%
"March 31, 1994",78.00%
