date,kz_index
"Dec. 31, 2019",0.5058
"Dec. 31, 2018",0.235
"Dec. 31, 2017",0.2778
"Dec. 31, 2016",
"Dec. 31, 2015",
"Dec. 31, 2014",0.4192
"Dec. 31, 2013",
"Dec. 31, 2012",0.3808
"Dec. 31, 2011",-0.7982
"Dec. 31, 2010",0.23
"Dec. 31, 2009",
"Dec. 31, 2008",0.7833
"Dec. 31, 2007",0.6751
"Dec. 31, 2006",1.124
"Dec. 31, 2005",0.8879
"Dec. 31, 2004",0.3655
"Dec. 31, 2003",0.4563
"Dec. 31, 2002",
"Dec. 31, 2001",1.022
"Dec. 31, 2000",0.5135
"Dec. 31, 1999",
"Dec. 31, 1998",0.712
"Dec. 31, 1997",1.079
"Dec. 31, 1996",1.323
"Dec. 31, 1995",1.135
