date,book_value_of_equity_per_share
"Dec. 31, 2019",20.92
"Sept. 30, 2019",20.58
"June 30, 2019",20.27
"March 31, 2019",20.04
"Dec. 31, 2018",19.86
"Sept. 30, 2018",19.58
"June 30, 2018",19.32
"March 31, 2018",19.22
"Dec. 31, 2017",19.28
"Sept. 30, 2017",19.33
"June 30, 2017",19.07
"March 31, 2017",18.99
"Dec. 31, 2016",19.03
"Sept. 30, 2016",19.06
"June 30, 2016",18.17
"March 31, 2016",18.00
"Dec. 31, 2015",17.94
"Sept. 30, 2015",17.88
"June 30, 2015",17.67
"March 31, 2015",17.67
"Dec. 31, 2014",17.46
"Sept. 30, 2014",17.56
"June 30, 2014",17.34
"March 31, 2014",17.21
"Dec. 31, 2013",17.06
"Sept. 30, 2013",16.63
"June 30, 2013",16.40
"March 31, 2013",16.32
"Dec. 31, 2012",16.28
"Sept. 30, 2012",16.50
"June 30, 2012",16.24
"March 31, 2012",16.10
"Dec. 31, 2011",15.92
"Sept. 30, 2011",16.02
"June 30, 2011",15.78
"March 31, 2011",15.71
"Dec. 31, 2010",15.67
"Sept. 30, 2010",15.72
"June 30, 2010",15.67
"March 31, 2010",15.61
"Dec. 31, 2009",15.58
"Sept. 30, 2009",15.45
"June 30, 2009",15.31
"March 31, 2009",15.34
"Dec. 31, 2008",15.35
"Sept. 30, 2008",13.54
"June 30, 2008",15.32
"March 31, 2008",15.53
"Dec. 31, 2007",15.29
"Sept. 30, 2007",11.79
"June 30, 2007",11.63
"March 31, 2007",13.38
"Dec. 31, 2006",13.44
"Sept. 30, 2006",15.22
"June 30, 2006",14.83
"March 31, 2006",14.95
"Dec. 31, 2005",15.02
"Sept. 30, 2005",14.99
"June 30, 2005",15.03
"March 31, 2005",14.66
"Dec. 31, 2004",15.01
"Sept. 30, 2004",15.05
"June 30, 2004",14.56
"March 31, 2004",15.29
"Dec. 31, 2003",14.36
"Sept. 30, 2003",14.16
"June 30, 2003",14.18
"March 31, 2003",14.22
"Dec. 31, 2002",14.13
"Sept. 30, 2002",14.17
"June 30, 2002",13.73
"March 31, 2002",13.16
"Dec. 31, 2001",13.06
"Sept. 30, 2001",13.09
"June 30, 2001",12.91
"March 31, 2001",12.66
"Dec. 31, 2000",12.50
"Sept. 30, 2000",13.31
"June 30, 2000",13.31
"March 31, 2000",13.29
"Dec. 31, 1999",13.16
"Sept. 30, 1999",12.97
"June 30, 1999",12.95
"March 31, 1999",12.89
"Dec. 31, 1998",12.88
"Sept. 30, 1998",12.86
"June 30, 1998",12.87
"March 31, 1998",12.83
"Dec. 31, 1997",12.84
"Sept. 30, 1997",12.67
"June 30, 1997",12.55
"March 31, 1997",12.51
"Dec. 31, 1996",12.53
"Sept. 30, 1996",12.44
"June 30, 1996",12.42
"March 31, 1996",12.32
"Dec. 31, 1995",12.25
"Sept. 30, 1995",12.22
"June 30, 1995",12.03
"March 31, 1995",11.96
"Dec. 31, 1994",11.90
"Sept. 30, 1994",11.80
"June 30, 1994",11.65
"March 31, 1994",11.59
