date,six_month_return
"March 19, 2020",9.26%
"March 18, 2020",20.25%
"March 17, 2020",11.51%
"March 16, 2020",-0.93%
"March 13, 2020",-0.97%
"March 12, 2020",-10.54%
"March 11, 2020",-5.28%
"March 10, 2020",-0.67%
"March 9, 2020",-1.35%
"March 6, 2020",5.29%
"March 5, 2020",4.04%
"March 4, 2020",4.22%
"March 3, 2020",-0.84%
"March 2, 2020",1.55%
"Feb. 28, 2020",-2.30%
"Feb. 27, 2020",1.84%
"Feb. 26, 2020",5.97%
"Feb. 25, 2020",9.50%
"Feb. 24, 2020",12.35%
"Feb. 21, 2020",11.55%
"Feb. 20, 2020",11.76%
"Feb. 19, 2020",11.15%
"Feb. 18, 2020",12.50%
"Feb. 14, 2020",13.87%
"Feb. 13, 2020",12.25%
"Feb. 12, 2020",9.99%
"Feb. 11, 2020",8.42%
"Feb. 10, 2020",8.87%
"Feb. 7, 2020",9.26%
"Feb. 6, 2020",10.10%
"Feb. 5, 2020",11.66%
"Feb. 4, 2020",9.06%
"Feb. 3, 2020",10.19%
"Jan. 31, 2020",9.17%
"Jan. 30, 2020",10.31%
"Jan. 29, 2020",8.63%
"Jan. 28, 2020",9.27%
"Jan. 27, 2020",8.30%
"Jan. 24, 2020",9.15%
"Jan. 23, 2020",9.35%
"Jan. 22, 2020",8.11%
"Jan. 21, 2020",7.61%
"Jan. 17, 2020",6.41%
"Jan. 16, 2020",6.18%
"Jan. 15, 2020",5.41%
"Jan. 14, 2020",3.93%
"Jan. 13, 2020",3.45%
"Jan. 10, 2020",2.32%
"Jan. 9, 2020",2.57%
"Jan. 8, 2020",2.91%
"Jan. 7, 2020",2.73%
"Jan. 6, 2020",3.34%
"Jan. 3, 2020",3.91%
"Jan. 2, 2020",5.02%
"Dec. 31, 2019",7.60%
"Dec. 30, 2019",7.46%
"Dec. 27, 2019",7.98%
"Dec. 26, 2019",8.73%
"Dec. 24, 2019",7.03%
"Dec. 23, 2019",6.31%
"Dec. 20, 2019",8.46%
"Dec. 19, 2019",7.16%
"Dec. 18, 2019",8.01%
"Dec. 17, 2019",6.67%
"Dec. 16, 2019",5.50%
"Dec. 13, 2019",4.93%
"Dec. 12, 2019",4.72%
"Dec. 11, 2019",5.67%
"Dec. 10, 2019",3.53%
"Dec. 9, 2019",3.76%
"Dec. 6, 2019",3.04%
"Dec. 5, 2019",2.88%
"Dec. 4, 2019",4.51%
"Dec. 3, 2019",3.25%
"Dec. 2, 2019",4.33%
"Nov. 29, 2019",5.87%
"Nov. 27, 2019",4.57%
"Nov. 26, 2019",4.31%
"Nov. 25, 2019",3.50%
"Nov. 22, 2019",4.42%
"Nov. 21, 2019",3.87%
"Nov. 20, 2019",5.45%
"Nov. 19, 2019",4.54%
"Nov. 18, 2019",4.61%
"Nov. 15, 2019",4.48%
"Nov. 14, 2019",4.48%
"Nov. 13, 2019",3.04%
"Nov. 12, 2019",2.52%
"Nov. 11, 2019",2.14%
"Nov. 8, 2019",4.85%
"Nov. 7, 2019",3.43%
"Nov. 6, 2019",5.95%
"Nov. 5, 2019",5.33%
"Nov. 4, 2019",6.25%
"Nov. 1, 2019",9.59%
"Oct. 31, 2019",8.85%
"Oct. 30, 2019",8.78%
"Oct. 29, 2019",8.62%
"Oct. 28, 2019",8.22%
"Oct. 25, 2019",9.90%
"Oct. 24, 2019",11.27%
"Oct. 23, 2019",11.17%
"Oct. 22, 2019",10.86%
"Oct. 21, 2019",10.80%
"Oct. 18, 2019",10.36%
"Oct. 17, 2019",9.32%
"Oct. 16, 2019",8.43%
"Oct. 15, 2019",6.98%
"Oct. 14, 2019",7.56%
"Oct. 11, 2019",9.56%
"Oct. 10, 2019",10.21%
"Oct. 9, 2019",10.84%
"Oct. 8, 2019",10.36%
"Oct. 7, 2019",11.02%
"Oct. 4, 2019",11.71%
"Oct. 3, 2019",10.29%
"Oct. 2, 2019",9.97%
"Oct. 1, 2019",11.62%
"Sept. 30, 2019",11.87%
"Sept. 27, 2019",10.83%
"Sept. 26, 2019",11.11%
"Sept. 25, 2019",11.64%
"Sept. 24, 2019",11.38%
"Sept. 23, 2019",10.69%
"Sept. 20, 2019",11.53%
"Sept. 19, 2019",10.89%
"Sept. 18, 2019",9.24%
"Sept. 17, 2019",8.84%
"Sept. 16, 2019",9.03%
"Sept. 13, 2019",9.92%
"Sept. 12, 2019",12.06%
"Sept. 11, 2019",10.96%
"Sept. 10, 2019",10.45%
"Sept. 9, 2019",11.27%
"Sept. 6, 2019",14.17%
"Sept. 5, 2019",14.57%
"Sept. 4, 2019",15.83%
"Sept. 3, 2019",17.90%
"Aug. 30, 2019",15.99%
"Aug. 29, 2019",15.65%
"Aug. 28, 2019",14.55%
"Aug. 27, 2019",15.65%
"Aug. 26, 2019",16.79%
"Aug. 23, 2019",13.67%
"Aug. 22, 2019",15.48%
"Aug. 21, 2019",16.42%
"Aug. 20, 2019",17.35%
"Aug. 19, 2019",18.49%
"Aug. 16, 2019",18.09%
"Aug. 15, 2019",17.35%
"Aug. 14, 2019",17.46%
"Aug. 13, 2019",17.94%
"Aug. 12, 2019",17.14%
"Aug. 9, 2019",16.90%
"Aug. 8, 2019",18.62%
"Aug. 7, 2019",16.13%
"Aug. 6, 2019",17.25%
"Aug. 5, 2019",16.36%
"Aug. 2, 2019",19.54%
"Aug. 1, 2019",20.21%
"July 31, 2019",20.46%
"July 30, 2019",22.38%
"July 29, 2019",23.52%
"July 26, 2019",21.78%
"July 25, 2019",21.21%
"July 24, 2019",20.23%
"July 23, 2019",20.40%
"July 22, 2019",22.16%
"July 19, 2019",21.70%
"July 18, 2019",23.81%
"July 17, 2019",22.82%
"July 16, 2019",23.71%
"July 15, 2019",24.88%
"July 12, 2019",24.39%
"July 11, 2019",24.50%
"July 10, 2019",23.50%
"July 9, 2019",24.02%
"July 8, 2019",23.66%
"July 5, 2019",24.02%
"July 3, 2019",23.59%
"July 2, 2019",22.92%
"July 1, 2019",18.79%
"June 28, 2019",20.47%
"June 27, 2019",19.10%
"June 26, 2019",19.15%
"June 25, 2019",23.03%
"June 24, 2019",22.72%
"June 21, 2019",17.81%
"June 20, 2019",16.37%
"June 19, 2019",16.40%
"June 18, 2019",15.25%
"June 17, 2019",14.89%
"June 14, 2019",12.13%
"June 13, 2019",10.43%
"June 12, 2019",10.75%
"June 11, 2019",9.07%
"June 10, 2019",10.02%
"June 7, 2019",9.32%
"June 6, 2019",11.66%
"June 5, 2019",11.34%
"June 4, 2019",8.91%
"June 3, 2019",9.54%
"May 31, 2019",8.40%
"May 30, 2019",6.73%
"May 29, 2019",8.93%
"May 28, 2019",9.44%
"May 24, 2019",12.48%
"May 23, 2019",12.16%
"May 22, 2019",12.52%
"May 21, 2019",13.13%
"May 20, 2019",11.64%
"May 17, 2019",10.62%
"May 16, 2019",10.65%
"May 15, 2019",11.19%
"May 14, 2019",11.00%
"May 13, 2019",12.69%
"May 10, 2019",12.03%
"May 9, 2019",10.04%
"May 8, 2019",10.31%
"May 7, 2019",11.31%
"May 6, 2019",10.52%
"May 3, 2019",12.73%
"May 2, 2019",11.59%
"May 1, 2019",10.58%
"April 30, 2019",10.76%
"April 29, 2019",11.32%
"April 26, 2019",13.17%
"April 25, 2019",11.98%
"April 24, 2019",13.10%
"April 23, 2019",15.14%
"April 22, 2019",14.32%
"April 18, 2019",14.27%
"April 17, 2019",14.39%
"April 16, 2019",14.41%
"April 15, 2019",16.68%
"April 12, 2019",17.80%
"April 11, 2019",15.86%
"April 10, 2019",13.54%
"April 9, 2019",12.53%
"April 8, 2019",12.45%
"April 5, 2019",13.04%
"April 4, 2019",13.68%
"April 3, 2019",14.59%
"April 2, 2019",13.85%
"April 1, 2019",14.26%
"March 29, 2019",14.55%
"March 28, 2019",14.41%
"March 27, 2019",16.92%
"March 26, 2019",17.55%
"March 25, 2019",16.64%
"March 22, 2019",15.04%
"March 21, 2019",14.99%
"March 20, 2019",13.26%
"March 19, 2019",14.11%
"March 18, 2019",13.79%
"March 15, 2019",14.74%
"March 14, 2019",13.70%
"March 13, 2019",13.39%
"March 12, 2019",12.94%
"March 11, 2019",12.75%
"March 8, 2019",9.90%
"March 7, 2019",9.12%
"March 6, 2019",7.55%
"March 5, 2019",8.46%
"March 4, 2019",8.92%
"March 1, 2019",8.96%
"Feb. 28, 2019",9.18%
"Feb. 27, 2019",8.55%
"Feb. 26, 2019",7.68%
"Feb. 25, 2019",8.10%
"Feb. 22, 2019",8.97%
"Feb. 21, 2019",7.43%
"Feb. 20, 2019",6.78%
"Feb. 19, 2019",5.43%
"Feb. 15, 2019",7.01%
"Feb. 14, 2019",7.41%
"Feb. 13, 2019",7.53%
"Feb. 12, 2019",8.68%
"Feb. 11, 2019",8.94%
"Feb. 8, 2019",9.71%
"Feb. 7, 2019",9.49%
"Feb. 6, 2019",7.14%
"Feb. 5, 2019",5.77%
"Feb. 4, 2019",5.65%
"Feb. 1, 2019",6.24%
"Jan. 31, 2019",5.74%
"Jan. 30, 2019",6.22%
"Jan. 29, 2019",5.11%
"Jan. 28, 2019",5.08%
"Jan. 25, 2019",5.30%
"Jan. 24, 2019",6.28%
"Jan. 23, 2019",5.56%
"Jan. 22, 2019",3.16%
"Jan. 18, 2019",5.14%
"Jan. 17, 2019",5.12%
"Jan. 16, 2019",3.99%
"Jan. 15, 2019",2.94%
"Jan. 14, 2019",1.99%
"Jan. 11, 2019",2.02%
"Jan. 10, 2019",2.95%
"Jan. 9, 2019",2.26%
"Jan. 8, 2019",-0.69%
"Jan. 7, 2019",-1.69%
"Jan. 4, 2019",1.48%
"Jan. 3, 2019",1.53%
"Jan. 2, 2019",2.21%
"Dec. 31, 2018",6.76%
"Dec. 28, 2018",5.42%
"Dec. 27, 2018",6.70%
"Dec. 26, 2018",6.38%
"Dec. 24, 2018",4.91%
"Dec. 21, 2018",11.21%
"Dec. 20, 2018",12.22%
"Dec. 19, 2018",11.63%
"Dec. 18, 2018",12.83%
"Dec. 17, 2018",13.90%
"Dec. 14, 2018",18.18%
"Dec. 13, 2018",19.46%
"Dec. 12, 2018",18.25%
"Dec. 11, 2018",19.67%
"Dec. 10, 2018",18.19%
"Dec. 7, 2018",18.81%
"Dec. 6, 2018",17.19%
"Dec. 4, 2018",13.96%
"Dec. 3, 2018",13.24%
"Nov. 30, 2018",11.92%
"Nov. 29, 2018",11.71%
"Nov. 28, 2018",11.98%
"Nov. 27, 2018",11.92%
"Nov. 26, 2018",10.98%
"Nov. 23, 2018",11.19%
"Nov. 21, 2018",11.30%
"Nov. 20, 2018",14.10%
"Nov. 19, 2018",15.07%
"Nov. 16, 2018",13.80%
"Nov. 15, 2018",11.99%
"Nov. 14, 2018",12.06%
"Nov. 13, 2018",11.29%
"Nov. 12, 2018",10.96%
"Nov. 9, 2018",10.89%
"Nov. 8, 2018",9.70%
"Nov. 7, 2018",8.23%
"Nov. 6, 2018",7.56%
"Nov. 5, 2018",6.64%
"Nov. 2, 2018",6.58%
"Nov. 1, 2018",7.32%
"Oct. 31, 2018",7.52%
"Oct. 30, 2018",7.96%
"Oct. 29, 2018",6.08%
"Oct. 26, 2018",5.47%
"Oct. 25, 2018",7.00%
"Oct. 24, 2018",5.04%
"Oct. 23, 2018",3.16%
"Oct. 22, 2018",4.46%
"Oct. 19, 2018",5.22%
"Oct. 18, 2018",4.12%
"Oct. 17, 2018",2.89%
"Oct. 16, 2018",3.64%
"Oct. 15, 2018",3.86%
"Oct. 12, 2018",3.66%
"Oct. 11, 2018",2.76%
"Oct. 10, 2018",4.18%
"Oct. 9, 2018",3.80%
"Oct. 8, 2018",3.71%
"Oct. 5, 2018",3.27%
"Oct. 4, 2018",3.76%
"Oct. 3, 2018",2.23%
"Oct. 2, 2018",4.34%
"Oct. 1, 2018",3.40%
"Sept. 28, 2018",3.61%
"Sept. 27, 2018",2.43%
"Sept. 26, 2018",3.28%
"Sept. 25, 2018",4.98%
"Sept. 24, 2018",5.88%
"Sept. 21, 2018",4.41%
"Sept. 20, 2018",4.52%
"Sept. 19, 2018",3.24%
"Sept. 18, 2018",4.51%
"Sept. 17, 2018",4.28%
"Sept. 14, 2018",5.23%
"Sept. 13, 2018",5.11%
"Sept. 12, 2018",4.51%
"Sept. 11, 2018",6.43%
"Sept. 10, 2018",6.76%
"Sept. 7, 2018",9.26%
"Sept. 6, 2018",9.18%
"Sept. 5, 2018",6.90%
"Sept. 4, 2018",8.06%
"Aug. 31, 2018",7.01%
"Aug. 30, 2018",7.58%
"Aug. 29, 2018",7.19%
"Aug. 28, 2018",6.37%
"Aug. 27, 2018",5.66%
"Aug. 24, 2018",4.41%
"Aug. 23, 2018",4.23%
"Aug. 22, 2018",6.91%
"Aug. 21, 2018",7.41%
"Aug. 20, 2018",6.66%
"Aug. 17, 2018",6.11%
"Aug. 16, 2018",6.08%
"Aug. 15, 2018",4.77%
"Aug. 14, 2018",7.54%
"Aug. 13, 2018",6.65%
"Aug. 10, 2018",6.42%
"Aug. 9, 2018",7.03%
"Aug. 8, 2018",9.11%
"Aug. 7, 2018",8.08%
"Aug. 6, 2018",8.43%
"Aug. 3, 2018",4.82%
"Aug. 2, 2018",4.94%
"Aug. 1, 2018",3.16%
"July 31, 2018",3.11%
"July 30, 2018",1.35%
"July 27, 2018",0.38%
"July 26, 2018",1.45%
"July 25, 2018",0.00%
"July 24, 2018",0.96%
"July 23, 2018",0.46%
"July 20, 2018",1.94%
"July 19, 2018",2.09%
"July 18, 2018",0.49%
"July 17, 2018",-0.17%
"July 16, 2018",1.14%
"July 13, 2018",0.76%
"July 12, 2018",1.10%
"July 11, 2018",1.86%
"July 10, 2018",1.07%
"July 9, 2018",-0.65%
"July 6, 2018",3.32%
"July 5, 2018",1.92%
"July 3, 2018",-0.14%
"July 2, 2018",-1.94%
"June 29, 2018",-5.12%
"June 28, 2018",-5.56%
"June 27, 2018",-5.66%
"June 26, 2018",-5.86%
"June 25, 2018",-6.25%
"June 22, 2018",-6.88%
"June 21, 2018",-6.55%
"June 20, 2018",-7.00%
"June 19, 2018",-7.65%
"June 18, 2018",-9.78%
"June 15, 2018",-10.61%
"June 14, 2018",-10.68%
"June 13, 2018",-12.06%
"June 12, 2018",-11.95%
"June 11, 2018",-13.63%
"June 8, 2018",-12.64%
"June 7, 2018",-12.22%
"June 6, 2018",-12.61%
"June 5, 2018",-11.16%
"June 4, 2018",-11.22%
"June 1, 2018",-10.81%
"May 31, 2018",-10.48%
"May 30, 2018",-10.72%
"May 29, 2018",-11.09%
"May 25, 2018",-8.11%
"May 24, 2018",-8.25%
"May 23, 2018",-8.40%
"May 22, 2018",-8.89%
"May 21, 2018",-9.25%
"May 18, 2018",-10.99%
