date,cash_on_hand
"Dec. 31, 2019",1.430B
"Sept. 30, 2019",1.388B
"June 30, 2019",1.497B
"March 31, 2019",1.535B
"Dec. 31, 2018",1.558B
"Sept. 30, 2018",1.560B
"June 30, 2018",1.664B
"March 31, 2018",1.663B
"Dec. 31, 2017",1.663B
"Sept. 30, 2017",1.522B
"June 30, 2017",1.513B
"March 31, 2017",1.463B
"Dec. 31, 2016",1.384B
"Sept. 30, 2016",1.281B
"June 30, 2016",1.151B
"March 31, 2016",1.241B
"Dec. 31, 2015",1.121B
"Sept. 30, 2015",1.014B
"June 30, 2015",994.21M
"March 31, 2015",882.82M
"Dec. 31, 2014",725.94M
"Sept. 30, 2014",724.16M
"June 30, 2014",737.70M
"March 31, 2014",786.65M
"Dec. 31, 2013",749.04M
"Sept. 30, 2013",750.31M
"June 30, 2013",713.88M
"March 31, 2013",922.11M
"Dec. 31, 2012",891.02M
"Sept. 30, 2012",929.46M
"June 30, 2012",944.42M
"March 31, 2012",965.17M
"Dec. 31, 2011",894.60M
"Sept. 30, 2011",952.29M
"June 30, 2011",1.076B
"March 31, 2011",1.085B
"Dec. 31, 2010",1.107B
"Sept. 30, 2010",1.056B
"June 30, 2010",1.000B
"March 31, 2010",342.03M
"Dec. 31, 2009",1.035B
"Sept. 30, 2009",979.91M
"June 30, 2009",985.44M
"March 31, 2009",859.39M
"Dec. 31, 2008",183.44M
"Sept. 30, 2008",166.71M
"June 30, 2008",147.77M
"March 31, 2008",189.96M
"Dec. 31, 2007",145.86M
"Sept. 30, 2007",167.02M
"June 30, 2007",152.16M
"March 31, 2007",156.09M
"Dec. 31, 2006",177.63M
"Sept. 30, 2006",146.92M
"June 30, 2006",144.94M
"March 31, 2006",155.38M
"Dec. 31, 2005",151.51M
"Sept. 30, 2005",165.40M
"June 30, 2005",168.33M
"March 31, 2005",203.40M
"Dec. 31, 2004",132.14M
"Sept. 30, 2004",171.63M
"June 30, 2004",192.48M
"March 31, 2004",322.91M
"Dec. 31, 2003",223.31M
"Sept. 30, 2003",199.60M
"June 30, 2003",213.77M
"March 31, 2003",316.48M
"Dec. 31, 2002",244.52M
"Sept. 30, 2002",251.47M
"June 30, 2002",243.87M
"March 31, 2002",211.03M
"Dec. 31, 2001",450.83M
"Sept. 30, 2001",437.63M
"June 30, 2001",495.12M
"March 31, 2001",197.20M
"Dec. 31, 2000",1.534M
"Sept. 30, 2000",179.65M
"June 30, 2000",215.08M
"March 31, 2000",202.58M
"Dec. 31, 1999",199.90M
"Sept. 30, 1999",209.40M
"June 30, 1999",154.20M
"March 31, 1999",164.90M
"Dec. 31, 1998",412.30M
"Sept. 30, 1998",275.10M
"June 30, 1998",253.90M
"March 31, 1998",212.40M
"Dec. 31, 1997",253.90M
"Sept. 30, 1997",124.60M
"June 30, 1997",129.40M
"March 31, 1997",98.70M
"Dec. 31, 1996",97.40M
"Sept. 30, 1996",94.30M
"June 30, 1996",90.30M
"March 31, 1996",88.10M
"Dec. 31, 1995",130.80M
"Sept. 30, 1995",85.30M
"June 30, 1995",79.40M
"March 31, 1995",107.40M
"Dec. 31, 1994",87.60M
"Sept. 30, 1994",84.20M
"June 30, 1994",103.80M
"March 31, 1994",78.70M
