date,fulmer_h_score
"Dec. 31, 2019",4.343
"Sept. 30, 2019",4.420
"June 30, 2019",4.314
"March 31, 2019",4.509
"Dec. 31, 2018",4.542
"Sept. 30, 2018",4.425
"June 30, 2018",4.422
"March 31, 2018",4.573
"Dec. 31, 2017",4.645
"Sept. 30, 2017",5.020
"June 30, 2017",5.081
"March 31, 2017",5.149
"Dec. 31, 2016",5.210
"Sept. 30, 2016",5.077
"June 30, 2016",4.349
"March 31, 2016",4.200
"Dec. 31, 2015",4.100
"Sept. 30, 2015",3.923
"June 30, 2015",4.050
"March 31, 2015",4.202
"Dec. 31, 2014",3.968
"Sept. 30, 2014",3.876
"June 30, 2014",3.779
"March 31, 2014",3.897
"Dec. 31, 2013",3.878
"Sept. 30, 2013",3.807
"June 30, 2013",3.868
"March 31, 2013",3.782
"Dec. 31, 2012",3.837
"Sept. 30, 2012",2.204
"June 30, 2012",2.142
"March 31, 2012",2.043
"Dec. 31, 2011",3.775
"Sept. 30, 2011",2.026
"June 30, 2011",1.995
"March 31, 2011",2.018
"Dec. 31, 2010",2.008
"Sept. 30, 2010",1.800
"June 30, 2010",1.753
"March 31, 2010",1.243
"Dec. 31, 2009",1.745
"Sept. 30, 2009",1.863
"June 30, 2009",1.905
"March 31, 2009",1.947
"Dec. 31, 2008",1.443
"Sept. 30, 2008",2.365
"June 30, 2008",2.608
"March 31, 2008",3.184
