date,asset_utilization
"Dec. 31, 2019",0.2079
"Sept. 30, 2019",0.2132
"June 30, 2019",0.2187
"March 31, 2019",0.2238
"Dec. 31, 2018",0.2198
"Sept. 30, 2018",0.2189
"June 30, 2018",0.2189
"March 31, 2018",0.2176
"Dec. 31, 2017",0.2162
"Sept. 30, 2017",0.2137
"June 30, 2017",0.2098
"March 31, 2017",0.208
"Dec. 31, 2016",0.2058
"Sept. 30, 2016",0.2069
"June 30, 2016",0.208
"March 31, 2016",0.2123
"Dec. 31, 2015",0.2151
"Sept. 30, 2015",0.2197
"June 30, 2015",0.2263
"March 31, 2015",0.2273
"Dec. 31, 2014",0.2348
"Sept. 30, 2014",0.2369
"June 30, 2014",0.2368
"March 31, 2014",0.2349
"Dec. 31, 2013",0.2303
"Sept. 30, 2013",0.2232
"June 30, 2013",0.2184
"March 31, 2013",0.2131
"Dec. 31, 2012",0.2115
"Sept. 30, 2012",0.2114
"June 30, 2012",0.2113
"March 31, 2012",0.2117
"Dec. 31, 2011",0.2166
"Sept. 30, 2011",0.2205
"June 30, 2011",0.2258
"March 31, 2011",0.2315
"Dec. 31, 2010",0.2355
"Sept. 30, 2010",0.2466
"June 30, 2010",0.2565
"March 31, 2010",0.2596
"Dec. 31, 2009",0.2562
"Sept. 30, 2009",0.2521
"June 30, 2009",0.2506
"March 31, 2009",0.2514
"Dec. 31, 2008",0.2529
"Sept. 30, 2008",0.2532
"June 30, 2008",0.2472
"March 31, 2008",0.2473
"Dec. 31, 2007",0.2491
"Sept. 30, 2007",0.2504
"June 30, 2007",0.2452
"March 31, 2007",0.2562
"Dec. 31, 2006",0.2751
"Sept. 30, 2006",0.2833
"June 30, 2006",0.2888
"March 31, 2006",0.2778
"Dec. 31, 2005",0.258
"Sept. 30, 2005",0.2546
"June 30, 2005",0.258
"March 31, 2005",0.2634
"Dec. 31, 2004",0.2635
"Sept. 30, 2004",0.2653
"June 30, 2004",0.2644
"March 31, 2004",0.2603
"Dec. 31, 2003",0.2637
"Sept. 30, 2003",0.2738
"June 30, 2003",0.2727
"March 31, 2003",0.3927
"Dec. 31, 2002",0.5091
"Sept. 30, 2002",0.4999
"June 30, 2002",0.5227
"March 31, 2002",0.7584
"Dec. 31, 2001",0.6403
"Sept. 30, 2001",1.176
"June 30, 2001",1.215
"March 31, 2001",0.9181
"Dec. 31, 2000",0.9659
"Sept. 30, 2000",0.6048
"June 30, 2000",0.5751
"March 31, 2000",0.5621
"Dec. 31, 1999",0.5657
"Sept. 30, 1999",0.2752
"June 30, 1999",0.3052
"March 31, 1999",0.3087
"Dec. 31, 1998",0.3063
"Sept. 30, 1998",0.2584
"June 30, 1998",0.2565
"March 31, 1998",0.2594
"Dec. 31, 1997",0.2577
"Sept. 30, 1997",0.2947
"June 30, 1997",0.2679
"March 31, 1997",0.2583
"Dec. 31, 1996",0.2558
"Sept. 30, 1996",0.2546
"June 30, 1996",0.256
"March 31, 1996",0.253
"Dec. 31, 1995",0.2473
"Sept. 30, 1995",0.249
"June 30, 1995",0.2521
"March 31, 1995",0.2534
"Dec. 31, 1994",0.2531
"Sept. 30, 1994",0.255
