date,net_income_annual_cs_rev
"Dec. 31, 2019",17.29%
"Dec. 31, 2018",16.55%
"Dec. 31, 2017",15.74%
"Dec. 31, 2016",15.71%
"Dec. 31, 2015",15.33%
"Dec. 31, 2014",15.09%
"Dec. 31, 2013",14.64%
"Dec. 31, 2012",16.01%
"Dec. 31, 2011",16.56%
"Dec. 31, 2010",13.78%
"Dec. 31, 2009",11.85%
"Dec. 31, 2008",10.25%
"Dec. 31, 2007",9.36%
"Dec. 31, 2006",11.60%
"Dec. 31, 2005",7.55%
"Dec. 31, 2004",8.82%
"Dec. 31, 2003",5.66%
"Dec. 31, 2002",6.64%
"Dec. 31, 2001",9.82%
"Dec. 31, 2000",4.67%
"Dec. 31, 1999",6.35%
"Dec. 31, 1998",11.79%
"Dec. 31, 1997",14.39%
"Dec. 31, 1996",14.38%
"Dec. 31, 1995",15.93%
"Dec. 31, 1994",13.78%
"Dec. 31, 1993",15.64%
"Dec. 31, 1992",12.05%
"Dec. 31, 1991",11.98%
"Dec. 31, 1990",14.88%
"Dec. 31, 1989",17.07%
"Dec. 31, 1988",11.91%
"Dec. 31, 1987",12.21%
"Dec. 31, 1986",19.17%
"Dec. 31, 1985",18.79%
"Dec. 31, 1984",23.38%
