date,free_cash_flow
"Dec. 31, 2019",-0.224M
"Sept. 30, 2019",51.93M
"June 30, 2019",40.54M
"March 31, 2019",-4.331M
"Dec. 31, 2018",45.80M
"Sept. 30, 2018",105.14M
"June 30, 2018",38.11M
"March 31, 2018",24.71M
"Dec. 31, 2017",11.05M
"Sept. 30, 2017",95.97M
"June 30, 2017",2.863M
"March 31, 2017",39.79M
"Dec. 31, 2016",-28.21M
"Sept. 30, 2016",54.72M
"June 30, 2016",9.212M
"March 31, 2016",11.52M
"Dec. 31, 2015",4.243M
"Sept. 30, 2015",36.93M
"June 30, 2015",-9.012M
"March 31, 2015",27.01M
"Dec. 31, 2014",-24.65M
"Sept. 30, 2014",79.92M
"June 30, 2014",-2.765M
"March 31, 2014",37.75M
"Dec. 31, 2013",-23.22M
"Sept. 30, 2013",76.95M
"June 30, 2013",3.147M
"March 31, 2013",2.003M
"Dec. 31, 2012",15.75M
"Sept. 30, 2012",33.78M
"June 30, 2012",-29.32M
"March 31, 2012",-10.73M
"Dec. 31, 2011",4.554M
"Sept. 30, 2011",-2.932M
"June 30, 2011",-20.49M
"March 31, 2011",-8.661M
"Dec. 31, 2010",-5.944M
"Sept. 30, 2010",-47.44M
"June 30, 2010",-10.89M
"March 31, 2010",31.42M
"Dec. 31, 2009",-34.45M
"Sept. 30, 2009",56.57M
"June 30, 2009",15.60M
"March 31, 2009",-5.239M
"Dec. 31, 2008",-45.96M
"Sept. 30, 2008",10.80M
"June 30, 2008",-39.93M
"March 31, 2008",-31.95M
"Dec. 31, 2007",-51.28M
"Sept. 30, 2007",-75.15M
"June 30, 2007",-52.14M
"March 31, 2007",-28.58M
"Dec. 31, 2006",-56.93M
"Sept. 30, 2006",-42.39M
"June 30, 2006",26.75M
"March 31, 2006",17.30M
"Dec. 31, 2005",-20.03M
"Sept. 30, 2005",12.65M
"June 30, 2005",-27.31M
"March 31, 2005",2.872M
"Dec. 31, 2004",-21.94M
"Sept. 30, 2004",16.73M
"June 30, 2004",-19.75M
"March 31, 2004",19.89M
"Dec. 31, 2003",3.59M
"Sept. 30, 2003",79.61M
"June 30, 2003",9.463M
"March 31, 2003",70.54M
"Dec. 31, 2002",60.19M
"Sept. 30, 2002",85.00M
"June 30, 2002",-13.00M
"March 31, 2002",82.00M
"Dec. 31, 2001",-21.00M
"Sept. 30, 2001",-57.00M
"June 30, 2001",69.00M
"March 31, 2001",-179.00M
"Dec. 31, 2000",-20.75M
"Sept. 30, 2000",-29.06M
"June 30, 2000",21.71M
"March 31, 2000",22.10M
"Dec. 31, 1999",24.36M
"Sept. 30, 1999",61.71M
"June 30, 1999",8.445M
"March 31, 1999",25.48M
"Dec. 31, 1998",10.23M
"Sept. 30, 1998",25.90M
"June 30, 1998",23.05M
"March 31, 1998",21.52M
"Dec. 31, 1997",15.71M
"Sept. 30, 1997",28.12M
"June 30, 1997",-1.783M
"March 31, 1997",34.05M
"Dec. 31, 1996",3.671M
"Sept. 30, 1996",23.78M
"June 30, 1996",12.83M
"March 31, 1996",40.49M
"Dec. 31, 1995",19.35M
"Sept. 30, 1995",30.02M
"June 30, 1995",7.179M
"March 31, 1995",27.92M
"Dec. 31, 1994",0.069M
"Sept. 30, 1994",7.462M
"June 30, 1994",-6.168M
"March 31, 1994",13.77M
