date,three_year_return
"March 19, 2020",1.96%
"March 18, 2020",11.66%
"March 17, 2020",14.63%
"March 16, 2020",0.65%
"March 13, 2020",11.54%
"March 12, 2020",3.92%
"March 11, 2020",19.36%
"March 10, 2020",25.84%
"March 9, 2020",25.56%
"March 6, 2020",30.66%
"March 5, 2020",27.62%
"March 4, 2020",28.47%
"March 3, 2020",21.55%
"March 2, 2020",22.93%
"Feb. 28, 2020",16.53%
"Feb. 27, 2020",24.45%
"Feb. 26, 2020",29.95%
"Feb. 25, 2020",31.65%
"Feb. 24, 2020",34.53%
"Feb. 21, 2020",38.36%
"Feb. 20, 2020",39.68%
"Feb. 19, 2020",39.89%
"Feb. 18, 2020",41.44%
"Feb. 14, 2020",40.68%
"Feb. 13, 2020",39.20%
"Feb. 12, 2020",37.28%
"Feb. 11, 2020",37.58%
"Feb. 10, 2020",37.82%
"Feb. 7, 2020",38.64%
"Feb. 6, 2020",39.70%
"Feb. 5, 2020",39.39%
"Feb. 4, 2020",39.05%
"Feb. 3, 2020",41.79%
"Jan. 31, 2020",40.20%
"Jan. 30, 2020",43.19%
"Jan. 29, 2020",41.49%
"Jan. 28, 2020",40.99%
"Jan. 27, 2020",41.11%
"Jan. 24, 2020",41.23%
"Jan. 23, 2020",40.84%
"Jan. 22, 2020",39.50%
"Jan. 21, 2020",39.05%
"Jan. 17, 2020",37.64%
"Jan. 16, 2020",37.53%
"Jan. 15, 2020",36.98%
"Jan. 14, 2020",35.48%
"Jan. 13, 2020",35.52%
"Jan. 10, 2020",35.03%
"Jan. 9, 2020",35.19%
"Jan. 8, 2020",31.15%
"Jan. 7, 2020",31.72%
"Jan. 6, 2020",32.27%
"Jan. 3, 2020",31.89%
"Jan. 2, 2020",31.05%
"Dec. 31, 2019",32.59%
"Dec. 30, 2019",32.60%
"Dec. 27, 2019",31.35%
"Dec. 26, 2019",31.01%
"Dec. 24, 2019",30.78%
"Dec. 23, 2019",30.87%
"Dec. 20, 2019",32.89%
"Dec. 19, 2019",32.63%
"Dec. 18, 2019",34.15%
"Dec. 17, 2019",33.10%
"Dec. 16, 2019",32.84%
"Dec. 13, 2019",29.87%
"Dec. 12, 2019",31.05%
"Dec. 11, 2019",32.34%
"Dec. 10, 2019",31.69%
"Dec. 9, 2019",30.72%
"Dec. 6, 2019",36.21%
"Dec. 5, 2019",36.63%
"Dec. 4, 2019",36.33%
"Dec. 3, 2019",35.83%
"Dec. 2, 2019",35.62%
"Nov. 29, 2019",32.92%
"Nov. 27, 2019",36.12%
"Nov. 26, 2019",34.95%
"Nov. 25, 2019",34.18%
"Nov. 22, 2019",36.46%
"Nov. 21, 2019",37.45%
"Nov. 20, 2019",40.22%
"Nov. 19, 2019",37.58%
"Nov. 18, 2019",37.09%
"Nov. 15, 2019",38.33%
"Nov. 14, 2019",38.89%
"Nov. 13, 2019",36.33%
"Nov. 12, 2019",33.78%
"Nov. 11, 2019",33.44%
"Nov. 8, 2019",32.11%
"Nov. 7, 2019",33.46%
"Nov. 6, 2019",39.64%
"Nov. 5, 2019",39.83%
"Nov. 4, 2019",41.12%
"Nov. 1, 2019",41.09%
"Oct. 31, 2019",37.29%
"Oct. 30, 2019",42.05%
"Oct. 29, 2019",40.52%
"Oct. 28, 2019",39.30%
"Oct. 25, 2019",42.47%
"Oct. 24, 2019",44.30%
"Oct. 23, 2019",45.06%
"Oct. 22, 2019",44.95%
"Oct. 21, 2019",45.30%
"Oct. 18, 2019",44.60%
"Oct. 17, 2019",44.86%
"Oct. 16, 2019",44.75%
"Oct. 15, 2019",45.10%
"Oct. 14, 2019",46.57%
"Oct. 11, 2019",51.11%
"Oct. 10, 2019",49.09%
"Oct. 9, 2019",51.03%
"Oct. 8, 2019",50.73%
"Oct. 7, 2019",52.64%
"Oct. 4, 2019",51.99%
"Oct. 3, 2019",44.63%
"Oct. 2, 2019",41.73%
"Oct. 1, 2019",43.51%
"Sept. 30, 2019",43.93%
"Sept. 27, 2019",40.73%
"Sept. 26, 2019",40.04%
"Sept. 25, 2019",39.07%
"Sept. 24, 2019",37.82%
"Sept. 23, 2019",36.28%
"Sept. 20, 2019",41.77%
"Sept. 19, 2019",40.80%
"Sept. 18, 2019",42.24%
"Sept. 17, 2019",41.20%
"Sept. 16, 2019",39.37%
"Sept. 13, 2019",44.32%
"Sept. 12, 2019",43.17%
"Sept. 11, 2019",43.53%
"Sept. 10, 2019",42.11%
"Sept. 9, 2019",43.34%
"Sept. 6, 2019",40.68%
"Sept. 5, 2019",42.29%
"Sept. 4, 2019",43.90%
"Sept. 3, 2019",44.08%
"Aug. 30, 2019",44.83%
"Aug. 29, 2019",43.88%
"Aug. 28, 2019",44.90%
"Aug. 27, 2019",44.70%
"Aug. 26, 2019",44.38%
"Aug. 23, 2019",40.17%
"Aug. 22, 2019",40.21%
"Aug. 21, 2019",41.30%
"Aug. 20, 2019",40.39%
"Aug. 19, 2019",41.00%
"Aug. 16, 2019",41.90%
"Aug. 15, 2019",37.46%
"Aug. 14, 2019",33.69%
"Aug. 13, 2019",33.95%
"Aug. 12, 2019",32.54%
"Aug. 9, 2019",32.64%
"Aug. 8, 2019",34.53%
"Aug. 7, 2019",31.79%
"Aug. 6, 2019",31.41%
"Aug. 5, 2019",29.95%
"Aug. 2, 2019",27.42%
"Aug. 1, 2019",27.07%
"July 31, 2019",26.23%
"July 30, 2019",26.43%
"July 29, 2019",26.95%
"July 26, 2019",26.48%
"July 25, 2019",24.73%
"July 24, 2019",25.19%
"July 23, 2019",25.74%
"July 22, 2019",25.80%
"July 19, 2019",27.50%
"July 18, 2019",30.31%
"July 17, 2019",29.41%
"July 16, 2019",29.74%
"July 15, 2019",28.64%
"July 12, 2019",28.19%
"July 11, 2019",28.40%
"July 10, 2019",28.00%
"July 9, 2019",28.42%
"July 8, 2019",28.16%
"July 5, 2019",27.06%
"July 3, 2019",27.20%
"July 2, 2019",25.70%
"July 1, 2019",23.93%
"June 28, 2019",28.54%
"June 27, 2019",30.96%
"June 26, 2019",33.98%
"June 25, 2019",37.90%
"June 24, 2019",37.76%
"June 21, 2019",40.34%
"June 20, 2019",39.48%
"June 19, 2019",38.03%
"June 18, 2019",37.12%
"June 17, 2019",36.43%
"June 14, 2019",37.21%
"June 13, 2019",37.46%
"June 12, 2019",37.80%
"June 11, 2019",37.17%
"June 10, 2019",38.27%
"June 7, 2019",41.15%
"June 6, 2019",40.83%
"June 5, 2019",39.16%
"June 4, 2019",36.84%
"June 3, 2019",36.59%
"May 31, 2019",36.96%
"May 30, 2019",36.08%
"May 29, 2019",37.99%
"May 28, 2019",40.09%
"May 24, 2019",44.49%
"May 23, 2019",47.56%
"May 22, 2019",45.95%
"May 21, 2019",44.79%
"May 20, 2019",45.04%
"May 17, 2019",43.89%
"May 16, 2019",39.06%
"May 15, 2019",39.87%
"May 14, 2019",39.53%
"May 13, 2019",40.06%
"May 10, 2019",37.44%
"May 9, 2019",35.92%
"May 8, 2019",36.19%
"May 7, 2019",37.08%
"May 6, 2019",37.48%
"May 3, 2019",37.97%
"May 2, 2019",34.00%
