date,cash_financing_ttm
"Dec. 31, 2019",-136.37M
"Sept. 30, 2019",-133.10M
"June 30, 2019",-129.82M
"March 31, 2019",-262.61M
"Dec. 31, 2018",-42.61M
"Sept. 30, 2018",-43.34M
"June 30, 2018",-39.32M
"March 31, 2018",98.14M
"Dec. 31, 2017",-139.55M
"Sept. 30, 2017",-118.77M
"June 30, 2017",-137.17M
"March 31, 2017",-249.62M
"Dec. 31, 2016",-103.58M
"Sept. 30, 2016",-101.92M
"June 30, 2016",-105.01M
"March 31, 2016",-143.15M
"Dec. 31, 2015",-3.494M
"Sept. 30, 2015",-16.40M
"June 30, 2015",3.965M
"March 31, 2015",149.85M
"Dec. 31, 2014",-113.28M
"Sept. 30, 2014",-180.34M
"June 30, 2014",-180.71M
"March 31, 2014",-41.51M
"Dec. 31, 2013",-17.32M
"Sept. 30, 2013",69.72M
"June 30, 2013",67.08M
"March 31, 2013",-6.464M
"Dec. 31, 2012",-6.734M
"Sept. 30, 2012",-10.60M
"June 30, 2012",-8.188M
"March 31, 2012",-58.42M
"Dec. 31, 2011",-178.75M
"Sept. 30, 2011",-113.66M
"June 30, 2011",116.29M
"March 31, 2011",111.90M
"Dec. 31, 2010",198.62M
"Sept. 30, 2010",197.49M
"June 30, 2010",-52.67M
"March 31, 2010",-115.64M
"Dec. 31, 2009",2.139M
"Sept. 30, 2009",-87.69M
"June 30, 2009",-3.351M
"March 31, 2009",100.10M
"Dec. 31, 2008",67.17M
"Sept. 30, 2008",146.06M
"June 30, 2008",173.97M
"March 31, 2008",214.75M
"Dec. 31, 2007",184.58M
"Sept. 30, 2007",246.85M
"June 30, 2007",158.34M
"March 31, 2007",66.78M
"Dec. 31, 2006",40.80M
"Sept. 30, 2006",-80.50M
"June 30, 2006",-71.05M
"March 31, 2006",-57.96M
"Dec. 31, 2005",-43.59M
"Sept. 30, 2005",-31.34M
"June 30, 2005",27.55M
"March 31, 2005",1.405M
"Dec. 31, 2004",-16.81M
"Sept. 30, 2004",27.66M
"June 30, 2004",-93.27M
"March 31, 2004",-80.45M
"Dec. 31, 2003",-128.50M
"Sept. 30, 2003",-253.42M
"June 30, 2003",-239.83M
"March 31, 2003",-204.47M
"Dec. 31, 2002",-185.04M
"Sept. 30, 2002",-80.00M
"June 30, 2002",76.00M
"March 31, 2002",-13.00M
"Dec. 31, 2001",139.00M
"Sept. 30, 2001",230.27M
"June 30, 2001",148.47M
"March 31, 2001",225.06M
"Dec. 31, 2000",14.00M
"Sept. 30, 2000",-30.50M
"June 30, 2000",-90.60M
"March 31, 2000",-74.50M
"Dec. 31, 1999",-1.00M
"Sept. 30, 1999",-74.74M
"June 30, 1999",-36.72M
"March 31, 1999",-57.05M
"Dec. 31, 1998",-48.81M
"Sept. 30, 1998",-63.00M
"June 30, 1998",-70.31M
"March 31, 1998",-58.31M
"Dec. 31, 1997",-58.80M
"Sept. 30, 1997",-40.14M
"June 30, 1997",-46.23M
"March 31, 1997",-56.00M
"Dec. 31, 1996",-61.98M
"Sept. 30, 1996",-81.00M
"June 30, 1996",-87.88M
"March 31, 1996",-82.14M
"Dec. 31, 1995",-81.31M
"Sept. 30, 1995",-59.94M
"June 30, 1995",-36.99M
"March 31, 1995",-26.95M
"Dec. 31, 1994",-13.39M
