date,quality_ratio
"Dec. 31, 2019",0.0844
"Sept. 30, 2019",0.0842
"June 30, 2019",0.0852
"March 31, 2019",0.0871
"Dec. 31, 2018",0.0861
"Sept. 30, 2018",0.0876
"June 30, 2018",0.0888
"March 31, 2018",0.0895
"Dec. 31, 2017",0.0891
"Sept. 30, 2017",0.087
"June 30, 2017",0.0832
"March 31, 2017",0.0812
"Dec. 31, 2016",0.0804
"Sept. 30, 2016",0.0812
"June 30, 2016",0.0825
"March 31, 2016",0.084
"Dec. 31, 2015",0.0844
"Sept. 30, 2015",0.0817
"June 30, 2015",0.0828
"March 31, 2015",0.0816
"Dec. 31, 2014",0.0842
"Sept. 30, 2014",0.0855
"June 30, 2014",0.087
"March 31, 2014",0.0907
"Dec. 31, 2013",0.0928
"Sept. 30, 2013",0.093
"June 30, 2013",0.0938
"March 31, 2013",0.0883
"Dec. 31, 2012",0.0854
"Sept. 30, 2012",0.0256
"June 30, 2012",0.035
"March 31, 2012",0.0465
"Dec. 31, 2011",0.0623
"Sept. 30, 2011",0.0902
"June 30, 2011",0.0912
"March 31, 2011",0.0906
"Dec. 31, 2010",0.0881
"Sept. 30, 2010",0.1573
"June 30, 2010",0.1583
"March 31, 2010",0.1623
"Dec. 31, 2009",0.1626
"Sept. 30, 2009",0.1548
"June 30, 2009",0.1575
"March 31, 2009",0.1575
"Dec. 31, 2008",0.1633
"Sept. 30, 2008",0.1631
"June 30, 2008",0.1571
"March 31, 2008",0.1605
"Dec. 31, 2007",0.1634
"Sept. 30, 2007",0.1578
"June 30, 2007",0.144
"March 31, 2007",
"Dec. 31, 2006",
"Sept. 30, 2006",
"June 30, 2006",
"March 31, 2006",0.1584
"Dec. 31, 2005",0.1565
"Sept. 30, 2005",0.16
"June 30, 2005",0.1626
"March 31, 2005",0.1638
"Dec. 31, 2004",0.1649
"Sept. 30, 2004",0.1438
"June 30, 2004",0.1439
"March 31, 2004",0.1492
"Dec. 31, 2003",0.1607
"Sept. 30, 2003",0.1401
"June 30, 2003",0.1504
"March 31, 2003",0.2614
"Dec. 31, 2002",0.3762
"Sept. 30, 2002",0.4606
"June 30, 2002",0.4362
"March 31, 2002",0.6674
"Dec. 31, 2001",0.5435
"Sept. 30, 2001",1.023
"June 30, 2001",1.092
"March 31, 2001",0.7926
"Dec. 31, 2000",0.8459
"Sept. 30, 2000",0.4964
"June 30, 2000",0.4814
"March 31, 2000",0.4871
"Dec. 31, 1999",0.4899
"Sept. 30, 1999",0.1907
"June 30, 1999",0.1985
"March 31, 1999",0.2018
"Dec. 31, 1998",0.1973
"Sept. 30, 1998",0.1926
"June 30, 1998",0.1926
"March 31, 1998",0.1913
"Dec. 31, 1997",0.1933
"Sept. 30, 1997",0.1937
"June 30, 1997",0.1921
"March 31, 1997",0.1925
"Dec. 31, 1996",0.1972
"Sept. 30, 1996",0.2011
"June 30, 1996",0.2069
"March 31, 1996",0.2061
"Dec. 31, 1995",0.1978
"Sept. 30, 1995",0.198
"June 30, 1995",0.193
"March 31, 1995",0.1854
"Dec. 31, 1994",0.1809
