date,assets
"Dec. 31, 2019",6.641B
"Sept. 30, 2019",6.502B
"June 30, 2019",6.461B
"March 31, 2019",6.388B
"Dec. 31, 2018",6.383B
"Sept. 30, 2018",6.289B
"June 30, 2018",6.206B
"March 31, 2018",6.262B
"Dec. 31, 2017",6.045B
"Sept. 30, 2017",6.367B
"June 30, 2017",6.277B
"March 31, 2017",6.230B
"Dec. 31, 2016",6.290B
"Sept. 30, 2016",6.129B
"June 30, 2016",6.081B
"March 31, 2016",6.130B
"Dec. 31, 2015",6.023B
"Sept. 30, 2015",5.938B
"June 30, 2015",5.897B
"March 31, 2015",5.972B
"Dec. 31, 2014",5.701B
"Sept. 30, 2014",5.498B
"June 30, 2014",5.390B
"March 31, 2014",5.361B
"Dec. 31, 2013",5.365B
"Sept. 30, 2013",5.591B
"June 30, 2013",5.489B
"March 31, 2013",5.316B
"Dec. 31, 2012",5.291B
"Sept. 30, 2012",5.208B
"June 30, 2012",5.103B
"March 31, 2012",4.991B
"Dec. 31, 2011",4.961B
"Sept. 30, 2011",4.827B
"June 30, 2011",4.642B
"March 31, 2011",4.590B
"Dec. 31, 2010",4.676B
"Sept. 30, 2010",4.574B
"June 30, 2010",4.281B
"March 31, 2010",4.222B
"Dec. 31, 2009",4.239B
"Sept. 30, 2009",4.117B
"June 30, 2009",4.043B
"March 31, 2009",4.070B
"Dec. 31, 2008",4.023B
"Sept. 30, 2008",3.851B
"June 30, 2008",3.749B
"March 31, 2008",3.709B
"Dec. 31, 2007",3.653B
"Sept. 30, 2007",3.613B
"June 30, 2007",3.532B
"March 31, 2007",3.407B
"Dec. 31, 2006",3.445B
"Sept. 30, 2006",3.311B
"June 30, 2006",3.350B
"March 31, 2006",3.363B
"Dec. 31, 2005",3.364B
"Sept. 30, 2005",3.301B
"June 30, 2005",3.263B
"March 31, 2005",3.265B
"Dec. 31, 2004",3.234B
"Sept. 30, 2004",3.126B
"June 30, 2004",3.107B
"March 31, 2004",3.135B
"Dec. 31, 2003",3.106B
"Sept. 30, 2003",2.948B
"June 30, 2003",3.037B
"March 31, 2003",3.126B
"Dec. 31, 2002",3.387B
"Sept. 30, 2002",3.411B
"June 30, 2002",3.379B
"March 31, 2002",3.399B
"Dec. 31, 2001",3.639B
"Sept. 30, 2001",3.949B
"June 30, 2001",3.934B
"March 31, 2001",4.001B
"Dec. 31, 2000",4.04B
"Sept. 30, 2000",3.172B
"June 30, 2000",3.011B
"March 31, 2000",2.640B
"Dec. 31, 1999",2.64B
"Sept. 30, 1999",2.556B
"June 30, 1999",2.553B
"March 31, 1999",2.466B
"Dec. 31, 1998",2.452B
"Sept. 30, 1998",2.500B
"June 30, 1998",2.439B
"March 31, 1998",2.447B
"Dec. 31, 1997",2.452B
"Sept. 30, 1997",2.359B
"June 30, 1997",2.334B
"March 31, 1997",2.301B
"Dec. 31, 1996",2.295B
"Sept. 30, 1996",2.270B
"June 30, 1996",2.254B
"March 31, 1996",2.247B
"Dec. 31, 1995",2.242B
"Sept. 30, 1995",2.222B
"June 30, 1995",2.191B
"March 31, 1995",2.186B
"Dec. 31, 1994",2.192B
"Sept. 30, 1994",2.166B
"June 30, 1994",2.132B
"March 31, 1994",2.102B
