date,accruals
"Dec. 31, 2019",-32.47M
"Sept. 30, 2019",-31.07M
"June 30, 2019",-55.92M
"March 31, 2019",-14.31M
"Dec. 31, 2018",-99.54M
"Sept. 30, 2018",-67.29M
"June 30, 2018",-42.40M
"March 31, 2018",-55.60M
"Dec. 31, 2017",-50.34M
"Sept. 30, 2017",-66.34M
"June 30, 2017",-25.47M
"March 31, 2017",-80.59M
"Dec. 31, 2016",-35.56M
"Sept. 30, 2016",-54.43M
"June 30, 2016",-15.47M
"March 31, 2016",-40.45M
"Dec. 31, 2015",-30.54M
"Sept. 30, 2015",-46.51M
"June 30, 2015",0.55M
"March 31, 2015",-82.02M
"Dec. 31, 2014",-13.87M
"Sept. 30, 2014",-65.63M
"June 30, 2014",-21.83M
"March 31, 2014",-69.53M
"Dec. 31, 2013",-30.30M
"Sept. 30, 2013",-60.32M
"June 30, 2013",-13.73M
"March 31, 2013",-18.78M
"Dec. 31, 2012",-47.07M
"Sept. 30, 2012",-6.376M
"June 30, 2012",-10.09M
"March 31, 2012",-12.72M
"Dec. 31, 2011",-63.06M
"Sept. 30, 2011",29.05M
"June 30, 2011",-42.77M
"March 31, 2011",-63.48M
"Dec. 31, 2010",-62.48M
"Sept. 30, 2010",31.82M
"June 30, 2010",-47.56M
"March 31, 2010",-84.39M
"Dec. 31, 2009",-38.39M
"Sept. 30, 2009",-57.42M
"June 30, 2009",-38.80M
"March 31, 2009",-25.47M
"Dec. 31, 2008",-13.66M
"Sept. 30, 2008",-10.17M
"June 30, 2008",-15.07M
"March 31, 2008",0.799M
"Dec. 31, 2007",-23.11M
"Sept. 30, 2007",23.19M
"June 30, 2007",-1.977M
"March 31, 2007",3.626M
"Dec. 31, 2006",18.15M
"Sept. 30, 2006",20.66M
"June 30, 2006",-54.76M
"March 31, 2006",-40.79M
"Dec. 31, 2005",-32.79M
"Sept. 30, 2005",-31.57M
"June 30, 2005",-6.665M
"March 31, 2005",-20.53M
"Dec. 31, 2004",-31.72M
"Sept. 30, 2004",-34.29M
"June 30, 2004",-19.15M
"March 31, 2004",-38.26M
"Dec. 31, 2003",-51.91M
"Sept. 30, 2003",-72.80M
"June 30, 2003",-42.97M
"March 31, 2003",-97.71M
"Dec. 31, 2002",-108.74M
"Sept. 30, 2002",-81.00M
"June 30, 2002",-13.00M
"March 31, 2002",-84.00M
"Dec. 31, 2001",-0.786M
"Sept. 30, 2001",54.00M
"June 30, 2001",-82.00M
"March 31, 2001",162.00M
"Dec. 31, 2000",-6.472M
"Sept. 30, 2000",35.52M
"June 30, 2000",-18.20M
"March 31, 2000",-4.851M
"Dec. 31, 1999",-44.01M
"Sept. 30, 1999",-61.29M
"June 30, 1999",-17.08M
"March 31, 1999",-17.62M
"Dec. 31, 1998",-20.81M
"Sept. 30, 1998",-20.07M
"June 30, 1998",-25.03M
"March 31, 1998",-14.80M
"Dec. 31, 1997",-25.95M
"Sept. 30, 1997",-29.71M
"June 30, 1997",-0.714M
"March 31, 1997",-28.25M
"Dec. 31, 1996",-27.96M
"Sept. 30, 1996",-23.16M
"June 30, 1996",-13.32M
"March 31, 1996",-26.81M
"Dec. 31, 1995",-18.78M
"Sept. 30, 1995",-24.79M
"June 30, 1995",-13.50M
"March 31, 1995",-24.44M
"Dec. 31, 1994",-5.554M
"Sept. 30, 1994",-18.80M
"June 30, 1994",-4.35M
"March 31, 1994",-22.02M
