date,cash_on_hand
"Dec. 31, 2019",217.25M
"Sept. 30, 2019",260.57M
"June 30, 2019",239.66M
"March 31, 2019",231.34M
"Dec. 31, 2018",267.49M
"Sept. 30, 2018",261.25M
"June 30, 2018",183.14M
"March 31, 2018",307.28M
"Dec. 31, 2017",76.65M
"Sept. 30, 2017",104.41M
"June 30, 2017",32.63M
"March 31, 2017",47.01M
"Dec. 31, 2016",61.48M
"Sept. 30, 2016",100.80M
"June 30, 2016",90.56M
"March 31, 2016",219.68M
"Dec. 31, 2015",114.80M
"Sept. 30, 2015",121.26M
"June 30, 2015",130.98M
"March 31, 2015",317.24M
"Dec. 31, 2014",56.81M
"Sept. 30, 2014",111.04M
"June 30, 2014",50.62M
"March 31, 2014",88.26M
"Dec. 31, 2013",78.16M
"Sept. 30, 2013",186.87M
"June 30, 2013",136.16M
"March 31, 2013",24.46M
"Dec. 31, 2012",26.53M
"Sept. 30, 2012",20.23M
"June 30, 2012",14.37M
"March 31, 2012",8.857M
"Dec. 31, 2011",27.81M
"Sept. 30, 2011",31.31M
"June 30, 2011",58.32M
"March 31, 2011",93.94M
"Dec. 31, 2010",228.68M
"Sept. 30, 2010",185.31M
"June 30, 2010",29.49M
"March 31, 2010",41.44M
"Dec. 31, 2009",52.99M
"Sept. 30, 2009",28.87M
"June 30, 2009",16.00M
"March 31, 2009",89.11M
"Dec. 31, 2008",8.828M
"Sept. 30, 2008",57.73M
"June 30, 2008",8.924M
"March 31, 2008",7.404M
"Dec. 31, 2007",7.966M
"Sept. 30, 2007",16.65M
"June 30, 2007",12.46M
"March 31, 2007",3.561M
"Dec. 31, 2006",9.892M
"Sept. 30, 2006",8.366M
"June 30, 2006",53.87M
"March 31, 2006",60.89M
"Dec. 31, 2005",52.36M
"Sept. 30, 2005",13.31M
"June 30, 2005",11.91M
"March 31, 2005",61.38M
"Dec. 31, 2004",23.40M
"Sept. 30, 2004",20.95M
"June 30, 2004",17.23M
"March 31, 2004",79.64M
"Dec. 31, 2003",75.16M
"Sept. 30, 2003",26.19M
"June 30, 2003",20.12M
"March 31, 2003",41.53M
"Dec. 31, 2002",42.74M
"Sept. 30, 2002",70.00M
"June 30, 2002",47.00M
"March 31, 2002",59.00M
"Dec. 31, 2001",67.00M
"Sept. 30, 2001",62.42M
"June 30, 2001",25.54M
"March 31, 2001",30.26M
"Dec. 31, 2000",107.00M
"Sept. 30, 2000",18.49M
"June 30, 2000",43.67M
"March 31, 2000",39.69M
"Dec. 31, 1999",111.00M
"Sept. 30, 1999",17.21M
"June 30, 1999",14.67M
"March 31, 1999",12.87M
"Dec. 31, 1998",22.87M
"Sept. 30, 1998",4.916M
"June 30, 1998",2.43M
"March 31, 1998",3.338M
"Dec. 31, 1997",6.905M
"Sept. 30, 1997",10.26M
"June 30, 1997",7.773M
"March 31, 1997",8.827M
"Dec. 31, 1996",7.928M
"Sept. 30, 1996",6.931M
"June 30, 1996",7.491M
"March 31, 1996",5.691M
"Dec. 31, 1995",8.468M
"Sept. 30, 1995",7.645M
"June 30, 1995",8.077M
"March 31, 1995",7.278M
"Dec. 31, 1994",7.748M
"Sept. 30, 1994",5.389M
"June 30, 1994",5.659M
"March 31, 1994",4.804M
