date,sales_est_0q
"March 17, 2020",272.50M
"Feb. 21, 2020",272.50M
"Dec. 31, 2019",291.26M
"Nov. 4, 2019",271.45M
"Nov. 1, 2019",265.82M
"Oct. 17, 2019",260.45M
"Oct. 2, 2019",311.84M
"Sept. 30, 2019",396.28M
"Aug. 2, 2019",396.28M
"July 18, 2019",396.04M
"June 30, 2019",327.38M
"May 3, 2019",327.38M
"April 8, 2019",327.38M
"April 3, 2019",329.54M
"March 31, 2019",298.14M
"March 29, 2019",300.30M
"Nov. 2, 2018",295.43M
"Aug. 6, 2018",405.79M
"July 20, 2018",405.62M
"June 30, 2018",328.74M
"April 20, 2018",328.74M
"March 31, 2018",302.93M
"Feb. 27, 2018",295.57M
"Jan. 19, 2018",305.68M
"Jan. 9, 2018",305.68M
