date,revenues_ttm
"Dec. 31, 2019",1.346B
"Sept. 30, 2019",1.365B
"June 30, 2019",1.388B
"March 31, 2019",1.411B
"Dec. 31, 2018",1.371B
"Sept. 30, 2018",1.364B
"June 30, 2018",1.364B
"March 31, 2018",1.357B
"Dec. 31, 2017",1.349B
"Sept. 30, 2017",1.337B
"June 30, 2017",1.301B
"March 31, 2017",1.284B
"Dec. 31, 2016",1.262B
"Sept. 30, 2016",1.254B
"June 30, 2016",1.251B
"March 31, 2016",1.272B
"Dec. 31, 2015",1.270B
"Sept. 30, 2015",1.275B
"June 30, 2015",1.288B
"March 31, 2015",1.269B
"Dec. 31, 2014",1.283B
"Sept. 30, 2014",1.289B
"June 30, 2014",1.288B
"March 31, 2014",1.274B
"Dec. 31, 2013",1.246B
"Sept. 30, 2013",1.201B
"June 30, 2013",1.154B
"March 31, 2013",1.104B
"Dec. 31, 2012",1.081B
"Sept. 30, 2012",1.061B
"June 30, 2012",1.036B
"March 31, 2012",1.016B
"Dec. 31, 2011",1.027B
"Sept. 30, 2011",1.028B
"June 30, 2011",1.028B
"March 31, 2011",1.035B
"Dec. 31, 2010",1.036B
"Sept. 30, 2010",1.057B
"June 30, 2010",1.072B
"March 31, 2010",1.074B
"Dec. 31, 2009",1.050B
"Sept. 30, 2009",1.014B
"June 30, 2009",988.96M
"March 31, 2009",975.55M
"Dec. 31, 2008",960.41M
"Sept. 30, 2008",940.83M
"June 30, 2008",902.58M
"March 31, 2008",886.12M
"Dec. 31, 2007",879.39M
"Sept. 30, 2007",866.73M
"June 30, 2007",835.80M
"March 31, 2007",864.66M
"Dec. 31, 2006",926.29M
"Sept. 30, 2006",945.65M
"June 30, 2006",961.02M
"March 31, 2006",919.68M
"Dec. 31, 2005",847.52M
"Sept. 30, 2005",824.50M
"June 30, 2005",825.27M
"March 31, 2005",835.85M
"Dec. 31, 2004",827.86M
"Sept. 30, 2004",818.31M
"June 30, 2004",810.86M
"March 31, 2004",799.26M
"Dec. 31, 2003",823.00M
"Sept. 30, 2003",871.23M
"June 30, 2003",891.00M
"March 31, 2003",1.312B
"Dec. 31, 2002",1.753B
"Sept. 30, 2002",1.777B
"June 30, 2002",1.913B
"March 31, 2002",2.870B
"Dec. 31, 2001",2.505B
"Sept. 30, 2001",4.492B
"June 30, 2001",4.413B
"March 31, 2001",3.097B
"Dec. 31, 2000",2.995B
"Sept. 30, 2000",1.696B
"June 30, 2000",1.541B
"March 31, 2000",1.445B
"Dec. 31, 1999",1.433B
"Sept. 30, 1999",689.36M
"June 30, 1999",757.58M
"March 31, 1999",759.64M
"Dec. 31, 1998",752.84M
"Sept. 30, 1998",630.27M
"June 30, 1998",617.24M
"March 31, 1998",617.08M
"Dec. 31, 1997",605.18M
"Sept. 30, 1997",681.38M
"June 30, 1997",613.85M
"March 31, 1997",587.26M
"Dec. 31, 1996",578.44M
"Sept. 30, 1996",571.97M
"June 30, 1996",571.04M
"March 31, 1996",560.91M
"Dec. 31, 1995",545.62M
"Sept. 30, 1995",545.59M
"June 30, 1995",547.90M
"March 31, 1995",546.18M
"Dec. 31, 1994",543.66M
"Sept. 30, 1994",543.88M
"June 30, 1994",527.45M
"March 31, 1994",528.41M
"Dec. 31, 1993",540.40M
"Sept. 30, 1993",534.80M
"June 30, 1993",529.20M
"March 31, 1993",524.40M
"Dec. 31, 1992",498.10M
"Sept. 30, 1992",490.30M
"June 30, 1992",490.90M
"March 31, 1992",477.10M
"Dec. 31, 1991",483.20M
"Sept. 30, 1991",479.00M
"June 30, 1991",475.00M
"March 31, 1991",473.50M
"Dec. 31, 1990",464.90M
"Sept. 30, 1990",463.50M
"June 30, 1990",466.10M
"March 31, 1990",475.80M
"Dec. 31, 1989",496.20M
"Sept. 30, 1989",479.10M
"June 30, 1989",462.50M
"March 31, 1989",441.80M
"Dec. 31, 1988",412.30M
"Sept. 30, 1988",404.10M
"June 30, 1988",400.40M
"March 31, 1988",396.20M
"Dec. 31, 1987",394.60M
"Sept. 30, 1987",393.80M
"June 30, 1987",389.00M
"March 31, 1987",393.10M
"Dec. 31, 1986",408.90M
"Sept. 30, 1986",424.80M
"June 30, 1986",438.60M
"March 31, 1986",446.70M
"Dec. 31, 1985",451.20M
"Sept. 30, 1985",455.30M
"June 30, 1985",455.30M
"March 31, 1985",443.80M
"Dec. 31, 1984",427.80M
