date,cash_investing_ttm
"Dec. 31, 2019",-280.49M
"Sept. 30, 2019",-280.28M
"June 30, 2019",-274.93M
"March 31, 2019",-270.22M
"Dec. 31, 2018",-258.18M
"Sept. 30, 2018",-254.96M
"June 30, 2018",-252.76M
"March 31, 2018",-251.08M
"Dec. 31, 2017",-280.44M
"Sept. 30, 2017",-292.36M
"June 30, 2017",-316.06M
"March 31, 2017",-314.76M
"Dec. 31, 2016",-293.93M
"Sept. 30, 2016",-256.34M
"June 30, 2016",-255.52M
"March 31, 2016",-268.34M
"Dec. 31, 2015",-291.71M
"Sept. 30, 2015",-312.71M
"June 30, 2015",-295.62M
"March 31, 2015",-293.72M
"Dec. 31, 2014",-272.42M
"Sept. 30, 2014",-269.23M
"June 30, 2014",-259.48M
"March 31, 2014",-243.19M
"Dec. 31, 2013",-236.59M
"Sept. 30, 2013",-218.52M
"June 30, 2013",-225.74M
"March 31, 2013",-243.53M
"Dec. 31, 2012",-243.82M
"Sept. 30, 2012",-257.30M
"June 30, 2012",-272.14M
"March 31, 2012",-281.34M
"Dec. 31, 2011",-332.36M
"Sept. 30, 2011",-358.12M
"June 30, 2011",-362.54M
"March 31, 2011",-357.56M
"Dec. 31, 2010",-328.33M
"Sept. 30, 2010",-325.48M
"June 30, 2010",-294.86M
"March 31, 2010",-272.56M
"Dec. 31, 2009",-242.40M
"Sept. 30, 2009",-184.80M
"June 30, 2009",-183.22M
"March 31, 2009",-178.34M
"Dec. 31, 2008",-202.82M
"Sept. 30, 2008",-253.79M
"June 30, 2008",-270.14M
"March 31, 2008",-291.40M
"Dec. 31, 2007",-267.11M
"Sept. 30, 2007",-285.70M
"June 30, 2007",-264.47M
"March 31, 2007",-248.65M
"Dec. 31, 2006",-253.04M
"Sept. 30, 2006",-134.61M
"June 30, 2006",-129.00M
"March 31, 2006",-126.70M
"Dec. 31, 2005",-88.95M
"Sept. 30, 2005",-194.29M
"June 30, 2005",-203.51M
"March 31, 2005",-200.04M
"Dec. 31, 2004",-229.64M
"Sept. 30, 2004",-186.45M
"June 30, 2004",-174.92M
"March 31, 2004",-156.70M
"Dec. 31, 2003",-151.92M
"Sept. 30, 2003",-152.67M
"June 30, 2003",-147.75M
"March 31, 2003",-147.61M
"Dec. 31, 2002",-187.33M
"Sept. 30, 2002",-176.00M
"June 30, 2002",-180.00M
"March 31, 2002",-186.00M
"Dec. 31, 2001",-171.00M
"Sept. 30, 2001",-188.73M
"June 30, 2001",-195.15M
"March 31, 2001",-195.49M
"Dec. 31, 2000",-153.00M
"Sept. 30, 2000",-133.63M
"June 30, 2000",-123.08M
"March 31, 2000",-128.95M
"Dec. 31, 1999",-141.00M
"Sept. 30, 1999",-121.00M
"June 30, 1999",-118.14M
"March 31, 1999",-107.58M
"Dec. 31, 1998",-105.12M
"Sept. 30, 1998",-114.44M
"June 30, 1998",-115.61M
"March 31, 1998",-103.12M
"Dec. 31, 1997",-113.96M
"Sept. 30, 1997",-125.51M
"June 30, 1997",-113.92M
"March 31, 1997",-116.89M
"Dec. 31, 1996",-112.97M
"Sept. 30, 1996",-99.01M
"June 30, 1996",-98.26M
"March 31, 1996",-99.73M
"Dec. 31, 1995",-86.40M
"Sept. 30, 1995",-91.53M
"June 30, 1995",-100.84M
"March 31, 1995",-101.11M
"Dec. 31, 1994",-112.75M
