date,cash_dividend_payout_ratio
"Dec. 31, 2019",147.5%
"Sept. 30, 2019",95.27%
"June 30, 2019",67.09%
"March 31, 2019",66.86%
"Dec. 31, 2018",56.80%
"Sept. 30, 2018",66.68%
"June 30, 2018",69.07%
"March 31, 2018",85.63%
"Dec. 31, 2017",75.58%
"Sept. 30, 2017",100.6%
"June 30, 2017",157.6%
"March 31, 2017",141.7%
"Dec. 31, 2016",222.2%
"Sept. 30, 2016",129.2%
"June 30, 2016",163.5%
"March 31, 2016",226.3%
"Dec. 31, 2015",163.6%
"Sept. 30, 2015",312.9%
"June 30, 2015",126.1%
"March 31, 2015",114.0%
"Dec. 31, 2014",98.05%
"Sept. 30, 2014",94.32%
"June 30, 2014",94.62%
"March 31, 2014",86.04%
"Dec. 31, 2013",133.9%
"Sept. 30, 2013",77.98%
"June 30, 2013",134.9%
"March 31, 2013",321.5%
"Dec. 31, 2012",727.0%
"Sept. 30, 2012",-3.78K%
"June 30, 2012",-164.4%
"March 31, 2012",-207.2%
"Dec. 31, 2011",-216.8%
"Sept. 30, 2011",-156.4%
"June 30, 2011",-71.49%
"March 31, 2011",-80.27%
"Dec. 31, 2010",-176.2%
"Sept. 30, 2010",-93.91%
"June 30, 2010",134.6%
"March 31, 2010",82.35%
"Dec. 31, 2009",174.9%
"Sept. 30, 2009",267.7%
"June 30, 2009",-223.8%
"March 31, 2009",-68.62%
"Dec. 31, 2008",-50.68%
"Sept. 30, 2008",-47.97%
"June 30, 2008",-27.08%
"March 31, 2008",-25.35%
"Dec. 31, 2007",-25.59%
"Sept. 30, 2007",-24.65%
"June 30, 2007",-28.90%
"March 31, 2007",-51.05%
"Dec. 31, 2006",-92.77%
"Sept. 30, 2006",-278.5%
"June 30, 2006",138.8%
"March 31, 2006",-292.0%
"Dec. 31, 2005",-159.3%
"Sept. 30, 2005",-131.5%
"June 30, 2005",-162.7%
"March 31, 2005",-212.9%
"Dec. 31, 2004",-903.4%
"Sept. 30, 2004",249.1%
"June 30, 2004",62.59%
"March 31, 2004",51.96%
"Dec. 31, 2003",39.66%
"Sept. 30, 2003",32.05%
"June 30, 2003",31.38%
"March 31, 2003",34.96%
"Dec. 31, 2002",32.76%
"Sept. 30, 2002",53.38%
"June 30, 2002",-777.8%
"March 31, 2002",95.89%
"Dec. 31, 2001",-37.23%
"Sept. 30, 2001",-37.08%
"June 30, 2001",-43.85%
"March 31, 2001",-33.58%
"Dec. 31, 2000",-1.17K%
"Sept. 30, 2000",179.0%
"June 30, 2000",53.89%
"March 31, 2000",60.01%
"Dec. 31, 1999",58.33%
"Sept. 30, 1999",65.99%
"June 30, 1999",99.66%
"March 31, 1999",82.50%
"Dec. 31, 1998",86.57%
"Sept. 30, 1998",76.33%
"June 30, 1998",76.13%
"March 31, 1998",107.0%
"Dec. 31, 1997",91.84%
"Sept. 30, 1997",118.4%
"June 30, 1997",127.9%
"March 31, 1997",104.5%
"Dec. 31, 1996",96.29%
"Sept. 30, 1996",80.77%
"June 30, 1996",75.94%
"March 31, 1996",80.14%
"Dec. 31, 1995",92.17%
"Sept. 30, 1995",119.5%
"June 30, 1995",182.3%
"March 31, 1995",265.3%
"Dec. 31, 1994",509.8%
