date,return_on_invested_capital
"Dec. 31, 2019",5.47%
"Sept. 30, 2019",5.00%
"June 30, 2019",5.33%
"March 31, 2019",5.56%
"Dec. 31, 2018",5.46%
"Sept. 30, 2018",5.82%
"June 30, 2018",5.62%
"March 31, 2018",5.37%
"Dec. 31, 2017",5.37%
"Sept. 30, 2017",5.26%
"June 30, 2017",5.10%
"March 31, 2017",5.26%
"Dec. 31, 2016",5.10%
"Sept. 30, 2016",5.10%
"June 30, 2016",4.88%
"March 31, 2016",5.14%
"Dec. 31, 2015",5.17%
"Sept. 30, 2015",5.30%
"June 30, 2015",5.75%
"March 31, 2015",5.23%
"Dec. 31, 2014",5.44%
"Sept. 30, 2014",5.24%
"June 30, 2014",4.86%
"March 31, 2014",4.96%
"Dec. 31, 2013",5.23%
"Sept. 30, 2013",5.08%
"June 30, 2013",5.73%
"March 31, 2013",5.51%
"Dec. 31, 2012",5.26%
"Sept. 30, 2012",5.05%
"June 30, 2012",5.59%
"March 31, 2012",5.20%
"Dec. 31, 2011",5.36%
"Sept. 30, 2011",5.64%
"June 30, 2011",4.47%
"March 31, 2011",5.15%
"Dec. 31, 2010",4.77%
"Sept. 30, 2010",5.02%
"June 30, 2010",4.70%
"March 31, 2010",4.30%
"Dec. 31, 2009",4.44%
"Sept. 30, 2009",3.90%
"June 30, 2009",3.84%
"March 31, 2009",3.51%
"Dec. 31, 2008",3.69%
"Sept. 30, 2008",3.86%
"June 30, 2008",3.07%
"March 31, 2008",3.19%
"Dec. 31, 2007",3.41%
"Sept. 30, 2007",3.86%
"June 30, 2007",4.66%
"March 31, 2007",5.09%
"Dec. 31, 2006",5.23%
"Sept. 30, 2006",4.81%
"June 30, 2006",3.86%
"March 31, 2006",3.40%
"Dec. 31, 2005",3.30%
"Sept. 30, 2005",3.42%
"June 30, 2005",3.72%
"March 31, 2005",3.61%
"Dec. 31, 2004",3.48%
"Sept. 30, 2004",3.25%
"June 30, 2004",4.13%
"March 31, 2004",3.44%
"Dec. 31, 2003",2.35%
"Sept. 30, 2003",1.97%
"June 30, 2003",1.46%
"March 31, 2003",1.61%
"Dec. 31, 2002",2.83%
"Sept. 30, 2002",3.88%
"June 30, 2002",3.79%
"March 31, 2002",5.37%
"Dec. 31, 2001",5.97%
"Sept. 30, 2001",6.40%
"June 30, 2001",7.07%
"March 31, 2001",7.12%
"Dec. 31, 2000",7.76%
"Sept. 30, 2000",7.66%
"June 30, 2000",6.61%
"March 31, 2000",6.00%
"Dec. 31, 1999",5.29%
"Sept. 30, 1999",5.37%
"June 30, 1999",5.40%
"March 31, 1999",5.39%
"Dec. 31, 1998",5.33%
"Sept. 30, 1998",5.22%
"June 30, 1998",5.19%
"March 31, 1998",5.23%
"Dec. 31, 1997",5.42%
"Sept. 30, 1997",5.19%
"June 30, 1997",5.08%
"March 31, 1997",5.31%
"Dec. 31, 1996",5.31%
"Sept. 30, 1996",6.25%
"June 30, 1996",6.55%
"March 31, 1996",6.23%
"Dec. 31, 1995",5.61%
"Sept. 30, 1995",5.55%
"June 30, 1995",5.08%
"March 31, 1995",5.09%
"Dec. 31, 1994",4.94%
"Sept. 30, 1994",5.31%
