date,gross_profit_margin
"Dec. 31, 2019",39.60%
"Sept. 30, 2019",45.32%
"June 30, 2019",42.56%
"March 31, 2019",34.39%
"Dec. 31, 2018",34.95%
"Sept. 30, 2018",43.13%
"June 30, 2018",42.12%
"March 31, 2018",35.06%
"Dec. 31, 2017",38.60%
"Sept. 30, 2017",44.99%
"June 30, 2017",44.33%
"March 31, 2017",35.27%
"Dec. 31, 2016",36.25%
"Sept. 30, 2016",41.64%
"June 30, 2016",42.27%
"March 31, 2016",34.92%
"Dec. 31, 2015",37.12%
"Sept. 30, 2015",43.02%
"June 30, 2015",41.69%
"March 31, 2015",33.53%
"Dec. 31, 2014",27.95%
"Sept. 30, 2014",40.94%
"June 30, 2014",39.12%
"March 31, 2014",33.50%
"Dec. 31, 2013",29.12%
"Sept. 30, 2013",43.20%
"June 30, 2013",47.07%
"March 31, 2013",40.70%
"Dec. 31, 2012",33.88%
"Sept. 30, 2012",47.71%
"June 30, 2012",41.40%
"March 31, 2012",35.91%
"Dec. 31, 2011",-96.64%
"Sept. 30, 2011",65.33%
"June 30, 2011",67.05%
"March 31, 2011",63.02%
"Dec. 31, 2010",-42.25%
"Sept. 30, 2010",63.74%
"June 30, 2010",60.81%
"March 31, 2010",55.84%
"Dec. 31, 2009",74.58%
"Sept. 30, 2009",56.98%
"June 30, 2009",64.38%
"March 31, 2009",59.42%
"Dec. 31, 2008",66.65%
"Sept. 30, 2008",61.44%
"June 30, 2008",63.61%
"March 31, 2008",67.84%
"Dec. 31, 2007",66.06%
"Sept. 30, 2007",58.06%
"June 30, 2007",69.21%
"March 31, 2007",70.88%
"Dec. 31, 2006",54.03%
"Sept. 30, 2006",41.93%
"June 30, 2006",
"March 31, 2006",52.91%
"Dec. 31, 2005",58.07%
"Sept. 30, 2005",55.51%
"June 30, 2005",63.38%
"March 31, 2005",66.99%
"Dec. 31, 2004",67.61%
"Sept. 30, 2004",56.26%
"June 30, 2004",60.08%
"March 31, 2004",68.88%
"Dec. 31, 2003",27.91%
"Sept. 30, 2003",56.99%
"June 30, 2003",72.08%
"March 31, 2003",81.53%
"Dec. 31, 2002",-3.49%
"Sept. 30, 2002",70.27%
"June 30, 2002",84.70%
"March 31, 2002",91.12%
"Dec. 31, 2001",
"Sept. 30, 2001",35.70%
"June 30, 2001",92.21%
"March 31, 2001",68.06%
"Dec. 31, 2000",94.89%
"Sept. 30, 2000",62.88%
"June 30, 2000",61.83%
"March 31, 2000",78.09%
"Dec. 31, 1999",95.05%
"Sept. 30, 1999",60.11%
"June 30, 1999",74.93%
"March 31, 1999",77.08%
"Dec. 31, 1998",65.15%
"Sept. 30, 1998",48.77%
"June 30, 1998",76.34%
"March 31, 1998",73.18%
"Dec. 31, 1997",
"Sept. 30, 1997",48.82%
"June 30, 1997",71.34%
"March 31, 1997",78.10%
"Dec. 31, 1996",71.47%
"Sept. 30, 1996",65.69%
"June 30, 1996",83.03%
"March 31, 1996",88.58%
"Dec. 31, 1995",79.14%
"Sept. 30, 1995",72.73%
"June 30, 1995",85.96%
"March 31, 1995",83.09%
"Dec. 31, 1994",77.36%
"Sept. 30, 1994",62.09%
"June 30, 1994",71.59%
"March 31, 1994",76.17%
